cluster_id,cluster_size,cluster_area
0,3,0.0081
1,3,0.008
2,6,0.0149
3,2,0.0056
4,6,0.0132
5,3,0.0063
6,2,0.0056
7,3,0.0074
8,6,0.0145
9,3,0.008
10,3,0.0079
11,3,0.0061
12,3,0.0079
13,2,0.0053
14,3,0.0076
15,2,0.0048
16,3,0.0075
17,3,0.0073
18,2,0.0049
19,2,0.0049
20,2,0.0051
21,2,0.0053
22,3,0.0067
23,2,0.0054
24,2,0.0056
25,4,0.0092
26,4,0.0087
27,4,0.0076
28,2,0.0043
29,1,0.0028
30,3,0.0071
31,2,0.0039
32,2,0.0043
33,2,0.0045
34,2,0.0054
35,2,0.0051
36,2,0.0051
37,2,0.0036
38,3,0.0055
39,2,0.0044
40,2,0.0045
41,1,0.0028
42,2,0.0048
43,2,0.0052
44,2,0.0051
45,2,0.0047
46,1,0.0028
47,2,0.0049
48,2,0.0045
49,3,0.0071
50,2,0.0042
51,3,0.0055
52,2,0.0055
53,2,0.0051
54,1,0.0028
55,1,0.0028
56,1,0.0028
57,1,0.0028
58,1,0.0028
59,1,0.0028
60,1,0.0028
61,1,0.0028
62,3,0.0075
63,1,0.0028
64,1,0.0028
65,1,0.0028
66,1,0.0028
67,1,0.0028
68,2,0.0045
69,1,0.0028
70,2,0.0051
71,2,0.0034
72,2,0.0037
73,2,0.0048
74,1,0.0028
75,2,0.0035
76,1,0.0028
77,2,0.0045
78,1,0.0028
79,1,0.0028
80,1,0.0028
81,2,0.004
82,1,0.0028
83,1,0.0028
84,1,0.0028
85,1,0.0028
86,1,0.0028
87,4,0.008
88,2,0.0051
89,3,0.0063
90,1,0.0028
91,1,0.0028
92,1,0.0028
93,1,0.0028
94,1,0.0028
95,1,0.0028
96,2,0.0045
97,1,0.0028
98,1,0.0028
99,1,0.0028
100,1,0.0028
101,1,0.0028
102,1,0.0028
103,1,0.0028
104,1,0.0028
105,1,0.0028
106,2,0.0054
107,1,0.0028
108,1,0.0028
109,1,0.0028
110,1,0.0028
111,1,0.0028
112,1,0.0028
113,1,0.0028
114,1,0.0028
115,1,0.0028
116,1,0.0028
117,1,0.0028
118,1,0.0028
119,1,0.0028
120,1,0.0028
121,1,0.0028
122,1,0.0028
123,1,0.0028
124,1,0.0028
125,1,0.0028
126,1,0.0028
127,1,0.0028
128,1,0.0028
129,1,0.0028
130,1,0.0028
131,1,0.0028
132,1,0.0028
133,1,0.0028
134,1,0.0028
135,1,0.0028
136,1,0.0028
137,1,0.0028
138,2,0.0031
139,1,0.0028
140,1,0.0028
141,1,0.0028
142,1,0.0028
143,1,0.0028
144,1,0.0028
145,1,0.0028
146,1,0.0028
147,1,0.0028
148,1,0.0028
149,1,0.0028
150,1,0.0028
151,1,0.0028
152,1,0.0028
153,1,0.0028
154,1,0.0028
155,1,0.0028
156,2,0.0032
157,1,0.0028
158,1,0.0028
159,1,0.0028
160,1,0.0028
161,1,0.0028
162,1,0.0028
163,1,0.0028
164,1,0.0028
165,1,0.0028
166,1,0.0028
167,1,0.0028
168,1,0.0028
169,1,0.0028
170,1,0.0028
171,1,0.0028
172,1,0.0028
173,1,0.0028
174,1,0.0028
175,1,0.0028
176,1,0.0028
177,1,0.0028
178,1,0.0028
179,1,0.0028
180,1,0.0028
181,1,0.0028
182,1,0.0028
183,1,0.0028
184,1,0.0028
185,1,0.0028
186,1,0.0028
187,1,0.0028
188,1,0.0028
189,1,0.0028
190,1,0.0028
191,1,0.0028
192,1,0.0028
193,2,0.004
194,1,0.0028
195,1,0.0028
196,1,0.0028
197,1,0.0028
198,1,0.0028
199,1,0.0028
200,1,0.0028
201,1,0.0028
202,1,0.0028
203,1,0.0028
204,1,0.0028
205,1,0.0028
206,1,0.0028
207,1,0.0028
208,1,0.0028
209,1,0.0028
210,1,0.0028
211,1,0.0028
212,1,0.0028
213,1,0.0028
214,1,0.0028
215,1,0.0028
216,1,0.0028
217,1,0.0028
