X,Y,cluster_id
1.438,2.562,0
1.399,2.516,0
1.354,2.532,0
2.472,1.634,1
2.481,1.678,1
2.535,1.652,1
3.035,3.606,2
3.076,3.577,2
3.006,3.63,2
2.934,3.561,2
2.973,3.606,2
2.96,3.525,2
2.853,3.701,3
2.87,3.643,3
1.784,1.345,4
1.859,1.362,4
1.789,1.386,4
1.79,1.449,4
1.781,1.423,4
1.847,1.388,4
1.478,1.888,5
1.535,1.893,5
1.547,1.89,5
1.695,1.369,6
1.669,1.422,6
0.642,2.47,7
0.648,2.502,7
0.704,2.507,7
1.758,1.895,8
1.802,1.909,8
1.844,1.898,8
1.781,1.951,8
1.789,2.003,8
1.834,1.867,8
2.193,2.195,9
2.225,2.232,9
2.169,2.242,9
1.615,1.863,10
1.645,1.902,10
1.682,1.933,10
1.568,2.204,11
1.616,2.245,11
1.569,2.213,11
2.283,2.142,12
2.294,2.088,12
2.317,2.17,12
0.795,2.476,13
0.774,2.434,13
2.25,2.837,14
2.228,2.809,14
2.197,2.859,14
2.487,3.217,15
2.512,3.244,15
1.991,2.04,16
1.991,2.076,16
2.031,2.11,16
3.188,4.005,17
3.168,3.979,17
3.124,4.007,17
2.411,2.208,18
2.412,2.17,18
1.429,2.799,19
1.407,2.831,19
1.107,2.489,20
1.102,2.447,20
2.096,1.958,21
2.138,1.939,21
2.003,2.19,22
1.966,2.218,22
2.027,2.181,22
3.352,3.327,23
3.4,3.312,23
1.656,1.643,24
1.696,1.684,24
2.216,1.706,25
2.172,1.661,25
2.192,1.712,25
2.155,1.731,25
1.258,1.615,26
1.201,1.686,26
1.249,1.659,26
1.271,1.615,26
2.498,3.57,27
2.533,3.508,27
2.487,3.576,27
2.504,3.54,27
1.162,0.746,28
1.188,0.746,28
2.574,4.256,29
0.628,0.947,30
0.604,0.963,30
0.598,1.016,30
2.434,0.991,31
2.415,0.988,31
1.946,1.234,32
1.955,1.258,32
2.245,1.84,33
2.271,1.856,33
1.832,2.128,34
1.843,2.179,34
2.098,2.291,35
2.057,2.305,35
1.245,2.783,36
1.247,2.825,36
1.553,2.593,37
1.547,2.604,37
0.441,2.486,38
0.435,2.471,38
0.404,2.479,38
0.346,0.985,39
0.371,0.974,39
2.109,1.848,40
2.079,1.847,40
0.778,0.751,41
1.888,1.658,42
1.855,1.645,42
1.107,0.856,43
1.073,0.826,43
2.291,1.196,44
2.274,1.157,44
2.436,2.785,45
2.412,2.762,45
0.943,0.948,46
2.733,4.045,47
2.767,4.027,47
1.262,1.111,48
1.276,1.137,48
2.232,2.084,49
2.214,2.042,49
2.187,2.067,49
3.006,3.729,50
3.03,3.727,50
1.301,1.75,51
1.267,1.719,51
1.267,1.724,51
1.197,2.255,52
1.172,2.301,52
1.085,2.242,53
1.123,2.264,53
3.386,3.624,54
2.984,3.432,55
1.611,2.337,56
1.749,2.444,57
1.441,2.675,58
1.893,2.305,59
1.791,1.713,60
1.423,2.016,61
1.467,0.88,62
1.48,0.969,62
1.476,0.916,62
3.237,3.533,63
3.144,3.34,64
1.126,1.477,65
1.996,1.81,66
2.594,3.209,67
1.686,2.189,68
1.677,2.161,68
0.511,1.114,69
1.431,1.121,70
1.411,1.083,70
0.985,1.576,71
0.996,1.575,71
1.397,1.421,72
1.381,1.418,72
1.2,2.547,73
1.17,2.567,73
0.808,1.129,74
1.596,1.038,75
1.598,1.027,75
2.819,3.578,76
1.962,1.36,77
1.939,1.38,77
1.601,1.987,78
2.753,4.154,79
1.503,1.17,80
2.263,1.354,81
2.259,1.334,81
2.38,2.691,82
1.994,1.546,83
2.684,3.369,84
0.818,0.913,85
3.079,3.451,86
3.216,3.627,87
3.189,3.623,87
3.186,3.586,87
3.196,3.656,87
1.918,2.051,88
1.876,2.045,88
2.402,2.471,89
2.406,2.431,89
2.39,2.415,89
1.593,2.085,90
1.785,2.672,91
1.373,2.754,92
2.704,3.645,93
3.141,3.493,94
1.147,1.162,95
2.53,3.141,96
2.513,3.116,96
1.511,1.483,97
1.973,1.44,98
2.862,4.261,99
3.179,3.915,100
0.633,1.363,101
3.278,4.043,102
2.138,2.619,103
1.69,1.054,104
1.542,0.963,105
2.604,4.162,106
2.616,4.21,106
3.299,3.724,107
2.024,2.483,108
1.898,2.465,109
1.362,2.439,110
1.883,1.796,111
3.331,4.078,112
2.973,4.318,113
2.576,2.618,114
1.769,1.002,115
0.803,0.424,116
0.625,0.722,117
2.767,1.484,118
2.872,2.972,119
1.249,1.555,120
1.457,2.259,121
1.255,1.854,122
2.121,2.955,123
2.307,3.318,124
2.784,3.798,125
1.346,1.969,126
2.109,1.335,127
1.215,2.462,128
