og_coord,closest_coord,dist
"(2.232, 2.539)","(2.232, 2.546)",0.007
"(2.232, 2.546)","(2.232, 2.539)",0.007
"(1.264, 2.892)","(1.263, 2.885)",0.007
"(1.263, 2.885)","(1.264, 2.892)",0.007
"(2.071, 2.753)","(2.074, 2.745)",0.009
"(2.074, 2.745)","(2.071, 2.753)",0.009
"(1.918, 1.735)","(1.925, 1.741)",0.01
"(1.925, 1.741)","(1.918, 1.735)",0.01
"(1.854, 2.587)","(1.85, 2.578)",0.01
"(1.85, 2.578)","(1.854, 2.587)",0.01
"(1.197, 1.632)","(1.205, 1.639)",0.01
"(1.205, 1.639)","(1.197, 1.632)",0.01
"(0.441, 0.964)","(0.43, 0.962)",0.011
"(0.43, 0.962)","(0.441, 0.964)",0.011
"(1.314, 1.794)","(1.305, 1.803)",0.013
"(1.305, 1.803)","(1.314, 1.794)",0.013
"(0.613, 1.043)","(0.625, 1.049)",0.014
"(0.625, 1.049)","(0.613, 1.043)",0.014
"(3.048, 3.324)","(3.037, 3.333)",0.014
"(3.037, 3.333)","(3.048, 3.324)",0.014
"(3.097, 4.073)","(3.096, 4.088)",0.015
"(3.096, 4.088)","(3.097, 4.073)",0.015
"(2.382, 1.666)","(2.385, 1.681)",0.015
"(2.385, 1.681)","(2.382, 1.666)",0.015
"(1.993, 1.691)","(2.008, 1.695)",0.015
"(2.008, 1.695)","(1.993, 1.691)",0.015
"(1.754, 1.789)","(1.763, 1.775)",0.016
"(1.763, 1.775)","(1.754, 1.789)",0.016
"(1.533, 1.694)","(1.517, 1.686)",0.018
"(1.517, 1.686)","(1.533, 1.694)",0.018
"(1.129, 2.254)","(1.119, 2.269)",0.018
"(1.119, 2.269)","(1.129, 2.254)",0.018
"(2.848, 1.276)","(2.864, 1.285)",0.018
"(2.864, 1.285)","(2.848, 1.276)",0.018
"(1.466, 2.399)","(1.452, 2.387)",0.018
"(1.452, 2.387)","(1.466, 2.399)",0.018
"(3.292, 3.355)","(3.278, 3.343)",0.019
"(3.278, 3.343)","(3.292, 3.355)",0.019
"(1.319, 1.133)","(1.339, 1.129)",0.019
"(1.339, 1.129)","(1.319, 1.133)",0.019
"(3.093, 3.445)","(3.112, 3.44)",0.02
"(2.499, 1.592)","(2.494, 1.611)",0.02
"(2.494, 1.611)","(2.499, 1.592)",0.02
"(3.112, 3.44)","(3.093, 3.445)",0.02
"(1.292, 2.242)","(1.283, 2.26)",0.02
"(1.283, 2.26)","(1.292, 2.242)",0.02
"(0.462, 1.017)","(0.457, 1.037)",0.021
"(0.457, 1.037)","(0.462, 1.017)",0.021
"(2.226, 2.519)","(2.232, 2.539)",0.021
"(0.702, 0.812)","(0.723, 0.813)",0.021
"(0.723, 0.813)","(0.702, 0.812)",0.021
"(1.025, 0.693)","(1.044, 0.683)",0.022
"(1.044, 0.683)","(1.025, 0.693)",0.022
"(0.976, 0.697)","(0.988, 0.677)",0.023
"(0.988, 0.677)","(0.976, 0.697)",0.023
"(1.431, 2.378)","(1.452, 2.387)",0.023
"(2.215, 2.638)","(2.204, 2.659)",0.024
"(2.204, 2.659)","(2.215, 2.638)",0.024
"(1.526, 1.664)","(1.517, 1.686)",0.024
"(1.394, 1.853)","(1.369, 1.848)",0.025
"(1.369, 1.848)","(1.394, 1.853)",0.025
"(2.537, 2.451)","(2.511, 2.452)",0.026
"(2.511, 2.452)","(2.537, 2.451)",0.026
"(0.438, 2.496)","(0.414, 2.485)",0.026
"(0.414, 2.485)","(0.438, 2.496)",0.026
"(1.29, 2.882)","(1.263, 2.885)",0.027
"(3.062, 3.505)","(3.088, 3.516)",0.028
"(3.088, 3.516)","(3.062, 3.505)",0.028
"(0.434, 2.465)","(0.414, 2.485)",0.029
"(2.493, 2.862)","(2.504, 2.889)",0.029
"(2.504, 2.889)","(2.493, 2.862)",0.029
"(1.312, 0.925)","(1.296, 0.9)",0.029
"(1.322, 1.103)","(1.319, 1.133)",0.029
"(1.296, 0.9)","(1.312, 0.925)",0.029
"(2.71, 3.75)","(2.738, 3.741)",0.03
"(2.738, 3.741)","(2.71, 3.75)",0.03
"(2.335, 1.282)","(2.348, 1.309)",0.03
"(2.348, 1.309)","(2.335, 1.282)",0.03
"(0.528, 0.955)","(0.552, 0.972)",0.03
"(0.552, 0.972)","(0.528, 0.955)",0.03
"(1.501, 1.247)","(1.523, 1.227)",0.03
"(1.523, 1.227)","(1.501, 1.247)",0.03
"(1.971, 1.269)","(1.997, 1.287)",0.032
"(1.997, 1.287)","(1.971, 1.269)",0.032
"(1.574, 2.277)","(1.547, 2.297)",0.034
"(1.547, 2.297)","(1.574, 2.277)",0.034
"(1.46, 0.884)","(1.448, 0.916)",0.034
"(1.448, 0.916)","(1.46, 0.884)",0.034
"(1.096, 2.406)","(1.107, 2.373)",0.035
"(1.107, 2.373)","(1.096, 2.406)",0.035
"(1.97, 1.717)","(1.993, 1.691)",0.035
"(3.271, 3.784)","(3.285, 3.751)",0.035
"(3.285, 3.751)","(3.271, 3.784)",0.035
"(2.424, 2.459)","(2.444, 2.488)",0.036
"(2.444, 2.488)","(2.424, 2.459)",0.036
"(1.405, 1.007)","(1.427, 1.035)",0.036
"(1.427, 1.035)","(1.405, 1.007)",0.036
"(2.373, 1.729)","(2.336, 1.727)",0.037
"(2.336, 1.727)","(2.373, 1.729)",0.037
"(3.196, 3.49)","(3.18, 3.457)",0.037
"(3.18, 3.457)","(3.196, 3.49)",0.037
"(2.531, 1.569)","(2.499, 1.592)",0.039
"(3.246, 3.999)","(3.225, 4.031)",0.039
"(3.225, 4.031)","(3.246, 3.999)",0.039
"(1.742, 2.3)","(1.75, 2.339)",0.039
"(1.75, 2.339)","(1.742, 2.3)",0.039
"(2.359, 2.544)","(2.371, 2.582)",0.039
"(2.371, 2.582)","(2.359, 2.544)",0.039
"(2.281, 2.553)","(2.256, 2.584)",0.039
"(2.256, 2.584)","(2.281, 2.553)",0.039
"(1.782, 2.315)","(1.75, 2.339)",0.039
"(1.141, 2.216)","(1.129, 2.254)",0.04
"(2.897, 3.51)","(2.859, 3.524)",0.04
"(1.081, 2.443)","(1.096, 2.406)",0.04
"(2.859, 3.524)","(2.897, 3.51)",0.04
"(1.796, 2.431)","(1.79, 2.47)",0.04
"(1.79, 2.47)","(1.796, 2.431)",0.04
"(1.724, 1.097)","(1.7, 1.065)",0.04
"(1.7, 1.065)","(1.724, 1.097)",0.04
"(0.903, 0.906)","(0.924, 0.871)",0.04
"(0.924, 0.871)","(0.903, 0.906)",0.04
"(1.615, 1.418)","(1.613, 1.459)",0.041
"(1.613, 1.459)","(1.615, 1.418)",0.041
"(3.343, 3.786)","(3.334, 3.827)",0.041
"(3.334, 3.827)","(3.343, 3.786)",0.041
"(2.423, 2.524)","(2.444, 2.488)",0.042
"(2.727, 1.492)","(2.7, 1.459)",0.042
"(2.7, 1.459)","(2.727, 1.492)",0.042
"(1.772, 2.24)","(1.773, 2.197)",0.043
"(1.773, 2.197)","(1.772, 2.24)",0.043
"(2.546, 3.475)","(2.576, 3.506)",0.044
"(2.576, 3.506)","(2.546, 3.475)",0.044
"(2.101, 2.784)","(2.071, 2.753)",0.044
"(2.238, 2.35)","(2.258, 2.31)",0.044
"(2.258, 2.31)","(2.238, 2.35)",0.044
"(0.678, 2.504)","(0.673, 2.46)",0.044
"(0.673, 2.46)","(0.678, 2.504)",0.044
"(2.403, 2.713)","(2.373, 2.747)",0.045
"(2.373, 2.747)","(2.403, 2.713)",0.045
"(2.11, 2.61)","(2.152, 2.593)",0.045
"(2.152, 2.593)","(2.11, 2.61)",0.045
"(1.957, 1.376)","(1.975, 1.334)",0.045
"(1.975, 1.334)","(1.957, 1.376)",0.045
"(1.386, 2.371)","(1.431, 2.378)",0.045
"(1.843, 2.231)","(1.888, 2.218)",0.047
"(1.888, 2.218)","(1.843, 2.231)",0.047
"(1.528, 2.254)","(1.547, 2.297)",0.047
"(2.369, 1.25)","(2.335, 1.282)",0.047
"(1.933, 2.07)","(1.901, 2.035)",0.047
"(1.901, 2.035)","(1.933, 2.07)",0.047
"(1.726, 1.026)","(1.7, 1.065)",0.047
"(1.521, 1.057)","(1.517, 1.01)",0.047
"(1.517, 1.01)","(1.521, 1.057)",0.047
"(0.636, 2.399)","(0.588, 2.406)",0.048
"(0.588, 2.406)","(0.636, 2.399)",0.048
"(0.477, 2.525)","(0.438, 2.496)",0.049
"(1.433, 1.882)","(1.394, 1.853)",0.049
"(3.015, 3.52)","(3.062, 3.505)",0.049
"(3.358, 3.739)","(3.343, 3.786)",0.049
"(0.52, 2.551)","(0.477, 2.525)",0.05
"(1.969, 2.136)","(1.996, 2.179)",0.051
"(1.996, 2.179)","(1.969, 2.136)",0.051
"(2.51, 2.94)","(2.504, 2.889)",0.052
"(1.487, 0.967)","(1.517, 1.01)",0.052
"(1.981, 2.414)","(2.016, 2.373)",0.053
"(2.016, 2.373)","(1.981, 2.414)",0.053
"(2.101, 2.47)","(2.153, 2.486)",0.054
"(2.153, 2.486)","(2.101, 2.47)",0.054
"(2.555, 2.909)","(2.504, 2.889)",0.055
"(3.39, 3.695)","(3.358, 3.739)",0.055
"(1.642, 2.661)","(1.65, 2.605)",0.057
"(1.65, 2.605)","(1.642, 2.661)",0.057
"(1.547, 2.2)","(1.528, 2.254)",0.057
"(1.207, 2.899)","(1.264, 2.892)",0.058
"(0.655, 1.315)","(0.703, 1.348)",0.058
"(0.703, 1.348)","(0.655, 1.315)",0.058
"(1.514, 1.305)","(1.501, 1.247)",0.059
"(2.894, 3.764)","(2.912, 3.708)",0.059
"(2.912, 3.708)","(2.894, 3.764)",0.059
"(0.615, 2.475)","(0.673, 2.46)",0.059
"(2.177, 2.195)","(2.135, 2.237)",0.06
"(2.135, 2.237)","(2.177, 2.195)",0.06
"(0.479, 1.186)","(0.539, 1.183)",0.06
"(0.539, 1.183)","(0.479, 1.186)",0.06
"(1.333, 2.4)","(1.386, 2.371)",0.06
"(2.443, 1.665)","(2.385, 1.681)",0.061
"(1.522, 1.497)","(1.533, 1.438)",0.061
"(1.533, 1.438)","(1.522, 1.497)",0.061
"(2.044, 2.494)","(2.101, 2.47)",0.062
"(1.808, 1.452)","(1.756, 1.488)",0.063
"(1.756, 1.488)","(1.808, 1.452)",0.063
"(0.362, 2.62)","(0.367, 2.683)",0.063
"(0.367, 2.683)","(0.362, 2.62)",0.063
"(0.684, 1.024)","(0.625, 1.049)",0.064
"(2.531, 3.25)","(2.578, 3.294)",0.064
"(2.578, 3.294)","(2.531, 3.25)",0.064
"(3.005, 3.208)","(3.047, 3.16)",0.065
"(3.047, 3.16)","(3.005, 3.208)",0.065
"(2.909, 2.994)","(2.901, 2.93)",0.065
"(2.901, 2.93)","(2.909, 2.994)",0.065
"(1.737, 2.065)","(1.718, 2.127)",0.065
"(1.718, 2.127)","(1.737, 2.065)",0.065
"(1.229, 2.224)","(1.283, 2.26)",0.065
"(3.111, 4.009)","(3.097, 4.073)",0.066
"(1.646, 1.103)","(1.7, 1.065)",0.066
"(1.709, 2.675)","(1.642, 2.661)",0.068
"(2.336, 2.64)","(2.371, 2.582)",0.068
"(1.822, 2.15)","(1.773, 2.197)",0.068
"(1.942, 1.645)","(1.993, 1.691)",0.069
"(0.893, 0.974)","(0.903, 0.906)",0.069
