og_coord,closest_coord,dist
"(2.324, 2.534)","(2.317, 2.542)",0.011
"(2.317, 2.542)","(2.324, 2.534)",0.011
"(1.817, 1.806)","(1.826, 1.8)",0.011
"(1.826, 1.8)","(1.817, 1.806)",0.011
"(1.821, 1.564)","(1.809, 1.564)",0.012
"(1.809, 1.564)","(1.821, 1.564)",0.012
"(0.366, 1.033)","(0.365, 1.021)",0.012
"(0.365, 1.021)","(0.366, 1.033)",0.012
"(1.83, 1.785)","(1.837, 1.774)",0.012
"(1.837, 1.774)","(1.83, 1.785)",0.012
"(2.261, 1.659)","(2.25, 1.666)",0.013
"(2.25, 1.666)","(2.261, 1.659)",0.013
"(0.707, 1.583)","(0.718, 1.575)",0.014
"(0.718, 1.575)","(0.707, 1.583)",0.014
"(1.323, 1.225)","(1.33, 1.213)",0.014
"(1.33, 1.213)","(1.323, 1.225)",0.014
"(1.51, 1.227)","(1.522, 1.235)",0.014
"(1.522, 1.235)","(1.51, 1.227)",0.014
"(1.767, 1.805)","(1.769, 1.819)",0.014
"(1.769, 1.819)","(1.767, 1.805)",0.014
"(0.924, 2.349)","(0.918, 2.362)",0.015
"(0.918, 2.362)","(0.924, 2.349)",0.015
"(0.381, 1.043)","(0.386, 1.057)",0.015
"(0.386, 1.057)","(0.381, 1.043)",0.015
"(1.298, 1.254)","(1.29, 1.241)",0.015
"(1.29, 1.241)","(1.298, 1.254)",0.015
"(1.231, 1.856)","(1.245, 1.86)",0.015
"(1.245, 1.86)","(1.231, 1.856)",0.015
"(2.064, 2.098)","(2.076, 2.106)",0.015
"(2.076, 2.106)","(2.064, 2.098)",0.015
"(1.782, 1.809)","(1.767, 1.805)",0.015
"(1.729, 1.089)","(1.734, 1.104)",0.016
"(1.734, 1.104)","(1.729, 1.089)",0.016
"(2.443, 1.221)","(2.431, 1.211)",0.016
"(2.431, 1.211)","(2.443, 1.221)",0.016
"(1.249, 1.693)","(1.235, 1.701)",0.016
"(1.235, 1.701)","(1.249, 1.693)",0.016
"(1.278, 2.416)","(1.276, 2.432)",0.016
"(1.276, 2.432)","(1.278, 2.416)",0.016
"(0.379, 1.012)","(0.365, 1.021)",0.016
"(2.939, 3.999)","(2.949, 3.986)",0.016
"(2.949, 3.986)","(2.939, 3.999)",0.016
"(1.574, 1.305)","(1.59, 1.311)",0.017
"(1.59, 1.311)","(1.574, 1.305)",0.017
"(0.463, 2.595)","(0.48, 2.595)",0.017
"(0.48, 2.595)","(0.463, 2.595)",0.017
"(0.883, 0.943)","(0.867, 0.939)",0.017
"(0.867, 0.939)","(0.883, 0.943)",0.017
"(2.09, 2.715)","(2.103, 2.705)",0.017
"(2.103, 2.705)","(2.09, 2.715)",0.017
"(2.638, 3.71)","(2.655, 3.71)",0.017
"(2.655, 3.71)","(2.638, 3.71)",0.017
"(1.993, 2.161)","(2.008, 2.169)",0.017
"(2.008, 2.169)","(1.993, 2.161)",0.017
"(1.648, 1.184)","(1.635, 1.173)",0.017
"(1.635, 1.173)","(1.648, 1.184)",0.017
"(1.546, 1.192)","(1.542, 1.176)",0.017
"(1.542, 1.176)","(1.546, 1.192)",0.017
"(0.706, 1.6)","(0.707, 1.583)",0.017
"(1.8, 1.801)","(1.817, 1.806)",0.017
"(1.472, 2.38)","(1.489, 2.38)",0.017
"(1.489, 2.38)","(1.472, 2.38)",0.017
"(1.749, 1.096)","(1.734, 1.104)",0.017
"(1.118, 2.414)","(1.11, 2.429)",0.018
"(1.11, 2.429)","(1.118, 2.414)",0.018
"(1.266, 1.697)","(1.249, 1.693)",0.018
"(2.276, 1.633)","(2.281, 1.65)",0.018
"(2.281, 1.65)","(2.276, 1.633)",0.018
"(1.384, 2.584)","(1.382, 2.602)",0.018
"(1.382, 2.602)","(1.384, 2.584)",0.018
"(1.82, 1.582)","(1.821, 1.564)",0.018
"(1.608, 1.309)","(1.59, 1.311)",0.019
"(1.949, 1.883)","(1.966, 1.874)",0.019
"(1.966, 1.874)","(1.949, 1.883)",0.019
"(1.529, 2.376)","(1.511, 2.369)",0.019
