og_centroid,closest_centroid,dist,cluster_id
"(2.141, 1.847)","(2.269, 1.871)",0.13,81
"(2.269, 1.871)","(2.141, 1.847)",0.13,20
"(1.105, 2.415)","(1.236, 2.382)",0.135,46
"(1.236, 2.382)","(1.105, 2.415)",0.135,58
"(3.137, 4.041)","(3.277, 4.058)",0.141,7
"(3.277, 4.058)","(3.137, 4.041)",0.141,40
"(1.524, 1.994)","(1.651, 1.914)",0.151,39
"(1.651, 1.914)","(1.524, 1.994)",0.151,4
"(1.778, 2.668)","(1.688, 2.544)",0.154,6
"(1.688, 2.544)","(1.778, 2.668)",0.154,0
"(2.099, 2.074)","(2.055, 2.229)",0.161,8
"(2.055, 2.229)","(2.099, 2.074)",0.161,18
"(1.893, 2.403)","(1.823, 2.233)",0.184,9
"(1.823, 2.233)","(1.893, 2.403)",0.184,2
"(1.402, 1.059)","(1.286, 0.915)",0.184,22
"(1.286, 0.915)","(1.402, 1.059)",0.184,45
"(2.226, 2.841)","(2.037, 2.805)",0.192,86
"(2.037, 2.805)","(2.226, 2.841)",0.192,43
"(2.379, 2.715)","(2.226, 2.841)",0.199,94
"(1.613, 0.978)","(1.402, 1.059)",0.227,23
"(2.993, 4.277)","(3.137, 4.041)",0.276,93
"(1.426, 2.651)","(1.688, 2.544)",0.283,74
"(2.603, 2.542)","(2.379, 2.715)",0.283,79
"(0.403, 0.962)","(0.697, 1.002)",0.297,44
"(0.697, 1.002)","(0.403, 0.962)",0.297,36
"(1.664, 1.609)","(1.651, 1.914)",0.305,83
"(1.316, 1.395)","(1.402, 1.059)",0.347,35
"(2.94, 3.747)","(3.137, 4.041)",0.354,12
"(1.943, 1.19)","(1.613, 0.978)",0.393,138
"(2.325, 0.913)","(1.943, 1.19)",0.471,42
"(3.31, 3.387)","(2.94, 3.747)",0.516,87
"(0.493, 2.672)","(1.105, 2.415)",0.664,3
