X,Y,cluster_id
1.421,1.666,121
0.664,2.471,70
2.253,2.161,129
1.146,1.146,165
2.513,2.772,30
1.837,1.083,131
2.348,2.242,105
2.147,1.651,146
1.623,1.025,23
2.355,2.701,94
3.088,4.135,132
1.967,1.305,190
3.313,3.435,87
1.342,2.515,38
1.235,0.92,45
2.03,2.537,17
3.231,3.37,158
2.313,2.486,80
1.27,2.762,16
3.244,4.027,40
0.369,2.442,122
0.913,0.579,101
0.609,2.613,157
0.62,0.737,133
1.555,2.019,39
1.079,2.535,114
1.087,1.503,97
1.249,0.93,45
2.229,2.83,86
1.924,1.85,99
1.246,2.711,16
0.714,0.987,36
1.78,1.399,91
1.552,2.058,39
3.161,4.093,7
2.597,3.278,85
2.34,0.955,42
0.458,1.22,183
2.235,1.916,20
3.074,3.358,185
1.647,1.925,4
1.322,0.904,45
3.488,4.193,64
1.429,2.829,174
1.666,1.577,83
1.408,2.643,74
2.415,2.484,137
2.146,1.838,81
3.4,3.327,55
1.372,0.997,22
1.628,2.477,112
1.101,2.421,46
2.054,2.462,100
1.139,2.153,135
3.083,3.256,25
0.688,1.013,36
2.525,0.787,19
2.658,3.523,67
2.017,2.652,134
2.49,3.071,13
2.404,1.273,179
3.208,3.796,49
2.065,2.224,18
0.516,2.673,3
2.197,2.811,86
2.902,3.579,172
1.333,1.057,187
2.394,2.694,94
2.263,2.067,106
3.157,3.862,66
1.227,2.411,58
2.025,2.016,184
1.29,1.199,89
3.292,4.085,40
1.449,0.963,108
0.816,1.62,159
3.205,3.943,141
2.963,3.547,171
1.674,1.637,83
1.566,2.198,125
1.533,1.089,92
0.7,0.454,71
1.49,2.739,61
3.021,4.28,93
2.481,0.826,19
1.814,2.628,6
2.346,3.359,14
0.375,0.971,44
2.571,3.138,139
2.297,2.631,126
2.456,3.115,13
2.497,1.616,155
1.936,1.198,138
0.659,2.517,70
2.241,2.865,86
2.268,0.901,42
2.325,0.899,42
0.441,0.951,44
1.531,2.654,177
2.274,3.408,123
1.913,2.303,102
2.533,3.585,151
2.631,1.43,156
1.405,1.112,22
1.578,1.07,92
1.049,2.423,46
2.322,1.739,104
1.75,2.063,78
1.315,1.417,35
1.53,2.074,39
2.385,3.328,14
1.836,1.439,1
1.609,1.922,4
3.314,3.34,87
2.9,3.753,12
2.598,3.308,85
0.529,2.729,3
0.625,1.424,31
1.216,2.82,96
1.784,2.676,6
2.267,2.84,86
1.499,1.954,39
2.295,3.084,109
1.776,2.207,2
1.245,1.153,144
1.607,1.372,191
1.253,1.233,89
1.649,1.622,83
2.637,2.556,79
1.632,1.811,77
1.31,2.16,47
3.011,4.273,93
1.749,2.148,180
1.242,2.349,58
2.409,2.739,94
1.449,1.11,22
3.15,4.038,7
0.738,2.481,154
2.116,1.722,147
1.027,1.054,115
3.277,3.65,160
0.447,1.076,32
0.687,1.006,36
1.667,1.602,83
1.001,2.541,5
1.877,1.709,103
1.784,1.38,91
2.395,1.321,179
2.84,3.669,59
2.153,1.843,81
1.412,2.462,136
1.786,2.467,181
2.634,1.639,68
1.886,1.406,1
2.366,0.897,42
1.538,1.944,39
1.13,2.421,46
1.537,1.99,39
2.486,2.587,26
1.313,1.407,35
1.89,2.101,15
1.944,2.387,9
2.656,1.622,68
1.85,2.431,9
2.64,1.542,116
3.141,4.003,7
2.709,4.28,111
2.121,2.06,8
1.353,0.937,45
1.319,1.361,35
0.393,0.964,44
1.951,1.199,138
1.201,1.511,143
2.978,4.292,93
2.264,1.865,20
0.899,2.39,21
1.363,2.811,148
1.035,0.826,107
0.792,0.83,113
3.391,4.115,28
1.313,1.861,29
0.798,2.406,34
2.696,3.728,167
2.301,2.49,80
1.607,0.926,23
2.209,1.532,117
1.699,1.894,4
2.994,3.067,175
3.396,3.667,98
0.606,0.62,62
2.081,2.101,8
3.097,4.03,7
1.641,2.574,0
0.676,0.444,71
1.787,1.83,50
0.438,2.629,3
1.984,1.967,153
1.948,2.15,150
2.281,2.713,152
2.466,3.415,127
2.877,4.207,110
1.729,2.515,0
3.058,3.237,25
1.768,0.967,186
2.271,1.845,20
1.609,0.982,23
3.254,3.881,52
2.142,1.315,73
1.298,2.178,47
1.289,2.622,168
1.884,2.057,15
1.674,2.294,76
0.674,1.352,118
1.944,1.172,138
2.943,3.73,12
0.648,1.457,31
3.389,3.791,27
3.22,3.375,158
2.254,2.845,86
2.063,2.838,43
2.384,3.114,163
1.908,2.557,145
1.934,1.315,190
0.908,2.337,21
0.997,1.576,142
1.865,1.942,161
2.832,1.321,173
1.94,1.638,11
1.107,0.807,170
1.096,2.353,182
2.228,2.495,169
2.006,2.769,43
0.771,0.928,33
1.848,2.223,2
2.044,2.807,43
1.595,1.272,65
2.076,2.565,17
0.919,0.7,57
2.571,2.525,79
1.728,0.989,186
2.654,3.515,67
1.387,1.01,22
1.568,2.286,178
3.217,3.674,10
2.964,3.088,175
3.294,4.042,40
3.301,3.375,87
1.0,2.483,5
1.351,1.538,189
1.272,0.885,45
1.885,2.393,9
2.786,1.277,90
3.312,3.399,87
1.139,2.397,46
1.722,2.079,78
3.339,4.228,140
1.974,2.481,41
0.747,2.4,34
3.413,3.765,27
2.019,2.196,18
1.314,1.721,88
1.736,2.701,6
0.381,2.513,164
1.308,2.555,38
2.304,1.858,20
1.395,1.065,22
1.645,2.211,69
2.229,2.325,53
0.683,0.855,51
1.505,2.715,61
1.253,0.745,128
1.323,1.519,189
3.378,3.318,55
2.03,1.863,54
0.944,0.966,75
0.489,2.656,3
1.931,2.492,41
1.066,0.75,60
2.602,2.544,79
2.963,4.261,93
2.979,3.758,12
2.146,2.01,8
1.839,2.267,2
2.165,2.857,86
1.91,1.589,11
1.648,1.708,37
3.279,4.079,40
1.27,1.858,29
3.072,3.852,63
1.349,1.777,124
1.439,2.643,74
1.291,1.288,176
1.456,1.918,39
3.498,4.16,64
0.517,2.466,119
2.006,1.258,95
2.651,1.358,48
2.873,3.663,59
3.174,3.636,10
1.945,2.643,162
2.046,2.126,8
2.497,2.583,26
1.828,2.237,2
1.197,1.706,188
2.124,1.861,81
0.801,0.961,33
2.907,3.984,130
1.183,0.804,149
2.258,1.237,24
2.39,1.757,84
1.619,2.127,120
1.238,2.388,58
2.359,2.724,94
1.372,2.034,72
1.693,2.542,0
0.421,1.044,32
2.468,2.757,30
2.663,3.214,56
3.363,4.076,28
2.082,2.268,18
2.898,3.511,166
1.691,1.834,82
2.387,1.792,84
1.432,2.667,74
