og_coord,starfish_coord,dist
"(0.485, 2.688)","(0.443, 2.756)",0.079
"(1.724, 2.339)","(1.672, 2.398)",0.08
"(2.245, 2.345)","(2.308, 2.403)",0.085
"(0.483, 2.677)","(0.443, 2.756)",0.088
"(1.753, 2.438)","(1.672, 2.398)",0.09
"(1.637, 2.313)","(1.672, 2.398)",0.092
"(0.589, 1.523)","(0.549, 1.44)",0.093
"(0.64, 1.481)","(0.549, 1.44)",0.1
"(0.579, 1.538)","(0.549, 1.44)",0.102
"(0.427, 2.652)","(0.443, 2.756)",0.105
"(1.607, 2.309)","(1.672, 2.398)",0.11
"(1.638, 2.506)","(1.672, 2.398)",0.113
"(1.094, 0.837)","(1.107, 0.949)",0.113
"(0.891, 0.567)","(0.785, 0.526)",0.113
"(2.888, 4.246)","(2.871, 4.359)",0.114
"(1.208, 2.846)","(1.096, 2.817)",0.116
"(1.782, 2.355)","(1.672, 2.398)",0.118
"(0.669, 1.451)","(0.549, 1.44)",0.121
"(1.225, 2.186)","(1.237, 2.063)",0.123
"(1.009, 0.865)","(1.107, 0.949)",0.129
"(2.548, 2.408)","(2.49, 2.292)",0.129
"(2.219, 2.308)","(2.308, 2.403)",0.13
"(1.227, 2.817)","(1.096, 2.817)",0.132
"(1.362, 2.017)","(1.237, 2.063)",0.133
"(0.998, 0.873)","(1.107, 0.949)",0.133
"(1.539, 2.422)","(1.672, 2.398)",0.135
"(0.972, 0.955)","(1.107, 0.949)",0.135
"(1.206, 1.042)","(1.107, 0.949)",0.135
"(0.99, 1.022)","(1.107, 0.949)",0.138
"(1.136, 1.084)","(1.107, 0.949)",0.138
"(0.35, 2.65)","(0.443, 2.756)",0.141
"(2.166, 2.399)","(2.308, 2.403)",0.142
"(1.164, 2.19)","(1.237, 2.063)",0.147
"(0.611, 1.574)","(0.549, 1.44)",0.147
"(1.216, 2.209)","(1.237, 2.063)",0.148
"(1.039, 1.081)","(1.107, 0.949)",0.148
"(0.521, 2.628)","(0.443, 2.756)",0.15
"(1.535, 2.335)","(1.672, 2.398)",0.15
"(2.162, 2.369)","(2.308, 2.403)",0.15
"(1.822, 2.402)","(1.672, 2.398)",0.151
"(0.957, 0.971)","(1.107, 0.949)",0.151
"(2.161, 2.367)","(2.308, 2.403)",0.152
"(1.665, 2.246)","(1.672, 2.398)",0.152
"(2.946, 4.225)","(2.871, 4.359)",0.154
"(0.655, 1.552)","(0.549, 1.44)",0.154
"(2.451, 2.476)","(2.308, 2.403)",0.16
"(1.217, 2.223)","(1.237, 2.063)",0.161
"(0.477, 2.588)","(0.443, 2.756)",0.171
"(1.336, 1.924)","(1.237, 2.063)",0.171
"(1.273, 0.91)","(1.107, 0.949)",0.171
"(1.691, 2.571)","(1.672, 2.398)",0.174
"(1.772, 2.255)","(1.672, 2.398)",0.174
"(1.755, 2.552)","(1.672, 2.398)",0.175
"(2.49, 2.472)","(2.49, 2.292)",0.18
"(0.907, 0.664)","(0.785, 0.526)",0.183
"(0.939, 1.025)","(1.107, 0.949)",0.184
"(1.223, 2.952)","(1.096, 2.817)",0.185
"(0.674, 1.58)","(0.549, 1.44)",0.188
"(1.513, 2.501)","(1.672, 2.398)",0.189
"(1.712, 2.584)","(1.672, 2.398)",0.19
"(1.078, 2.171)","(1.237, 2.063)",0.193
"(1.298, 0.898)","(1.107, 0.949)",0.198
"(0.916, 0.889)","(1.107, 0.949)",0.201
"(0.928, 0.856)","(1.107, 0.949)",0.202
"(1.874, 2.357)","(1.672, 2.398)",0.207
"(1.522, 2.253)","(1.672, 2.398)",0.208
"(1.582, 2.208)","(1.672, 2.398)",0.21
"(1.461, 2.405)","(1.672, 2.398)",0.21
"(0.937, 0.822)","(1.107, 0.949)",0.212
"(1.048, 2.61)","(1.096, 2.817)",0.212
"(0.828, 0.735)","(0.785, 0.526)",0.212
"(2.279, 2.616)","(2.308, 2.403)",0.216
"(1.73, 2.19)","(1.672, 2.398)",0.216
"(2.11, 2.492)","(2.308, 2.403)",0.217
"(0.89, 0.946)","(1.107, 0.949)",0.217
"(1.639, 2.613)","(1.672, 2.398)",0.217
"(1.408, 2.2)","(1.237, 2.063)",0.219
"(0.693, 0.726)","(0.785, 0.526)",0.219
"(0.517, 1.22)","(0.549, 1.44)",0.222
"(1.445, 2.142)","(1.237, 2.063)",0.222
"(0.596, 1.222)","(0.549, 1.44)",0.223
"(1.309, 1.047)","(1.107, 0.949)",0.225
"(2.109, 2.507)","(2.308, 2.403)",0.225
"(2.084, 2.372)","(2.308, 2.403)",0.226
"(1.323, 1.028)","(1.107, 0.949)",0.23
"(1.461, 2.003)","(1.237, 2.063)",0.232
"(1.439, 2.181)","(1.237, 2.063)",0.233
"(1.445, 2.476)","(1.672, 2.398)",0.239
"(0.499, 1.206)","(0.549, 1.44)",0.239
"(1.913, 2.366)","(1.672, 2.398)",0.244
"(1.098, 2.573)","(1.096, 2.817)",0.244
"(0.618, 2.585)","(0.443, 2.756)",0.244
"(0.948, 0.709)","(0.785, 0.526)",0.245
"(2.555, 2.529)","(2.49, 2.292)",0.245
"(2.073, 2.334)","(2.308, 2.403)",0.245
"(1.441, 1.927)","(1.237, 2.063)",0.245
"(0.688, 0.755)","(0.785, 0.526)",0.248
"(0.596, 0.693)","(0.785, 0.526)",0.252
"(2.422, 2.628)","(2.308, 2.403)",0.252
"(1.6, 2.64)","(1.672, 2.398)",0.252
