og_coord,starfish_coord,dist
"(0.724, 0.472)","(0.785, 0.526)",0.082
"(1.196, 2.804)","(1.096, 2.817)",0.101
"(0.725, 0.44)","(0.785, 0.526)",0.105
"(1.208, 2.824)","(1.096, 2.817)",0.113
"(2.305, 2.526)","(2.308, 2.403)",0.124
"(0.428, 2.63)","(0.443, 2.756)",0.127
"(1.361, 2.027)","(1.237, 2.063)",0.129
"(2.324, 2.534)","(2.308, 2.403)",0.132
"(1.241, 1.926)","(1.237, 2.063)",0.137
"(2.317, 2.542)","(2.308, 2.403)",0.139
"(1.359, 1.989)","(1.237, 2.063)",0.142
"(1.265, 1.924)","(1.237, 2.063)",0.142
"(1.529, 2.376)","(1.672, 2.398)",0.144
"(1.545, 2.32)","(1.672, 2.398)",0.148
"(0.666, 1.533)","(0.549, 1.44)",0.15
"(0.678, 0.636)","(0.785, 0.526)",0.153
"(0.697, 1.5)","(0.549, 1.44)",0.16
"(0.463, 2.595)","(0.443, 2.756)",0.162
"(1.511, 2.369)","(1.672, 2.398)",0.163
"(0.48, 2.595)","(0.443, 2.756)",0.165
"(1.256, 1.896)","(1.237, 2.063)",0.168
"(1.401, 2.016)","(1.237, 2.063)",0.17
"(0.688, 1.542)","(0.549, 1.44)",0.172
"(1.81, 2.296)","(1.672, 2.398)",0.172
"(2.722, 4.269)","(2.871, 4.359)",0.174
"(0.703, 1.523)","(0.549, 1.44)",0.175
"(1.288, 1.894)","(1.237, 2.063)",0.176
"(2.349, 2.185)","(2.49, 2.292)",0.178
"(1.396, 1.983)","(1.237, 2.063)",0.178
"(1.318, 1.904)","(1.237, 2.063)",0.178
"(1.489, 2.38)","(1.672, 2.398)",0.183
"(0.492, 2.579)","(0.443, 2.756)",0.184
"(1.055, 1.13)","(1.107, 0.949)",0.188
"(1.288, 2.814)","(1.096, 2.817)",0.193
"(0.391, 2.569)","(0.443, 2.756)",0.194
"(1.276, 1.872)","(1.237, 2.063)",0.195
"(0.631, 0.652)","(0.785, 0.526)",0.199
"(2.722, 4.226)","(2.871, 4.359)",0.199
"(1.472, 2.38)","(1.672, 2.398)",0.2
"(3.039, 4.246)","(2.871, 4.359)",0.203
"(0.716, 1.556)","(0.549, 1.44)",0.203
"(1.245, 1.86)","(1.237, 2.063)",0.204
"(1.231, 1.856)","(1.237, 2.063)",0.208
"(1.422, 1.966)","(1.237, 2.063)",0.208
"(0.492, 2.55)","(0.443, 2.756)",0.211
"(1.338, 1.877)","(1.237, 2.063)",0.212
"(1.406, 2.191)","(1.237, 2.063)",0.212
"(0.707, 1.583)","(0.549, 1.44)",0.213
"(0.91, 0.699)","(0.785, 0.526)",0.213
"(0.718, 1.575)","(0.549, 1.44)",0.217
"(0.892, 0.916)","(1.107, 0.949)",0.217
"(0.706, 1.6)","(0.549, 1.44)",0.224
"(0.883, 0.943)","(1.107, 0.949)",0.224
"(1.314, 1.845)","(1.237, 2.063)",0.231
"(0.905, 0.831)","(1.107, 0.949)",0.234
"(1.381, 2.249)","(1.237, 2.063)",0.235
"(3.043, 4.196)","(2.871, 4.359)",0.237
"(0.867, 0.939)","(1.107, 0.949)",0.24
"(1.23, 1.821)","(1.237, 2.063)",0.242
"(0.942, 0.711)","(0.785, 0.526)",0.242
"(0.966, 0.751)","(1.107, 0.949)",0.244
"(1.074, 2.245)","(1.237, 2.063)",0.245
"(0.916, 0.733)","(0.785, 0.526)",0.245
"(0.754, 1.582)","(0.549, 1.44)",0.249
"(0.875, 0.855)","(1.107, 0.949)",0.25
"(1.361, 1.841)","(1.237, 2.063)",0.254
"(1.342, 1.831)","(1.237, 2.063)",0.254
"(3.062, 4.189)","(2.871, 4.359)",0.256
"(1.399, 2.268)","(1.237, 2.063)",0.261
"(1.411, 2.38)","(1.672, 2.398)",0.262
"(0.55, 1.178)","(0.549, 1.44)",0.262
"(2.115, 2.582)","(2.308, 2.403)",0.264
"(1.276, 1.801)","(1.237, 2.063)",0.265
"(0.971, 0.721)","(1.107, 0.949)",0.266
"(0.585, 1.176)","(0.549, 1.44)",0.266
"(1.444, 2.252)","(1.672, 2.398)",0.27
"(2.648, 4.198)","(2.871, 4.359)",0.275
"(0.438, 1.188)","(0.549, 1.44)",0.276
"(1.417, 2.291)","(1.672, 2.398)",0.276
"(1.427, 1.86)","(1.237, 2.063)",0.278
"(1.331, 2.665)","(1.096, 2.817)",0.279
"(2.119, 2.612)","(2.308, 2.403)",0.282
"(1.389, 1.824)","(1.237, 2.063)",0.283
"(0.555, 1.157)","(0.549, 1.44)",0.283
"(1.346, 1.799)","(1.237, 2.063)",0.285
"(3.088, 4.175)","(2.871, 4.359)",0.285
"(1.381, 0.867)","(1.107, 0.949)",0.287
"(1.35, 2.682)","(1.096, 2.817)",0.288
"(2.046, 2.525)","(2.308, 2.403)",0.289
"(0.658, 1.168)","(0.549, 1.44)",0.293
"(1.375, 1.802)","(1.237, 2.063)",0.295
"(1.822, 2.142)","(1.672, 2.398)",0.297
"(0.442, 1.161)","(0.549, 1.44)",0.298
"(1.384, 2.489)","(1.672, 2.398)",0.301
"(1.038, 2.29)","(1.237, 2.063)",0.302
"(1.785, 2.679)","(1.672, 2.398)",0.303
"(1.545, 2.083)","(1.237, 2.063)",0.308
"(1.411, 1.804)","(1.237, 2.063)",0.312
"(2.07, 2.196)","(2.308, 2.403)",0.315
"(1.86, 2.143)","(1.672, 2.398)",0.317
"(1.377, 2.517)","(1.672, 2.398)",0.318
