cluster_id,cluster_size,cluster_area
0,3,0.007
1,2,0.0056
2,6,0.0146
3,2,0.0056
4,7,0.0187
5,4,0.0102
6,9,0.0203
7,3,0.008
8,4,0.0106
9,2,0.0056
10,4,0.0088
11,2,0.0053
12,2,0.0053
13,2,0.0055
14,4,0.0097
15,5,0.012
16,3,0.0065
17,4,0.0088
18,2,0.0056
19,2,0.0051
20,2,0.0055
21,3,0.0069
22,3,0.0072
23,2,0.0053
24,2,0.0052
25,2,0.005
26,2,0.005
27,2,0.0052
28,2,0.005
29,1,0.0028
30,1,0.0028
31,2,0.0049
32,4,0.0099
33,4,0.0086
34,2,0.0054
35,4,0.0067
36,1,0.0028
37,6,0.0132
38,3,0.0071
39,2,0.0049
40,4,0.0083
41,2,0.0051
42,3,0.0071
43,2,0.005
44,5,0.0096
45,2,0.0048
46,3,0.0054
47,1,0.0028
48,2,0.0041
49,2,0.0051
50,4,0.0063
51,3,0.0063
52,3,0.0067
53,1,0.0028
54,1,0.0028
55,1,0.0028
56,2,0.0043
57,2,0.0038
58,3,0.0051
59,1,0.0028
60,1,0.0028
61,1,0.0028
62,1,0.0028
63,1,0.0028
64,1,0.0028
65,2,0.0053
66,1,0.0028
67,1,0.0028
68,1,0.0028
69,1,0.0028
70,1,0.0028
71,2,0.0041
72,1,0.0028
73,1,0.0028
74,1,0.0028
75,2,0.0049
76,2,0.0041
77,2,0.0043
78,2,0.0053
79,2,0.0044
80,1,0.0028
81,2,0.0044
82,3,0.0062
83,1,0.0028
84,2,0.0042
85,1,0.0028
86,3,0.0072
87,1,0.0028
88,1,0.0028
89,5,0.0087
90,2,0.0048
91,1,0.0028
92,1,0.0028
93,2,0.004
94,2,0.0048
95,1,0.0028
96,1,0.0028
97,1,0.0028
98,1,0.0028
99,1,0.0028
100,2,0.0036
101,1,0.0028
102,1,0.0028
103,1,0.0028
104,1,0.0028
105,1,0.0028
106,1,0.0028
107,1,0.0028
108,1,0.0028
109,1,0.0028
110,1,0.0028
111,1,0.0028
112,1,0.0028
113,2,0.0041
114,1,0.0028
115,1,0.0028
116,1,0.0028
117,1,0.0028
118,1,0.0028
119,1,0.0028
120,1,0.0028
121,1,0.0028
122,1,0.0028
123,1,0.0028
124,1,0.0028
125,1,0.0028
126,1,0.0028
127,1,0.0028
128,1,0.0028
129,1,0.0028
130,1,0.0028
131,1,0.0028
132,1,0.0028
133,1,0.0028
134,1,0.0028
135,1,0.0028
136,1,0.0028
137,1,0.0028
138,1,0.0028
139,1,0.0028
140,1,0.0028
141,1,0.0028
142,1,0.0028
143,1,0.0028
144,1,0.0028
145,1,0.0028
146,1,0.0028
147,1,0.0028
148,1,0.0028
149,1,0.0028
150,1,0.0028
151,1,0.0028
152,2,0.0038
153,1,0.0028
154,1,0.0028
155,1,0.0028
156,1,0.0028
157,1,0.0028
158,1,0.0028
159,1,0.0028
160,1,0.0028
161,1,0.0028
162,1,0.0028
163,1,0.0028
164,1,0.0028
165,1,0.0028
166,1,0.0028
167,1,0.0028
168,1,0.0028
169,1,0.0028
170,1,0.0028
171,1,0.0028
172,1,0.0028
173,1,0.0028
174,1,0.0028
175,1,0.0028
176,1,0.0028
177,1,0.0028
178,1,0.0028
179,1,0.0028
180,1,0.0028
181,1,0.0028
182,1,0.0028
183,1,0.0028
184,1,0.0028
185,1,0.0028
186,1,0.0028
187,1,0.0028
188,1,0.0028
189,1,0.0028
190,1,0.0028
191,1,0.0028
