X,Y,cluster_id
2.647,3.218,0
2.643,3.195,0
2.703,3.241,0
1.281,2.164,1
1.319,2.118,1
1.66,1.769,2
1.731,1.82,2
1.746,1.929,2
1.767,1.877,2
1.709,1.767,2
1.75,1.872,2
0.47,2.507,3
0.469,2.448,3
1.873,1.52,4
1.857,1.571,4
1.907,1.579,4
1.944,1.605,4
1.962,1.558,4
1.961,1.661,4
1.818,1.506,4
1.393,1.439,5
1.445,1.46,5
1.376,1.489,5
1.354,1.517,5
1.235,2.532,6
1.211,2.453,6
1.246,2.452,6
1.322,2.531,6
1.237,2.605,6
1.277,2.535,6
1.233,2.558,6
1.249,2.478,6
1.343,2.479,6
1.454,2.308,7
1.472,2.364,7
1.459,2.264,7
1.528,2.178,8
1.601,2.242,8
1.592,2.29,8
1.546,2.222,8
0.643,1.38,9
0.62,1.432,9
1.751,1.351,10
1.719,1.34,10
1.802,1.325,10
1.816,1.307,10
0.778,0.989,11
0.754,0.948,11
2.586,2.57,12
2.627,2.543,12
1.26,1.808,13
1.306,1.781,13
1.272,1.267,14
1.352,1.243,14
1.378,1.208,14
1.315,1.246,14
1.452,2.013,15
1.461,2.071,15
1.429,1.971,15
1.458,2.098,15
1.447,1.934,15
3.098,3.486,16
3.114,3.485,16
3.069,3.436,16
2.129,2.7,17
2.16,2.648,17
2.119,2.652,17
2.138,2.719,17
0.786,0.43,18
0.746,0.471,18
0.636,1.226,19
0.595,1.211,19
3.231,3.774,20
3.268,3.736,20
1.585,1.867,21
1.602,1.796,21
1.576,1.846,21
1.278,2.722,22
1.256,2.762,22
1.242,2.71,22
2.498,3.034,23
2.528,2.998,23
2.531,2.872,24
2.574,2.883,24
3.151,3.853,25
3.187,3.872,25
2.312,2.22,26
2.352,2.228,26
0.843,1.101,27
0.88,1.125,27
2.223,2.586,28
2.183,2.578,28
1.532,0.955,29
3.381,4.101,30
0.782,1.344,31
0.766,1.31,31
0.994,0.823,32
1.048,0.771,32
1.008,0.794,32
1.106,0.775,32
2.186,2.237,33
2.144,2.188,33
2.224,2.243,33
2.166,2.206,33
2.787,3.621,34
