og_coord,goldstar_coord,dist
"(0.42, 2.696)","(0.443, 2.756)",0.064
"(0.718, 0.579)","(0.785, 0.526)",0.086
"(1.713, 2.321)","(1.672, 2.398)",0.088
"(0.73, 0.454)","(0.785, 0.526)",0.091
"(1.738, 2.46)","(1.672, 2.398)",0.091
"(1.618, 2.323)","(1.672, 2.398)",0.093
"(1.609, 2.326)","(1.672, 2.398)",0.096
"(1.576, 2.39)","(1.672, 2.398)",0.096
"(2.42, 2.361)","(2.49, 2.292)",0.099
"(1.188, 2.777)","(1.096, 2.817)",0.1
"(0.84, 0.435)","(0.785, 0.526)",0.106
"(0.485, 2.656)","(0.443, 2.756)",0.108
"(1.65, 2.507)","(1.672, 2.398)",0.111
"(2.291, 2.291)","(2.308, 2.403)",0.113
"(2.528, 2.408)","(2.49, 2.292)",0.122
"(1.58, 2.481)","(1.672, 2.398)",0.123
"(1.229, 1.935)","(1.237, 2.063)",0.128
"(1.785, 2.336)","(1.672, 2.398)",0.129
"(3.007, 4.34)","(2.871, 4.359)",0.137
"(1.11, 2.12)","(1.237, 2.063)",0.139
"(0.688, 1.43)","(0.549, 1.44)",0.14
"(2.943, 4.238)","(2.871, 4.359)",0.14
"(2.445, 2.442)","(2.308, 2.403)",0.143
"(2.237, 2.532)","(2.308, 2.403)",0.147
"(1.238, 0.867)","(1.107, 0.949)",0.155
"(1.13, 1.103)","(1.107, 0.949)",0.156
"(0.996, 0.836)","(1.107, 0.949)",0.159
"(2.389, 2.168)","(2.49, 2.292)",0.161
"(2.431, 2.507)","(2.308, 2.403)",0.161
"(0.956, 1.007)","(1.107, 0.949)",0.161
"(1.513, 2.44)","(1.672, 2.398)",0.164
"(1.375, 2.157)","(1.237, 2.063)",0.167
"(1.24, 2.728)","(1.096, 2.817)",0.169
"(0.988, 1.071)","(1.107, 0.949)",0.17
"(1.243, 2.73)","(1.096, 2.817)",0.171
"(2.17, 2.504)","(2.308, 2.403)",0.171
"(1.044, 0.789)","(1.107, 0.949)",0.173
"(0.957, 1.037)","(1.107, 0.949)",0.173
"(1.224, 2.699)","(1.096, 2.817)",0.174
"(2.169, 2.508)","(2.308, 2.403)",0.175
"(1.28, 1.893)","(1.237, 2.063)",0.175
"(1.512, 2.325)","(1.672, 2.398)",0.176
"(0.63, 0.611)","(0.785, 0.526)",0.177
"(0.931, 0.973)","(1.107, 0.949)",0.177
"(1.285, 1.89)","(1.237, 2.063)",0.18
"(2.786, 4.199)","(2.871, 4.359)",0.181
"(1.385, 1.953)","(1.237, 2.063)",0.184
"(1.557, 2.542)","(1.672, 2.398)",0.184
"(2.129, 2.447)","(2.308, 2.403)",0.184
"(1.857, 2.405)","(1.672, 2.398)",0.186
"(0.955, 1.064)","(1.107, 0.949)",0.19
"(0.742, 0.712)","(0.785, 0.526)",0.19
"(0.791, 0.719)","(0.785, 0.526)",0.192
"(1.539, 2.259)","(1.672, 2.398)",0.193
"(1.427, 2.022)","(1.237, 2.063)",0.194
"(2.462, 2.526)","(2.308, 2.403)",0.198
"(2.139, 2.507)","(2.308, 2.403)",0.199
"(2.18, 2.244)","(2.308, 2.403)",0.204
"(1.856, 2.309)","(1.672, 2.398)",0.205
"(2.69, 4.259)","(2.871, 4.359)",0.207
"(1.735, 2.197)","(1.672, 2.398)",0.211
"(1.319, 2.259)","(1.237, 2.063)",0.212
"(0.921, 0.69)","(0.785, 0.526)",0.212
"(1.056, 2.606)","(1.096, 2.817)",0.214
"(2.134, 2.278)","(2.308, 2.403)",0.214
"(1.307, 0.872)","(1.107, 0.949)",0.215
"(0.892, 0.938)","(1.107, 0.949)",0.215
"(2.192, 2.588)","(2.308, 2.403)",0.219
"(0.398, 2.54)","(0.443, 2.756)",0.221
"(1.292, 1.071)","(1.107, 0.949)",0.222
"(1.322, 0.888)","(1.107, 0.949)",0.224
"(1.146, 2.598)","(1.096, 2.817)",0.224
"(0.948, 0.683)","(0.785, 0.526)",0.226
"(1.276, 1.1)","(1.107, 0.949)",0.226
"(0.584, 2.578)","(0.443, 2.756)",0.227
"(1.222, 1.835)","(1.237, 2.063)",0.229
"(1.223, 0.751)","(1.107, 0.949)",0.229
"(1.04, 2.192)","(1.237, 2.063)",0.236
"(1.397, 2.238)","(1.237, 2.063)",0.237
"(1.201, 0.731)","(1.107, 0.949)",0.238
"(0.748, 1.57)","(0.549, 1.44)",0.238
"(0.879, 1.017)","(1.107, 0.949)",0.238
"(1.276, 2.299)","(1.237, 2.063)",0.239
"(1.153, 2.582)","(1.096, 2.817)",0.242
"(1.33, 1.051)","(1.107, 0.949)",0.245
"(1.438, 2.324)","(1.672, 2.398)",0.245
"(2.34, 2.097)","(2.49, 2.292)",0.247
"(0.613, 2.576)","(0.443, 2.756)",0.247
"(2.061, 2.413)","(2.308, 2.403)",0.248
"(1.192, 0.714)","(1.107, 0.949)",0.25
"(1.29, 1.12)","(1.107, 0.949)",0.251
"(0.742, 0.774)","(0.785, 0.526)",0.251
"(1.856, 2.226)","(1.672, 2.398)",0.252
"(1.693, 2.651)","(1.672, 2.398)",0.254
"(2.136, 2.592)","(2.308, 2.403)",0.256
"(0.449, 1.204)","(0.549, 1.44)",0.257
"(1.189, 2.318)","(1.237, 2.063)",0.26
"(1.422, 2.316)","(1.672, 2.398)",0.263
"(0.899, 0.789)","(1.107, 0.949)",0.263
"(0.956, 0.729)","(0.785, 0.526)",0.265
"(2.24, 2.659)","(2.308, 2.403)",0.265
"(1.269, 1.799)","(1.237, 2.063)",0.266
"(1.435, 2.272)","(1.672, 2.398)",0.268
"(1.94, 2.422)","(1.672, 2.398)",0.27
"(1.349, 1.07)","(1.107, 0.949)",0.27
"(1.037, 2.246)","(1.237, 2.063)",0.271
"(1.888, 2.564)","(1.672, 2.398)",0.272
"(1.51, 2.097)","(1.237, 2.063)",0.274
"(0.438, 1.187)","(0.549, 1.44)",0.277
"(0.37, 2.486)","(0.443, 2.756)",0.28
"(1.128, 2.539)","(1.096, 2.817)",0.28
"(1.33, 2.661)","(1.096, 2.817)",0.281
"(1.309, 2.335)","(1.237, 2.063)",0.282
"(0.781, 1.61)","(0.549, 1.44)",0.287
"(1.124, 2.328)","(1.237, 2.063)",0.289
"(0.629, 2.534)","(0.443, 2.756)",0.289
