og_coord,closest_coord,dist
"(1.412, 1.259)","(1.413, 1.254)",0.005
"(1.413, 1.254)","(1.412, 1.259)",0.005
"(3.197, 3.654)","(3.191, 3.656)",0.006
"(3.191, 3.656)","(3.197, 3.654)",0.006
"(1.65, 2.067)","(1.657, 2.071)",0.008
"(1.657, 2.071)","(1.65, 2.067)",0.008
"(3.395, 4.173)","(3.389, 4.179)",0.008
"(2.019, 1.838)","(2.011, 1.839)",0.008
"(2.011, 1.839)","(2.019, 1.838)",0.008
"(3.389, 4.179)","(3.395, 4.173)",0.008
"(2.294, 2.993)","(2.303, 2.999)",0.011
"(2.303, 2.999)","(2.294, 2.993)",0.011
"(2.206, 2.691)","(2.208, 2.679)",0.011
"(2.208, 2.679)","(2.206, 2.691)",0.011
"(2.447, 1.19)","(2.444, 1.178)",0.013
"(2.444, 1.178)","(2.447, 1.19)",0.013
"(2.217, 1.98)","(2.224, 1.992)",0.014
"(2.224, 1.992)","(2.217, 1.98)",0.014
"(0.634, 0.693)","(0.641, 0.709)",0.017
"(0.641, 0.709)","(0.634, 0.693)",0.017
"(1.659, 1.865)","(1.652, 1.882)",0.018
"(1.652, 1.882)","(1.659, 1.865)",0.018
"(2.216, 1.56)","(2.202, 1.573)",0.018
"(2.202, 1.573)","(2.216, 1.56)",0.018
"(1.859, 1.948)","(1.87, 1.931)",0.02
"(1.87, 1.931)","(1.859, 1.948)",0.02
"(1.654, 2.047)","(1.65, 2.067)",0.021
"(1.456, 2.551)","(1.471, 2.538)",0.021
"(2.015, 1.818)","(2.019, 1.838)",0.021
"(1.471, 2.538)","(1.456, 2.551)",0.021
"(1.741, 1.882)","(1.742, 1.861)",0.021
"(1.742, 1.861)","(1.741, 1.882)",0.021
"(1.823, 2.515)","(1.827, 2.494)",0.022
"(1.827, 2.494)","(1.823, 2.515)",0.022
"(0.54, 0.946)","(0.522, 0.96)",0.022
"(0.522, 0.96)","(0.54, 0.946)",0.022
"(1.043, 0.802)","(1.04, 0.778)",0.024
"(1.04, 0.778)","(1.043, 0.802)",0.024
"(0.627, 2.538)","(0.648, 2.549)",0.024
"(0.648, 2.549)","(0.627, 2.538)",0.024
"(1.159, 1.083)","(1.174, 1.102)",0.025
"(1.174, 1.102)","(1.159, 1.083)",0.025
"(1.507, 2.744)","(1.489, 2.762)",0.025
"(1.489, 2.762)","(1.507, 2.744)",0.025
"(2.497, 2.817)","(2.497, 2.843)",0.026
"(2.497, 2.843)","(2.497, 2.817)",0.026
"(2.315, 1.064)","(2.289, 1.071)",0.027
"(2.289, 1.071)","(2.315, 1.064)",0.027
"(0.543, 2.551)","(0.521, 2.537)",0.027
"(0.521, 2.537)","(0.543, 2.551)",0.027
"(2.175, 1.58)","(2.202, 1.573)",0.028
"(2.411, 0.991)","(2.386, 1.004)",0.028
"(2.386, 1.004)","(2.411, 0.991)",0.028
"(3.287, 3.872)","(3.298, 3.898)",0.028
"(3.298, 3.898)","(3.287, 3.872)",0.028
"(2.271, 1.331)","(2.299, 1.339)",0.029
"(2.299, 1.339)","(2.271, 1.331)",0.029
"(1.882, 1.967)","(1.859, 1.948)",0.03
"(1.908, 1.952)","(1.882, 1.967)",0.03
