og_centroid,closest_centroid,dist,cluster_id
"(3.234, 3.607)","(3.082, 3.586)",0.154,33
"(3.082, 3.586)","(3.234, 3.607)",0.154,19
"(3.354, 3.729)","(3.234, 3.607)",0.172,37
"(1.81, 1.588)","(1.632, 1.644)",0.187,21
"(1.632, 1.644)","(1.81, 1.588)",0.187,39
"(1.51, 1.998)","(1.479, 2.19)",0.195,3
"(1.479, 2.19)","(1.51, 1.998)",0.195,5
"(2.967, 3.421)","(3.082, 3.586)",0.2,13
"(2.429, 3.408)","(2.546, 3.594)",0.219,98
"(2.546, 3.594)","(2.429, 3.408)",0.219,10
"(2.488, 3.095)","(2.299, 2.976)",0.223,90
"(2.299, 2.976)","(2.488, 3.095)",0.223,15
"(1.953, 1.39)","(1.81, 1.588)",0.244,31
"(2.806, 3.609)","(2.967, 3.421)",0.248,23
"(1.343, 1.263)","(1.609, 1.244)",0.266,8
"(1.609, 1.244)","(1.343, 1.263)",0.266,7
"(1.346, 0.938)","(1.343, 1.263)",0.325,46
"(2.034, 2.785)","(2.299, 2.976)",0.327,17
"(2.196, 1.782)","(2.045, 2.098)",0.35,81
"(2.045, 2.098)","(2.196, 1.782)",0.35,2
"(1.85, 2.483)","(2.034, 2.785)",0.354,32
"(2.27, 1.185)","(1.953, 1.39)",0.377,4
"(2.572, 2.712)","(2.299, 2.976)",0.38,36
"(0.918, 0.753)","(1.346, 0.938)",0.466,85
