X,Y,cluster_id
1.288,0.879,207
2.246,0.917,20
1.353,2.569,183
2.287,2.586,19
2.333,0.969,101
1.585,2.448,155
3.289,3.596,91
0.766,0.981,126
2.567,3.512,2
2.506,1.57,208
1.546,1.1,74
1.787,2.222,97
1.409,2.801,205
0.607,0.744,210
1.406,1.548,213
3.414,4.197,158
2.31,2.607,19
1.497,1.98,16
0.715,0.812,191
0.942,1.017,31
1.372,1.333,152
1.425,2.017,16
3.377,3.765,123
2.767,3.666,52
3.255,3.569,91
1.327,1.153,160
2.35,0.931,101
3.165,3.688,10
3.251,4.098,4
3.234,3.76,190
3.097,3.526,147
2.97,3.344,25
3.026,4.295,169
2.568,2.629,185
1.126,1.155,124
1.502,1.755,46
2.566,3.462,2
0.667,1.426,40
1.792,2.688,173
2.389,1.155,176
2.758,3.593,52
0.876,0.908,15
1.501,1.397,21
1.467,2.723,29
1.416,2.657,0
2.321,2.006,171
1.83,1.996,62
1.13,0.818,136
3.106,4.06,109
0.99,2.3,143
0.846,1.058,192
1.246,1.87,138
2.506,0.8,111
0.442,2.43,199
2.034,2.153,164
0.507,2.69,167
3.064,4.141,130
1.175,2.459,37
1.73,1.053,159
2.429,3.089,175
0.605,2.495,27
3.039,3.934,94
1.746,1.379,32
1.991,1.307,53
0.391,2.596,99
1.313,2.709,26
1.67,2.067,23
1.423,0.868,153
2.278,1.231,197
1.601,2.263,209
2.184,2.219,149
2.582,2.556,13
1.57,1.026,168
2.021,2.303,115
1.511,1.106,74
0.888,2.452,36
3.17,3.377,154
1.268,2.325,6
3.105,3.315,184
0.925,0.978,31
1.937,1.947,151
2.613,2.52,13
3.009,4.003,94
1.322,2.436,5
1.319,1.039,9
1.36,2.108,117
2.55,2.769,186
1.402,2.714,0
1.504,2.693,29
2.739,3.699,52
1.57,2.638,75
0.841,0.945,15
1.425,1.979,16
1.297,1.967,63
2.085,1.754,193
1.718,2.678,165
0.855,2.427,36
3.292,3.4,22
1.663,2.618,148
2.538,4.084,203
1.298,0.817,64
2.299,3.325,134
2.341,1.753,121
2.252,2.901,125
0.781,2.47,187
