X,Y,cluster_id
1.407,1.352,0
1.467,1.361,0
0.75,1.007,1
0.802,0.976,1
0.747,1.061,1
1.549,1.155,2
1.565,1.098,2
3.3,3.487,3
3.286,3.544,3
1.92,1.348,4
1.915,1.407,4
2.438,3.125,5
2.49,3.146,5
2.503,3.124,5
1.585,1.397,6
1.639,1.414,6
1.928,1.717,7
1.874,1.715,7
1.904,1.737,7
1.845,1.66,7
1.839,1.705,7
1.867,1.606,7
3.096,3.984,8
3.138,4.046,8
3.096,4.047,8
3.078,4.014,8
2.277,1.843,9
2.269,1.807,9
2.204,1.812,9
2.323,1.82,9
2.184,1.751,9
2.232,1.818,9
2.199,1.762,9
1.558,2.336,10
1.561,2.36,10
1.568,2.414,10
1.127,2.483,11
1.08,2.454,11
2.748,3.715,12
2.71,3.735,12
2.663,3.72,12
2.757,3.702,12
2.025,2.172,13
2.039,2.144,13
1.301,1.47,14
1.28,1.522,14
1.26,1.054,15
1.269,1.108,15
3.44,4.145,16
3.396,4.112,16
1.353,1.908,17
1.377,1.879,17
2.314,1.003,18
2.325,0.963,18
0.596,1.139,19
0.643,1.121,19
0.463,2.618,20
0.507,2.596,20
0.486,2.598,20
0.475,2.552,20
3.145,3.515,21
3.097,3.512,21
2.037,2.373,22
2.047,2.405,22
2.103,2.453,22
2.093,2.406,22
2.019,2.362,22
0.963,2.492,23
1.017,2.487,23
1.348,1.676,24
1.335,1.72,24
2.445,2.53,25
2.493,2.539,25
2.402,0.969,26
2.413,0.976,26
1.789,1.548,27
0.682,0.549,28
1.552,1.534,29
1.53,1.53,29
2.565,3.521,30
2.557,3.569,30
0.714,1.378,31
0.735,1.396,31
1.404,2.388,32
1.36,2.409,32
1.4,2.193,33
1.436,2.209,33
2.562,0.785,34
2.511,0.778,34
1.504,2.614,35
1.488,2.642,35
1.763,2.038,36
2.107,2.622,37
2.134,2.643,37
2.39,1.746,38
2.372,1.76,38
1.319,1.282,39
1.308,1.328,39
2.629,2.687,40
0.728,0.658,41
0.719,0.649,41
1.268,2.495,42
1.269,2.562,42
1.314,2.573,42
1.259,2.537,42
2.556,2.988,43
2.544,2.985,43
2.523,2.989,43
3.34,3.701,44
3.364,3.727,44
2.187,2.184,45
2.215,2.155,45
2.136,2.861,46
2.139,2.87,46
1.243,1.728,47
1.254,1.739,47
1.251,1.666,47
1.274,1.709,47
1.217,1.714,47
2.439,1.596,48
2.528,1.597,48
2.487,1.616,48
1.445,1.64,49
1.46,1.602,49
1.843,1.321,50
1.816,1.285,50
2.969,3.718,51
2.948,3.756,51
0.611,1.053,52
0.575,1.053,52
2.001,2.453,53
3.114,3.381,54
2.434,3.06,55
1.994,2.673,56
2.858,1.333,57
0.735,0.475,58
1.432,0.858,59
1.211,2.771,60
1.02,0.692,61
0.984,0.715,61
1.856,2.436,62
1.834,2.427,62
2.629,4.156,63
2.47,4.159,64
2.467,4.155,64
2.775,3.643,65
2.748,3.634,65
2.237,2.967,66
1.7,0.945,67
3.207,3.998,68
3.229,3.987,68
2.767,3.796,69
2.749,3.838,69
2.765,3.814,69
2.254,2.827,70
2.268,2.82,70
2.58,2.45,71
2.336,3.294,72
2.332,3.306,72
0.517,0.997,73
1.919,2.728,74
0.643,0.868,75
0.668,0.847,75
0.94,0.852,76
0.963,0.857,76
0.849,0.624,77
0.844,0.616,77
3.081,3.622,78
3.102,3.21,79
3.117,3.209,79
0.881,1.119,80
0.578,2.623,81
3.224,3.76,82
0.898,2.355,83
2.587,2.627,84
1.541,1.993,85
1.514,2.007,85
2.966,3.486,86
0.889,1.007,87
0.908,1.0,87
0.467,2.442,88
1.323,0.924,89
1.52,1.884,90
2.451,0.838,91
2.475,0.836,91
0.78,0.859,92
0.793,0.891,92
0.801,0.829,92
0.792,0.834,92
1.435,1.278,93
0.794,2.385,94
2.003,1.344,95
1.983,1.323,95
1.638,1.639,96
1.678,1.648,96
1.624,2.121,97
1.633,2.071,97
1.369,2.272,98
1.4,2.29,98
1.634,2.201,99
1.624,2.236,99
2.838,4.243,100
1.216,1.241,101
1.267,1.227,101
1.246,1.244,101
1.719,1.07,102
1.705,1.083,102
1.661,1.089,102
1.297,2.781,103
1.309,2.81,103
0.753,0.786,104
0.726,0.82,104
1.724,2.695,105
1.699,2.691,105
2.2,1.639,106
1.24,1.911,107
1.409,1.517,108
2.775,1.432,109
3.324,3.84,110
2.714,4.312,111
1.92,2.506,112
2.85,3.984,113
0.621,1.384,114
1.848,1.901,115
0.35,0.972,116
2.332,1.316,117
1.489,1.823,118
2.4,2.341,119
1.711,1.758,120
3.007,3.344,121
3.163,3.27,122
1.895,2.213,123
1.688,1.884,124
1.994,1.929,125
1.776,2.494,126
3.017,3.227,127
1.684,2.568,128
2.772,1.335,129
1.4,1.222,130
2.33,2.661,131
2.328,2.675,131
0.372,1.047,132
2.936,4.259,133
1.688,2.124,134
1.045,1.081,135
2.247,2.549,136
3.199,3.647,137
2.063,1.265,138
0.9,1.598,139
0.487,1.172,140
1.301,2.146,141
2.613,4.238,142
1.606,1.881,143
1.308,2.291,144
3.353,3.633,145
1.521,1.008,146
0.786,1.229,147
2.093,2.811,148
2.096,2.286,149
2.379,0.872,150
3.451,3.276,151
1.547,2.251,152
2.351,1.889,153
2.111,2.207,154
2.655,3.207,155
2.4,1.669,156
1.295,1.172,157
2.848,3.665,158
2.549,3.283,159
2.254,2.232,160
2.172,2.511,161
0.417,2.675,162
0.771,1.585,163
1.739,2.287,164
1.36,1.052,165
1.084,0.856,166
1.057,2.591,167
0.413,2.512,168
0.317,2.711,169
1.129,0.798,170
1.552,1.317,171
2.019,1.825,172
3.045,3.132,173
0.873,0.552,174
3.234,3.324,175
1.749,1.818,176
1.765,1.812,176
1.274,2.861,177
1.188,2.517,178
1.449,2.04,179
1.706,1.589,180
0.438,1.069,181
3.033,4.299,182
1.031,1.561,183
3.073,3.739,184
3.06,3.753,184
2.476,3.526,185
1.515,2.549,186
1.906,2.621,187
0.816,1.108,188
1.972,1.505,189
0.606,1.24,190
2.405,2.192,191
2.141,1.665,192
2.125,1.322,193
1.053,0.768,194
1.417,2.746,195
1.503,1.081,196
3.298,4.097,197
2.681,4.193,198
0.639,2.488,199
3.037,3.461,200
3.029,3.493,200
1.619,1.474,201
1.08,0.71,202
3.526,3.36,203
2.267,2.888,204
1.69,2.229,205
2.009,1.451,206
1.247,0.85,207
2.281,0.879,208
2.273,0.89,208
3.247,3.832,209
0.855,0.685,210
