X,Y,cluster_id
3.087,3.273,0
3.027,3.28,0
1.511,2.369,1
1.545,2.32,1
1.472,2.38,1
1.529,2.376,1
1.489,2.38,1
1.331,2.665,2
1.35,2.58,2
1.382,2.602,2
1.356,2.474,2
1.359,2.614,2
1.377,2.517,2
1.35,2.682,2
1.343,2.508,2
1.384,2.584,2
1.33,2.566,2
1.384,2.489,2
2.318,1.851,3
2.287,1.805,3
2.283,1.858,3
2.119,2.612,4
2.13,2.728,4
2.085,2.656,4
2.09,2.715,4
2.001,2.65,4
2.052,2.653,4
2.079,2.686,4
2.103,2.705,4
1.977,2.689,4
2.06,2.754,4
2.0,2.724,4
2.023,2.657,4
2.115,2.582,4
2.032,2.7,4
0.438,1.188,5
0.416,1.109,5
0.365,1.021,5
0.366,1.033,5
0.448,1.073,5
0.386,1.057,5
0.423,1.038,5
0.379,1.012,5
0.442,1.161,5
0.381,1.043,5
2.276,1.633,6
2.261,1.659,6
2.25,1.666,6
2.281,1.65,6
2.232,1.604,6
3.232,3.85,7
3.183,3.835,7
0.428,2.63,8
0.492,2.579,8
0.492,2.55,8
0.48,2.595,8
0.463,2.595,8
1.574,1.305,9
1.48,1.208,9
1.497,1.136,9
1.498,1.109,9
1.546,1.192,9
1.608,1.309,9
1.542,1.176,9
1.599,1.278,9
1.465,1.196,9
1.523,1.183,9
1.468,1.144,9
1.522,1.235,9
1.57,1.261,9
1.51,1.227,9
1.631,1.286,9
1.59,1.311,9
1.44,1.184,9
1.739,1.995,10
1.778,1.996,10
1.998,2.535,11
2.046,2.525,11
1.02,2.335,12
0.945,2.309,12
1.038,2.29,12
1.075,2.38,12
1.055,2.375,12
1.11,2.429,12
0.924,2.349,12
0.978,2.386,12
1.074,2.245,12
0.961,2.374,12
1.118,2.414,12
1.114,2.394,12
0.993,2.403,12
0.967,2.299,12
0.918,2.362,12
1.017,2.362,12
1.314,1.845,13
1.288,1.894,13
1.342,1.831,13
1.375,1.802,13
1.276,1.872,13
1.411,1.804,13
1.23,1.821,13
1.256,1.896,13
1.413,1.775,13
1.338,1.877,13
1.346,1.799,13
1.231,1.856,13
1.265,1.924,13
1.427,1.86,13
1.361,1.841,13
1.241,1.926,13
1.318,1.904,13
1.245,1.86,13
1.276,1.801,13
1.389,1.824,13
3.039,4.246,14
3.062,4.189,14
3.043,4.196,14
3.088,4.175,14
2.722,4.269,15
2.722,4.226,15
0.707,1.161,16
0.658,1.168,16
2.296,0.899,17
2.256,0.879,17
1.912,1.823,18
1.904,1.858,18
1.966,1.874,18
1.923,1.806,18
1.927,1.909,18
1.872,1.866,18
1.96,1.942,18
1.949,1.883,18
1.886,1.879,18
1.945,1.831,18
1.915,1.843,18
2.443,1.221,19
2.396,1.218,19
2.346,1.24,19
2.36,1.19,19
2.399,1.189,19
2.445,1.182,19
2.35,1.272,19
2.431,1.211,19
2.335,1.304,19
2.323,1.324,19
2.419,1.267,19
2.314,1.264,19
2.282,1.246,19
2.286,1.219,19
1.798,1.548,20
1.769,1.572,20
1.809,1.564,20
1.821,1.564,20
1.82,1.582,20
3.167,4.093,21
1.401,2.016,22
1.361,2.027,22
1.396,1.983,22
1.422,1.966,22
1.359,1.989,22
3.173,3.546,23
2.876,3.52,24
2.907,3.557,24
3.282,3.635,25
3.328,3.639,25
3.228,3.633,25
1.857,2.083,26
1.85,2.118,26
1.822,2.142,26
1.86,2.143,26
1.106,1.478,27
1.677,1.096,28
1.655,1.1,28
1.768,1.069,28
1.734,1.104,28
1.749,1.096,28
1.708,1.098,28
1.829,1.064,28
1.729,1.089,28
1.796,1.027,28
1.736,1.13,28
1.683,1.117,28
1.692,1.076,28
1.67,1.076,28
2.586,4.132,29
2.618,4.12,29
1.266,1.697,30
1.249,1.693,30
1.235,1.701,30
1.254,1.634,30
1.221,1.664,30
1.275,1.647,30
1.248,1.717,30
2.869,1.3,31
2.847,1.312,31
3.383,3.76,32
3.355,3.73,32
3.395,3.739,32
3.075,3.937,33
3.093,3.976,33
1.278,2.416,34
1.276,2.432,34
1.245,2.451,34
1.193,2.474,34
1.24,2.476,34
1.261,2.494,34
1.214,2.508,34
1.29,1.241,35
1.358,1.267,35
1.298,1.254,35
1.345,1.308,35
1.287,1.278,35
1.323,1.225,35
1.395,1.248,35
1.319,1.278,35
1.366,1.309,35
1.33,1.213,35
1.371,1.202,35
0.55,1.178,36
0.555,1.157,36
0.585,1.176,36
0.905,0.831,37
0.875,0.855,37
0.867,0.939,38
0.883,0.943,38
0.892,0.916,38
2.013,2.084,39
2.032,2.145,39
2.049,2.042,39
2.008,2.169,39
1.977,2.115,39
2.079,2.072,39
2.064,2.098,39
2.076,2.106,39
2.007,2.196,39
2.054,2.07,39
1.993,2.161,39
0.91,0.699,40
0.942,0.711,40
0.966,0.751,40
0.971,0.721,40
0.916,0.733,40
2.485,3.169,41
2.47,3.2,41
2.515,3.166,41
0.495,0.968,42
0.513,0.988,42
2.349,2.185,43
1.513,1.561,44
2.309,3.294,45
2.322,1.0,46
2.648,4.198,47
3.283,3.761,48
1.381,0.867,49
1.399,2.268,50
1.417,2.291,50
1.444,2.252,50
1.381,2.249,50
2.324,2.534,51
2.305,2.526,51
2.317,2.542,51
2.663,3.263,52
2.656,3.315,52
0.725,0.44,53
0.724,0.472,53
2.336,0.841,54
2.045,2.591,55
0.391,2.569,56
0.631,0.652,57
0.678,0.636,57
1.208,2.824,58
1.196,2.804,58
1.055,1.13,59
1.585,1.607,60
2.939,3.999,61
2.949,3.986,61
1.754,2.075,62
1.288,2.814,63
2.638,3.71,64
2.655,3.71,64
1.81,2.296,65
3.265,3.921,66
1.499,0.954,67
3.126,3.883,68
1.83,1.785,69
1.782,1.809,69
1.858,1.781,69
1.767,1.805,69
1.817,1.806,69
1.8,1.801,69
1.826,1.8,69
1.781,1.767,69
1.837,1.774,69
1.775,1.733,69
1.749,1.761,69
1.874,1.75,69
1.769,1.819,69
1.669,1.201,70
1.648,1.184,70
1.635,1.173,70
1.545,2.083,71
2.525,3.601,72
2.545,3.602,72
2.568,3.59,72
2.525,3.56,72
2.07,2.196,73
1.337,1.615,74
1.785,2.679,75
2.98,3.487,76
1.406,2.191,77
1.301,1.44,78
0.666,1.533,79
0.718,1.575,79
0.716,1.556,79
0.706,1.6,79
0.688,1.542,79
0.703,1.523,79
0.697,1.5,79
0.754,1.582,79
0.707,1.583,79
1.865,1.435,80
1.912,1.443,80
1.897,1.416,80
1.411,2.38,81
