radius,%_gp_captured,%_img_covered,LCPI,total_gp
100,0.015432098765432098,0.02444497627041359,0.6312993964371313,324
160,0.10185185185185185,0.11421945077561514,0.8917207284768027,324
220,0.2345679012345679,0.23209499525820304,1.0106547147801002,324
280,0.37037037037037035,0.359009826266877,1.0316441035099921,324
340,0.4876543209876543,0.4735477431312616,1.029789135437781,324
400,0.5679012345679012,0.5544783027594443,1.0242082183228012,324
460,0.6450617283950617,0.6266150780216165,1.0294385676637179,324
520,0.7037037037037037,0.6886548473113908,1.0218525382505703,324
580,0.75,0.7411593470397934,1.0119281406832639,324
640,0.7932098765432098,0.7860314764671587,1.0091324588021777,324
700,0.845679012345679,0.8238278216095465,1.0265239776600903,324
