cluster_id,cluster_size,cluster_area
0,9,0.0206
1,4,0.01
2,3,0.0084
3,4,0.0102
4,2,0.0056
5,2,0.0056
6,10,0.0221
7,4,0.0086
8,7,0.0168
9,3,0.0077
10,2,0.0055
11,3,0.0081
12,4,0.0085
13,6,0.0122
14,6,0.0124
15,3,0.0074
16,4,0.0072
17,2,0.0051
18,4,0.0108
19,6,0.0103
20,4,0.0098
21,2,0.0055
22,2,0.0055
23,5,0.0083
24,3,0.0076
25,2,0.0053
26,2,0.0046
27,3,0.0049
28,3,0.0079
29,1,0.0028
30,2,0.0054
31,3,0.0055
32,2,0.0049
33,2,0.0045
34,1,0.0028
35,2,0.0049
36,2,0.0039
37,3,0.007
38,4,0.0085
39,9,0.0186
40,2,0.0055
41,2,0.0054
42,2,0.0053
43,3,0.0074
44,2,0.0054
45,4,0.0082
46,2,0.0041
47,1,0.0028
48,1,0.0028
49,1,0.0028
50,1,0.0028
51,2,0.004
52,1,0.0028
53,1,0.0028
54,2,0.0036
55,2,0.0034
56,1,0.0028
57,2,0.0055
58,2,0.0042
59,1,0.0028
60,1,0.0028
61,2,0.0045
62,1,0.0028
63,1,0.0028
64,2,0.005
65,1,0.0028
66,1,0.0028
67,1,0.0028
68,1,0.0028
69,1,0.0028
70,1,0.0028
71,2,0.0047
72,2,0.0029
73,1,0.0028
74,1,0.0028
75,1,0.0028
76,2,0.0048
77,1,0.0028
78,2,0.0045
79,1,0.0028
80,1,0.0028
81,1,0.0028
82,1,0.0028
83,2,0.0052
84,5,0.0094
85,1,0.0028
86,1,0.0028
87,1,0.0028
88,1,0.0028
89,2,0.0053
90,1,0.0028
91,2,0.0046
92,2,0.0041
93,1,0.0028
94,1,0.0028
95,1,0.0028
96,1,0.0028
97,1,0.0028
98,1,0.0028
99,1,0.0028
100,1,0.0028
101,1,0.0028
102,1,0.0028
103,1,0.0028
104,1,0.0028
105,1,0.0028
106,1,0.0028
107,1,0.0028
108,1,0.0028
109,1,0.0028
110,1,0.0028
111,1,0.0028
112,1,0.0028
113,1,0.0028
114,1,0.0028
115,1,0.0028
116,2,0.0052
117,1,0.0028
118,1,0.0028
119,1,0.0028
120,1,0.0028
121,1,0.0028
122,1,0.0028
123,1,0.0028
124,1,0.0028
125,1,0.0028
126,1,0.0028
127,1,0.0028
128,1,0.0028
129,1,0.0028
130,1,0.0028
131,1,0.0028
132,1,0.0028
133,1,0.0028
134,1,0.0028
135,1,0.0028
136,1,0.0028
137,1,0.0028
138,1,0.0028
139,1,0.0028
140,1,0.0028
141,1,0.0028
142,1,0.0028
143,1,0.0028
144,1,0.0028
145,1,0.0028
146,1,0.0028
147,1,0.0028
148,1,0.0028
149,1,0.0028
150,1,0.0028
151,1,0.0028
152,1,0.0028
153,1,0.0028
154,1,0.0028
155,1,0.0028
156,1,0.0028
157,1,0.0028
158,1,0.0028
159,1,0.0028
160,1,0.0028
161,1,0.0028
162,1,0.0028
163,1,0.0028
164,1,0.0028
165,1,0.0028
166,1,0.0028
167,1,0.0028
168,1,0.0028
169,1,0.0028
170,1,0.0028
171,1,0.0028
172,1,0.0028
173,1,0.0028
174,1,0.0028
175,1,0.0028
176,1,0.0028
177,1,0.0028
178,1,0.0028
179,2,0.0044
180,2,0.0052
181,1,0.0028
182,1,0.0028
183,1,0.0028
184,1,0.0028
185,1,0.0028
186,1,0.0028
