cluster_id,cluster_size,cluster_area
0,2,0.0056
1,5,0.0092
2,11,0.0201
3,3,0.0074
4,14,0.027
5,10,0.0176
6,5,0.0084
7,2,0.0054
8,5,0.0091
9,17,0.0277
10,2,0.005
11,2,0.0054
12,16,0.0294
13,20,0.034
14,4,0.0083
15,2,0.0051
16,2,0.0054
17,2,0.0052
18,11,0.0177
19,14,0.0262
20,5,0.0075
21,1,0.0028
22,5,0.0101
23,1,0.0028
24,2,0.0053
25,3,0.008
26,4,0.0081
27,1,0.0028
28,13,0.0196
29,2,0.0047
30,7,0.0112
31,2,0.0042
32,3,0.0062
33,2,0.0052
34,7,0.0131
35,11,0.0191
36,3,0.0058
37,2,0.0049
38,3,0.0053
39,11,0.0201
40,5,0.0095
41,3,0.0065
42,2,0.0044
43,1,0.0028
44,1,0.0028
45,1,0.0028
46,1,0.0028
47,1,0.0028
48,1,0.0028
49,1,0.0028
50,4,0.0084
51,3,0.0044
52,2,0.0055
53,2,0.0046
54,1,0.0028
55,1,0.0028
56,1,0.0028
57,2,0.0054
58,2,0.0041
59,1,0.0028
60,1,0.0028
61,2,0.0038
62,1,0.0028
63,1,0.0028
64,2,0.0037
65,1,0.0028
66,1,0.0028
67,1,0.0028
68,1,0.0028
69,13,0.0169
70,3,0.0054
71,1,0.0028
72,4,0.0075
73,1,0.0028
74,1,0.0028
75,1,0.0028
76,1,0.0028
77,1,0.0028
78,1,0.0028
79,9,0.0132
80,3,0.0065
81,1,0.0028
