og_centroid,closest_centroid,dist,cluster_id
"(1.45, 1.627)","(1.541, 1.671)",0.101,206
"(1.541, 1.671)","(1.45, 1.627)",0.101,6
"(1.414, 1.911)","(1.475, 2.009)",0.116,8
"(1.475, 2.009)","(1.414, 1.911)",0.116,46
"(1.981, 1.652)","(1.98, 1.783)",0.131,5
"(1.98, 1.783)","(1.981, 1.652)",0.131,11
"(1.376, 2.134)","(1.475, 2.009)",0.159,35
"(1.336, 1.748)","(1.45, 1.627)",0.166,72
"(1.223, 2.688)","(1.379, 2.775)",0.179,1
"(1.379, 2.775)","(1.223, 2.688)",0.179,76
"(1.187, 2.511)","(1.223, 2.688)",0.18,95
"(0.455, 2.602)","(0.677, 2.525)",0.235,7
"(0.677, 2.525)","(0.455, 2.602)",0.235,14
"(1.783, 1.501)","(1.981, 1.652)",0.249,12
"(1.643, 1.076)","(1.373, 1.156)",0.281,36
"(1.373, 1.156)","(1.643, 1.076)",0.281,26
"(2.299, 1.712)","(1.981, 1.652)",0.323,2
"(1.052, 1.573)","(1.336, 1.748)",0.333,30
"(1.551, 2.437)","(1.81, 2.22)",0.338,27
"(1.81, 2.22)","(1.551, 2.437)",0.338,20
"(2.172, 2.412)","(2.272, 2.079)",0.348,16
"(2.272, 2.079)","(2.172, 2.412)",0.348,56
"(2.599, 3.213)","(2.456, 3.539)",0.356,42
"(2.456, 3.539)","(2.599, 3.213)",0.356,98
"(2.053, 1.26)","(1.783, 1.501)",0.361,29
"(2.569, 2.536)","(2.172, 2.412)",0.416,41
"(0.843, 0.749)","(1.373, 1.156)",0.668,3
"(3.194, 3.898)","(2.456, 3.539)",0.82,4
