X,Y,cluster_id
2.242,1.294,111
1.404,1.343,143
1.93,2.128,174
1.3,1.445,139
1.639,2.673,113
2.231,0.919,115
1.537,2.602,59
1.184,2.409,155
2.26,2.076,56
2.024,1.242,29
1.85,1.692,203
0.685,1.506,106
1.35,2.795,76
3.107,3.197,128
2.564,2.528,41
3.159,4.081,114
1.614,1.341,198
2.463,3.573,98
0.719,0.992,40
2.427,3.357,123
1.498,2.76,178
1.213,2.517,95
3.308,3.412,146
1.261,1.31,17
2.575,2.566,41
1.808,2.2,20
1.466,2.701,44
0.678,2.558,14
1.36,1.666,199
2.336,1.303,153
2.342,2.579,19
0.719,1.165,186
2.681,3.331,43
2.181,2.38,16
2.462,3.125,134
3.367,4.076,184
3.183,3.273,187
2.044,1.753,11
2.055,2.637,137
2.052,2.533,88
1.025,2.226,124
2.0,2.574,149
3.022,3.207,148
0.97,0.709,177
1.2,2.711,1
2.039,2.274,83
2.3,2.092,56
1.285,2.426,147
2.712,3.357,43
1.832,2.274,20
1.06,1.578,30
1.326,2.871,161
1.555,2.562,59
3.044,3.703,39
1.27,2.627,1
1.804,1.88,18
1.765,1.985,126
2.289,2.157,22
0.866,1.245,31
2.162,2.425,16
1.208,2.79,171
2.42,2.451,68
1.438,1.901,8
2.261,1.803,127
3.029,3.962,13
2.821,4.217,87
1.1,2.254,24
0.748,1.09,9
2.893,3.706,195
3.336,3.82,156
1.433,0.894,145
0.957,2.475,112
2.009,1.692,5
3.005,3.308,38
1.19,0.884,135
3.315,3.565,107
1.376,2.78,76
1.517,1.88,141
1.327,1.745,72
0.891,0.502,125
2.605,1.643,183
2.233,2.315,182
2.831,4.049,55
1.993,2.16,122
3.143,3.847,4
2.246,3.053,144
1.559,1.929,94
1.758,1.474,12
0.413,1.106,105
2.153,2.58,132
0.414,2.537,7
1.831,2.223,20
2.174,2.431,16
1.487,2.679,44
2.585,1.481,25
2.558,2.821,74
0.612,0.679,185
1.542,1.949,94
2.276,2.588,21
2.253,2.19,22
1.967,1.638,5
1.43,1.915,8
1.306,1.736,72
0.394,2.452,193
2.489,1.26,103
1.574,1.224,110
1.013,1.054,104
2.286,1.736,2
2.699,3.649,165
1.162,1.08,117
2.394,2.44,68
2.278,2.265,73
2.703,3.535,120
2.879,3.589,133
1.856,1.889,18
1.452,1.799,10
2.575,3.226,42
1.244,2.94,157
2.309,1.67,2
1.143,2.22,24
0.722,1.009,40
3.182,3.629,175
0.927,0.618,32
0.647,0.562,142
1.492,2.018,46
1.22,1.525,152
0.69,2.53,14
1.43,2.055,162
2.038,2.469,196
1.938,1.601,5
2.763,3.721,91
1.186,2.515,95
2.148,1.343,197
3.396,3.34,138
1.436,1.99,46
1.948,1.799,11
2.054,2.53,88
1.387,0.989,136
0.876,0.877,102
2.598,2.529,41
2.279,1.863,23
1.835,2.04,109
0.589,1.498,121
2.245,1.928,194
2.726,4.202,50
1.361,2.246,33
1.277,1.258,17
1.358,1.747,72
1.477,1.981,46
1.931,1.89,180
0.696,0.706,129
1.012,2.379,151
1.445,2.29,48
0.452,2.571,7
1.782,2.232,20
2.76,4.339,51
2.562,2.83,74
1.557,1.312,190
2.0,1.786,11
1.548,2.387,27
2.754,4.245,50
1.876,1.417,166
0.822,0.795,3
2.096,1.258,29
1.962,2.369,37
1.413,1.838,10
1.929,1.337,108
0.701,0.499,71
1.602,2.463,27
0.694,1.078,9
3.136,3.963,140
1.078,1.543,30
1.474,1.601,206
1.561,0.928,130
0.534,1.173,169
3.085,4.044,163
0.477,2.678,7
1.128,2.16,15
2.593,1.46,25
1.171,1.489,204
2.472,3.209,205
2.443,2.579,189
1.989,1.864,34
1.373,1.918,8
1.663,1.069,36
2.57,2.712,84
1.188,2.724,1
2.504,2.46,168
2.343,1.856,154
2.189,2.051,158
2.011,1.677,5
2.522,4.085,172
0.664,2.486,14
1.475,1.003,61
0.503,1.016,54
2.688,3.559,120
2.819,4.222,87
1.417,1.642,206
1.476,1.151,170
1.865,2.669,63
2.238,2.568,21
2.017,2.265,83
0.908,0.636,32
3.071,3.484,28
1.991,2.334,37
1.393,1.153,26
1.327,2.268,33
2.541,2.523,41
2.459,1.686,200
2.452,3.496,98
2.681,1.369,53
3.172,3.84,4
0.739,0.79,119
3.258,3.921,4
3.2,3.927,4
0.873,1.22,31
1.652,1.062,36
1.351,1.135,26
2.281,1.197,176
3.017,4.015,13
2.703,4.279,181
2.453,3.548,98
2.451,0.825,188
3.008,4.312,159
0.476,2.621,7
3.18,3.496,77
2.452,4.07,82
1.495,2.047,46
1.406,2.126,35
1.785,1.521,12
1.02,1.596,30
1.832,1.516,12
1.803,1.427,191
1.543,1.694,6
3.062,3.726,39
0.837,0.711,3
1.289,2.54,150
0.82,0.763,3
0.881,0.984,85
1.935,2.534,64
2.225,1.868,23
0.783,1.162,96
3.43,4.097,93
1.352,1.765,72
2.021,1.292,29
3.188,3.87,4
1.201,1.702,75
2.641,2.663,92
1.928,1.829,11
1.238,2.717,1
3.057,3.835,131
3.444,4.16,160
3.051,3.439,28
3.046,3.279,38
1.397,2.748,76
2.369,0.883,47
0.751,1.316,78
3.135,3.411,62
3.204,3.981,4
2.597,3.219,42
1.188,1.395,52
1.505,2.431,27
1.084,2.137,15
1.395,2.777,76
2.16,2.939,167
2.163,1.198,118
2.071,1.694,99
1.294,1.009,201
