og_coord,goldstar_coord,dist
"(2.862, 4.268)","(2.871, 4.359)",0.092
"(2.268, 2.321)","(2.308, 2.403)",0.092
"(2.214, 2.407)","(2.308, 2.403)",0.095
"(1.712, 2.307)","(1.672, 2.398)",0.1
"(0.474, 2.659)","(0.443, 2.756)",0.101
"(2.786, 4.301)","(2.871, 4.359)",0.102
"(0.58, 1.539)","(0.549, 1.44)",0.104
"(0.65, 1.405)","(0.549, 1.44)",0.107
"(2.2, 2.396)","(2.308, 2.403)",0.108
"(1.589, 2.325)","(1.672, 2.398)",0.11
"(0.685, 0.574)","(0.785, 0.526)",0.111
"(1.055, 1.052)","(1.107, 0.949)",0.115
"(1.169, 1.047)","(1.107, 0.949)",0.116
"(2.201, 2.355)","(2.308, 2.403)",0.117
"(2.935, 4.26)","(2.871, 4.359)",0.118
"(1.175, 1.049)","(1.107, 0.949)",0.121
"(0.366, 2.663)","(0.443, 2.756)",0.121
"(0.663, 0.524)","(0.785, 0.526)",0.123
"(1.556, 2.441)","(1.672, 2.398)",0.123
"(2.553, 2.404)","(2.49, 2.292)",0.128
"(1.634, 2.276)","(1.672, 2.398)",0.128
"(1.558, 2.458)","(1.672, 2.398)",0.128
"(2.354, 2.523)","(2.308, 2.403)",0.129
"(2.519, 2.42)","(2.49, 2.292)",0.13
"(1.229, 2.791)","(1.096, 2.817)",0.136
"(2.367, 2.234)","(2.49, 2.292)",0.137
"(0.646, 0.517)","(0.785, 0.526)",0.14
"(1.22, 1.031)","(1.107, 0.949)",0.14
"(1.594, 2.516)","(1.672, 2.398)",0.141
"(1.332, 2.171)","(1.237, 2.063)",0.143
"(2.422, 2.49)","(2.308, 2.403)",0.144
"(1.64, 2.54)","(1.672, 2.398)",0.145
"(1.034, 1.079)","(1.107, 0.949)",0.149
"(0.669, 0.622)","(0.785, 0.526)",0.15
"(1.001, 0.839)","(1.107, 0.949)",0.153
"(0.827, 0.674)","(0.785, 0.526)",0.153
"(1.002, 1.067)","(1.107, 0.949)",0.158
"(0.957, 0.889)","(1.107, 0.949)",0.161
"(0.981, 0.846)","(1.107, 0.949)",0.163
"(3.019, 4.289)","(2.871, 4.359)",0.164
"(0.508, 2.603)","(0.443, 2.756)",0.166
"(2.157, 2.474)","(2.308, 2.403)",0.167
"(1.506, 2.375)","(1.672, 2.398)",0.167
"(0.703, 0.673)","(0.785, 0.526)",0.168
"(1.245, 2.893)","(1.096, 2.817)",0.168
"(1.794, 2.276)","(1.672, 2.398)",0.173
"(1.308, 1.901)","(1.237, 2.063)",0.177
"(2.166, 2.296)","(2.308, 2.403)",0.178
"(0.947, 1.03)","(1.107, 0.949)",0.179
"(0.948, 1.04)","(1.107, 0.949)",0.183
"(2.156, 2.505)","(2.308, 2.403)",0.183
"(2.37, 2.152)","(2.49, 2.292)",0.185
"(2.123, 2.394)","(2.308, 2.403)",0.186
"(0.657, 0.661)","(0.785, 0.526)",0.186
"(1.543, 2.263)","(1.672, 2.398)",0.186
"(1.528, 2.28)","(1.672, 2.398)",0.186
"(2.694, 4.297)","(2.871, 4.359)",0.187
"(0.726, 1.371)","(0.549, 1.44)",0.189
"(1.163, 1.13)","(1.107, 0.949)",0.19
"(1.207, 0.786)","(1.107, 0.949)",0.191
"(0.641, 0.656)","(0.785, 0.526)",0.194
"(1.503, 2.494)","(1.672, 2.398)",0.194
"(1.513, 2.283)","(1.672, 2.398)",0.196
"(2.233, 2.584)","(2.308, 2.403)",0.196
"(1.218, 1.114)","(1.107, 0.949)",0.198
"(1.828, 2.274)","(1.672, 2.398)",0.199
"(1.264, 1.864)","(1.237, 2.063)",0.201
"(1.286, 2.882)","(1.096, 2.817)",0.201
"(0.782, 0.728)","(0.785, 0.526)",0.201
"(0.627, 0.658)","(0.785, 0.526)",0.206
"(1.148, 1.154)","(1.107, 0.949)",0.209
"(1.881, 2.425)","(1.672, 2.398)",0.211
"(2.245, 2.605)","(2.308, 2.403)",0.212
"(1.75, 2.597)","(1.672, 2.398)",0.214
"(0.567, 2.578)","(0.443, 2.756)",0.217
"(1.456, 2.422)","(1.672, 2.398)",0.217
"(0.888, 0.949)","(1.107, 0.949)",0.219
"(0.888, 0.922)","(1.107, 0.949)",0.221
"(0.49, 1.224)","(0.549, 1.44)",0.224
"(1.273, 0.799)","(1.107, 0.949)",0.225
"(1.574, 2.196)","(1.672, 2.398)",0.225
"(1.252, 1.838)","(1.237, 2.063)",0.225
"(1.21, 0.742)","(1.107, 0.949)",0.231
"(2.535, 2.521)","(2.49, 2.292)",0.233
"(1.372, 1.873)","(1.237, 2.063)",0.233
"(0.46, 2.523)","(0.443, 2.756)",0.233
"(1.234, 2.628)","(1.096, 2.817)",0.234
"(2.411, 2.618)","(2.308, 2.403)",0.238
"(1.34, 2.278)","(1.237, 2.063)",0.238
"(0.479, 1.21)","(0.549, 1.44)",0.24
"(1.261, 1.82)","(1.237, 2.063)",0.244
"(1.342, 2.819)","(1.096, 2.817)",0.246
"(0.97, 0.745)","(1.107, 0.949)",0.246
"(2.261, 2.157)","(2.308, 2.403)",0.25
"(0.863, 0.894)","(1.107, 0.949)",0.25
"(2.13, 2.225)","(2.308, 2.403)",0.251
"(1.421, 2.441)","(1.672, 2.398)",0.254
"(1.929, 2.4)","(1.672, 2.398)",0.258
"(1.259, 2.321)","(1.237, 2.063)",0.258
"(1.085, 2.277)","(1.237, 2.063)",0.262
"(1.421, 1.873)","(1.237, 2.063)",0.264
"(1.258, 1.799)","(1.237, 2.063)",0.265
"(1.547, 2.163)","(1.672, 2.398)",0.266
"(1.148, 2.556)","(1.096, 2.817)",0.266
"(1.771, 2.15)","(1.672, 2.398)",0.268
"(0.877, 1.09)","(1.107, 0.949)",0.269
"(1.204, 1.201)","(1.107, 0.949)",0.27
"(1.367, 2.804)","(1.096, 2.817)",0.271
"(1.921, 2.506)","(1.672, 2.398)",0.272
"(0.541, 2.498)","(0.443, 2.756)",0.276
"(1.513, 2.066)","(1.237, 2.063)",0.276
"(0.661, 0.774)","(0.785, 0.526)",0.277
"(1.097, 2.301)","(1.237, 2.063)",0.277
"(1.115, 2.312)","(1.237, 2.063)",0.277
"(1.151, 2.541)","(1.096, 2.817)",0.281
