og_coord,closest_coord,dist
"(1.332, 1.431)","(1.326, 1.425)",0.008
"(1.326, 1.425)","(1.332, 1.431)",0.008
"(2.6, 4.216)","(2.605, 4.223)",0.009
"(2.605, 4.223)","(2.6, 4.216)",0.009
"(2.783, 3.359)","(2.774, 3.366)",0.011
"(2.774, 3.366)","(2.783, 3.359)",0.011
"(1.472, 2.192)","(1.461, 2.189)",0.012
"(1.461, 2.189)","(1.472, 2.192)",0.012
"(2.422, 2.609)","(2.416, 2.597)",0.013
"(2.66, 1.604)","(2.658, 1.616)",0.013
"(2.658, 1.616)","(2.66, 1.604)",0.013
"(2.416, 2.597)","(2.422, 2.609)",0.013
"(2.987, 3.961)","(2.999, 3.957)",0.013
"(2.999, 3.957)","(2.987, 3.961)",0.013
"(3.222, 3.526)","(3.235, 3.525)",0.014
"(3.235, 3.525)","(3.222, 3.526)",0.014
"(1.687, 1.65)","(1.701, 1.648)",0.014
"(1.701, 1.648)","(1.687, 1.65)",0.014
"(3.271, 4.083)","(3.268, 4.098)",0.015
"(1.174, 2.199)","(1.16, 2.202)",0.015
"(3.268, 4.098)","(3.271, 4.083)",0.015
"(1.16, 2.202)","(1.174, 2.199)",0.015
"(3.255, 4.082)","(3.271, 4.083)",0.016
"(2.629, 4.123)","(2.641, 4.112)",0.016
"(2.641, 4.112)","(2.629, 4.123)",0.016
"(0.656, 2.55)","(0.649, 2.535)",0.016
"(0.649, 2.535)","(0.656, 2.55)",0.016
"(3.438, 4.154)","(3.422, 4.147)",0.017
"(2.66, 3.552)","(2.654, 3.568)",0.017
"(2.654, 3.568)","(2.66, 3.552)",0.017
"(3.422, 4.147)","(3.438, 4.154)",0.017
"(2.507, 2.457)","(2.521, 2.468)",0.018
"(2.521, 2.468)","(2.507, 2.457)",0.018
"(0.654, 0.99)","(0.665, 0.974)",0.019
"(0.665, 0.974)","(0.654, 0.99)",0.019
"(1.445, 2.757)","(1.444, 2.737)",0.02
"(1.444, 2.737)","(1.445, 2.757)",0.02
"(2.065, 2.114)","(2.044, 2.111)",0.021
"(2.044, 2.111)","(2.065, 2.114)",0.021
"(2.295, 2.895)","(2.286, 2.916)",0.022
"(2.286, 2.916)","(2.295, 2.895)",0.022
"(1.206, 2.604)","(1.206, 2.627)",0.022
"(1.206, 2.627)","(1.206, 2.604)",0.022
"(1.357, 2.588)","(1.367, 2.568)",0.023
"(1.367, 2.568)","(1.357, 2.588)",0.023
"(1.058, 2.233)","(1.039, 2.22)",0.023
"(1.039, 2.22)","(1.058, 2.233)",0.023
"(1.008, 0.84)","(1.03, 0.846)",0.023
"(1.03, 0.846)","(1.008, 0.84)",0.023
"(3.426, 4.175)","(3.438, 4.154)",0.024
"(2.936, 3.99)","(2.943, 3.966)",0.025
"(2.943, 3.966)","(2.936, 3.99)",0.025
"(1.078, 2.146)","(1.098, 2.162)",0.026
"(1.098, 2.162)","(1.078, 2.146)",0.026
"(1.417, 2.526)","(1.44, 2.539)",0.026
"(1.44, 2.539)","(1.417, 2.526)",0.026
"(1.687, 1.624)","(1.687, 1.65)",0.026
"(1.934, 1.97)","(1.956, 1.983)",0.026
"(1.956, 1.983)","(1.934, 1.97)",0.026
"(1.278, 2.358)","(1.298, 2.34)",0.027
"(1.298, 2.34)","(1.278, 2.358)",0.027
"(1.979, 1.598)","(1.953, 1.589)",0.027
"(1.953, 1.589)","(1.979, 1.598)",0.027
"(1.454, 2.162)","(1.461, 2.189)",0.028
"(1.66, 1.657)","(1.687, 1.65)",0.028
"(0.918, 0.782)","(0.9, 0.804)",0.029
"(0.9, 0.804)","(0.918, 0.782)",0.029
"(2.156, 2.112)","(2.128, 2.123)",0.03
"(2.128, 2.123)","(2.156, 2.112)",0.03
"(1.636, 1.676)","(1.66, 1.657)",0.031
"(1.316, 1.238)","(1.343, 1.256)",0.032
"(1.343, 1.256)","(1.316, 1.238)",0.032
"(1.269, 2.565)","(1.291, 2.541)",0.033
"(1.291, 2.541)","(1.269, 2.565)",0.033
