og_coord,goldstar_coord,dist
"(1.785, 1.851)","(1.822, 1.897)",0.059
"(1.361, 1.946)","(1.32, 1.893)",0.068
"(0.498, 1.11)","(0.433, 1.137)",0.07
"(1.286, 1.83)","(1.32, 1.893)",0.072
"(0.547, 0.392)","(0.62, 0.416)",0.077
"(1.286, 1.962)","(1.32, 1.893)",0.077
"(0.351, 2.097)","(0.35, 2.176)",0.078
"(0.859, 0.671)","(0.874, 0.749)",0.08
"(1.369, 1.956)","(1.32, 1.893)",0.08
"(0.306, 2.103)","(0.35, 2.176)",0.085
"(0.492, 1.074)","(0.433, 1.137)",0.086
"(1.322, 1.804)","(1.32, 1.893)",0.089
"(2.181, 3.415)","(2.266, 3.441)",0.089
"(1.399, 1.943)","(1.32, 1.893)",0.094
"(1.068, 1.605)","(0.977, 1.629)",0.095
"(0.93, 0.828)","(0.874, 0.749)",0.096
"(0.944, 0.817)","(0.874, 0.749)",0.097
"(2.299, 3.348)","(2.266, 3.441)",0.099
"(0.86, 0.849)","(0.874, 0.749)",0.1
"(1.723, 1.87)","(1.822, 1.897)",0.103
"(0.937, 0.665)","(0.874, 0.749)",0.105
"(0.358, 2.07)","(0.35, 2.176)",0.106
"(1.014, 1.528)","(0.977, 1.629)",0.107
"(0.947, 0.829)","(0.874, 0.749)",0.109
"(1.87, 1.749)","(1.966, 1.81)",0.113
"(0.761, 0.738)","(0.874, 0.749)",0.113
"(1.418, 1.836)","(1.32, 1.893)",0.114
"(0.754, 0.766)","(0.874, 0.749)",0.121
"(0.648, 0.535)","(0.62, 0.416)",0.123
"(0.991, 1.506)","(0.977, 1.629)",0.123
"(1.074, 1.55)","(0.977, 1.629)",0.125
"(0.404, 2.061)","(0.35, 2.176)",0.127
"(1.693, 1.901)","(1.822, 1.897)",0.13
"(0.44, 0.997)","(0.433, 1.137)",0.14
"(0.424, 2.056)","(0.35, 2.176)",0.141
"(0.94, 0.623)","(0.874, 0.749)",0.143
"(1.68, 1.873)","(1.822, 1.897)",0.144
"(1.175, 1.888)","(1.32, 1.893)",0.145
"(1.038, 1.761)","(0.977, 1.629)",0.146
"(0.872, 0.603)","(0.874, 0.749)",0.147
"(0.355, 2.028)","(0.35, 2.176)",0.148
"(1.855, 2.041)","(1.822, 1.897)",0.148
"(0.405, 2.036)","(0.35, 2.176)",0.15
"(0.887, 0.599)","(0.874, 0.749)",0.151
"(1.719, 1.786)","(1.822, 1.897)",0.151
"(1.167, 1.902)","(1.32, 1.893)",0.153
"(1.027, 0.736)","(0.874, 0.749)",0.153
"(0.472, 2.079)","(0.35, 2.176)",0.156
"(0.875, 0.593)","(0.874, 0.749)",0.156
"(0.768, 0.867)","(0.874, 0.749)",0.158
"(2.023, 1.957)","(1.966, 1.81)",0.158
"(0.587, 1.098)","(0.433, 1.137)",0.159
"(1.193, 1.788)","(1.32, 1.893)",0.164
"(0.587, 1.067)","(0.433, 1.137)",0.169
"(1.024, 2.287)","(0.865, 2.224)",0.171
"(1.032, 2.273)","(0.865, 2.224)",0.174
"(1.03, 2.168)","(0.865, 2.224)",0.174
"(0.851, 1.75)","(0.977, 1.629)",0.175
"(0.705, 0.57)","(0.62, 0.416)",0.176
"(1.986, 1.989)","(1.966, 1.81)",0.181
"(1.138, 1.897)","(1.32, 1.893)",0.182
"(1.499, 1.934)","(1.32, 1.893)",0.184
"(0.545, 0.584)","(0.62, 0.416)",0.184
"(1.046, 2.181)","(0.865, 2.224)",0.186
