og_coord,goldstar_coord,dist
"(0.572, 0.372)","(0.62, 0.416)",0.065
"(0.944, 2.213)","(0.865, 2.224)",0.08
"(0.573, 0.348)","(0.62, 0.416)",0.083
"(0.954, 2.23)","(0.865, 2.224)",0.089
"(1.82, 1.994)","(1.822, 1.897)",0.098
"(0.338, 2.076)","(0.35, 2.176)",0.1
"(1.074, 1.6)","(0.977, 1.629)",0.102
"(1.835, 2.0)","(1.822, 1.897)",0.104
"(0.98, 1.521)","(0.977, 1.629)",0.108
"(1.829, 2.007)","(1.822, 1.897)",0.11
"(1.073, 1.57)","(0.977, 1.629)",0.112
"(0.999, 1.519)","(0.977, 1.629)",0.112
"(1.207, 1.875)","(1.32, 1.893)",0.114
"(1.22, 1.832)","(1.32, 1.893)",0.117
"(0.526, 1.21)","(0.433, 1.137)",0.118
"(0.535, 0.502)","(0.62, 0.416)",0.121
"(0.55, 1.184)","(0.433, 1.137)",0.126
"(0.366, 2.048)","(0.35, 2.176)",0.128
"(1.193, 1.87)","(1.32, 1.893)",0.129
"(0.379, 2.048)","(0.35, 2.176)",0.131
"(0.991, 1.497)","(0.977, 1.629)",0.132
"(1.106, 1.591)","(0.977, 1.629)",0.134
"(0.543, 1.217)","(0.433, 1.137)",0.136
"(1.429, 1.812)","(1.32, 1.893)",0.136
"(2.149, 3.37)","(2.266, 3.441)",0.137
"(0.555, 1.202)","(0.433, 1.137)",0.138
"(1.017, 1.495)","(0.977, 1.629)",0.139
"(1.854, 1.725)","(1.966, 1.81)",0.14
"(1.102, 1.566)","(0.977, 1.629)",0.14
"(1.041, 1.503)","(0.977, 1.629)",0.141
"(1.176, 1.879)","(1.32, 1.893)",0.145
"(0.388, 2.036)","(0.35, 2.176)",0.145
"(0.833, 0.892)","(0.874, 0.749)",0.148
"(1.017, 2.221)","(0.865, 2.224)",0.152
"(0.309, 2.028)","(0.35, 2.176)",0.153
"(1.007, 1.478)","(0.977, 1.629)",0.154
"(0.498, 0.515)","(0.62, 0.416)",0.157
"(2.149, 3.336)","(2.266, 3.441)",0.157
"(1.162, 1.879)","(1.32, 1.893)",0.158
"(2.399, 3.352)","(2.266, 3.441)",0.16
"(0.565, 1.228)","(0.433, 1.137)",0.16
"(0.983, 1.468)","(0.977, 1.629)",0.161
"(0.971, 1.465)","(0.977, 1.629)",0.164
"(1.122, 1.552)","(0.977, 1.629)",0.165
"(0.389, 2.013)","(0.35, 2.176)",0.167
"(1.057, 1.482)","(0.977, 1.629)",0.167
"(1.11, 1.73)","(0.977, 1.629)",0.167
"(0.558, 1.249)","(0.433, 1.137)",0.168
"(0.718, 0.552)","(0.62, 0.416)",0.168
"(0.567, 1.243)","(0.433, 1.137)",0.171
"(0.704, 0.723)","(0.874, 0.749)",0.172
"(0.557, 1.263)","(0.433, 1.137)",0.177
"(0.697, 0.744)","(0.874, 0.749)",0.177
"(1.038, 1.457)","(0.977, 1.629)",0.182
"(0.714, 0.656)","(0.874, 0.749)",0.185
"(1.09, 1.776)","(0.977, 1.629)",0.186
"(2.402, 3.312)","(2.266, 3.441)",0.187
"(0.684, 0.741)","(0.874, 0.749)",0.19
"(0.971, 1.438)","(0.977, 1.629)",0.191
"(0.743, 0.562)","(0.62, 0.416)",0.191
"(0.762, 0.593)","(0.874, 0.749)",0.192
"(0.848, 1.772)","(0.977, 1.629)",0.193
"(0.723, 0.579)","(0.62, 0.416)",0.193
"(0.595, 1.249)","(0.433, 1.137)",0.197
"(0.691, 0.675)","(0.874, 0.749)",0.197
"(1.075, 1.454)","(0.977, 1.629)",0.2
"(1.059, 1.446)","(0.977, 1.629)",0.201
"(2.417, 3.307)","(2.266, 3.441)",0.202
"(1.105, 1.79)","(0.977, 1.629)",0.206
"(1.114, 1.879)","(1.32, 1.893)",0.207
"(0.434, 0.93)","(0.433, 1.137)",0.207
"(1.67, 2.038)","(1.822, 1.897)",0.208
"(1.008, 1.422)","(0.977, 1.629)",0.209
"(0.766, 0.569)","(0.874, 0.749)",0.21
"(0.462, 0.929)","(0.433, 1.137)",0.21
"(1.14, 1.778)","(1.32, 1.893)",0.213
"(2.09, 3.314)","(2.266, 3.441)",0.217
"(0.346, 0.937)","(0.433, 1.137)",0.217
"(1.119, 1.808)","(1.32, 1.893)",0.218
"(1.127, 1.468)","(0.977, 1.629)",0.22
"(1.05, 2.104)","(0.865, 2.224)",0.221
"(1.673, 2.062)","(1.822, 1.897)",0.223
"(1.096, 1.44)","(0.977, 1.629)",0.223
"(0.438, 0.913)","(0.433, 1.137)",0.224
"(1.062, 1.42)","(0.977, 1.629)",0.225
"(2.438, 3.296)","(2.266, 3.441)",0.225
"(1.09, 0.684)","(0.874, 0.749)",0.226
"(1.066, 2.117)","(0.865, 2.224)",0.227
"(1.615, 1.993)","(1.822, 1.897)",0.228
"(0.52, 0.922)","(0.433, 1.137)",0.231
"(1.085, 1.422)","(0.977, 1.629)",0.233
"(1.438, 1.691)","(1.32, 1.893)",0.235
"(0.349, 0.917)","(0.433, 1.137)",0.235
"(1.093, 1.965)","(1.32, 1.893)",0.238
"(0.819, 1.808)","(0.977, 1.629)",0.238
"(1.409, 2.115)","(1.32, 1.893)",0.239
"(1.219, 1.645)","(0.977, 1.629)",0.243
"(1.114, 1.424)","(0.977, 1.629)",0.246
"(1.634, 1.734)","(1.822, 1.897)",0.249
"(1.468, 1.692)","(1.32, 1.893)",0.25
"(1.087, 1.987)","(1.32, 1.893)",0.251
"(0.558, 0.916)","(0.433, 1.137)",0.253
"(1.614, 2.046)","(1.822, 1.897)",0.256
"(1.071, 1.953)","(1.32, 1.893)",0.256
"(0.958, 1.98)","(0.865, 2.224)",0.261
"(1.073, 2.064)","(0.865, 2.224)",0.262
"(1.461, 1.672)","(1.32, 1.893)",0.263
"(1.385, 1.638)","(1.32, 1.893)",0.263
"(1.577, 2.001)","(1.822, 1.897)",0.266
"(1.646, 2.096)","(1.822, 1.897)",0.266
"(1.116, 1.401)","(0.977, 1.629)",0.266
"(1.093, 2.04)","(1.32, 1.893)",0.27
"(1.05, 2.026)","(0.865, 2.224)",0.27
"(1.018, 0.979)","(0.874, 0.749)",0.272
"(1.05, 0.957)","(0.874, 0.749)",0.273
"(1.06, 1.98)","(1.32, 1.893)",0.273
"(0.986, 1.355)","(0.977, 1.629)",0.273
"(1.066, 2.037)","(0.865, 2.224)",0.274
"(2.067, 3.252)","(2.266, 3.441)",0.275
"(0.805, 1.843)","(0.977, 1.629)",0.275
"(1.044, 0.967)","(0.874, 0.749)",0.276
"(0.88, 1.89)","(0.977, 1.629)",0.279
"(1.091, 2.054)","(1.32, 1.893)",0.28
"(1.009, 1.907)","(0.977, 1.629)",0.28
"(0.849, 1.879)","(0.977, 1.629)",0.281
"(0.328, 0.876)","(0.433, 1.137)",0.281
"(0.942, 1.953)","(0.865, 2.224)",0.282
"(1.62, 2.094)","(1.822, 1.897)",0.283
"(0.763, 1.815)","(0.977, 1.629)",0.283
"(1.024, 0.99)","(0.874, 0.749)",0.283
"(0.833, 1.875)","(0.977, 1.629)",0.285
"(0.975, 1.343)","(0.977, 1.629)",0.286
"(0.996, 1.969)","(0.865, 2.224)",0.286
"(2.042, 3.262)","(2.266, 3.441)",0.287
"(1.641, 2.12)","(1.822, 1.897)",0.288
"(1.584, 1.734)","(1.822, 1.897)",0.288
"(1.466, 1.645)","(1.32, 1.893)",0.288
"(1.66, 2.136)","(1.822, 1.897)",0.288
"(1.082, 0.949)","(0.874, 0.749)",0.288
"(2.32, 3.157)","(2.266, 3.441)",0.289
"(1.0, 1.34)","(0.977, 1.629)",0.29
"(0.979, 1.955)","(0.865, 2.224)",0.292
"(0.986, 1.337)","(0.977, 1.629)",0.292
"(0.882, 1.905)","(0.977, 1.629)",0.292
"(1.681, 2.153)","(1.822, 1.897)",0.293
"(1.007, 1.92)","(0.977, 1.629)",0.293
"(0.803, 1.864)","(0.977, 1.629)",0.293
"(1.016, 1.009)","(0.874, 0.749)",0.296
"(1.639, 1.663)","(1.822, 1.897)",0.297
"(1.604, 1.693)","(1.822, 1.897)",0.298
"(2.328, 3.147)","(2.266, 3.441)",0.3
"(1.585, 1.712)","(1.822, 1.897)",0.301
"(0.353, 0.847)","(0.433, 1.137)",0.301
"(1.65, 2.143)","(1.822, 1.897)",0.301
"(0.746, 1.823)","(0.977, 1.629)",0.301
"(1.597, 2.098)","(1.822, 1.897)",0.302
"(0.876, 1.918)","(0.865, 2.224)",0.306
"(0.983, 1.935)","(0.977, 1.629)",0.306
"(1.629, 1.656)","(1.822, 1.897)",0.309
"(1.041, 1.009)","(0.874, 0.749)",0.309
"(1.183, 0.753)","(0.874, 0.749)",0.31
"(1.58, 2.092)","(1.822, 1.897)",0.311
"(1.573, 1.706)","(1.822, 1.897)",0.314
"(2.5, 3.231)","(2.266, 3.441)",0.314
"(0.964, 1.314)","(0.977, 1.629)",0.315
"(1.641, 1.636)","(1.822, 1.897)",0.318
"(1.072, 1.0)","(0.874, 0.749)",0.319
"(1.604, 2.131)","(1.822, 1.897)",0.32
"(1.137, 0.935)","(0.874, 0.749)",0.322
"(1.373, 1.575)","(1.32, 1.893)",0.323
"(1.159, 0.903)","(0.874, 0.749)",0.324
"(0.772, 1.883)","(0.977, 1.629)",0.327
"(1.101, 0.985)","(0.874, 0.749)",0.328
"(0.759, 1.874)","(0.977, 1.629)",0.328
"(1.404, 1.576)","(1.32, 1.893)",0.328
"(0.305, 0.834)","(0.433, 1.137)",0.329
"(1.561, 1.67)","(1.32, 1.893)",0.329
"(1.006, 1.3)","(0.977, 1.629)",0.329
"(1.622, 1.634)","(1.822, 1.897)",0.33
"(0.784, 1.897)","(0.977, 1.629)",0.331
"(0.334, 0.82)","(0.433, 1.137)",0.332
"(1.561, 2.123)","(1.32, 1.893)",0.333
"(1.182, 0.876)","(0.874, 0.749)",0.333
"(0.73, 1.854)","(0.977, 1.629)",0.335
"(0.99, 1.29)","(0.977, 1.629)",0.339
"(1.062, 1.033)","(0.874, 0.749)",0.34
"(1.626, 2.174)","(1.822, 1.897)",0.34
"(0.301, 0.823)","(0.433, 1.137)",0.34
