ID,X,Y
1,2245.153846,3201
2,1465.309524,1052.690476
3,1395.795455,1121.113636
4,1253.977273,2115.681818
5,1518,976
6,2705,3730
7,1073.829787,2510.978723
8,1699.791667,1620.5
9,627.25,1422
10,1541.428571,981.3265306
11,1063,2492.5
12,339.0384615,926.8653846
13,1583.403846,1570.615385
14,1483.792453,1067.716981
15,1652.12963,1583.425926
16,1709.351852,1605.240741
17,1153.5,1114.5
18,1572.727273,1616.763636
19,954.6181818,1995.690909
20,1116.5,1685.714286
21,1757.375,1880.5
22,1227.964286,770.3571429
23,1555,974
24,1471,978
25,1491,974
26,1256.298246,1577.964912
27,1496,993
28,1543,1005
29,1732.741379,1673.724138
30,1399.5,1159.862069
31,937.8135593,1004.288136
32,644.8833333,391.5833333
33,1853.655738,2360.885246
34,2049,2246
35,1182.258065,1078.258065
36,375.9516129,923.1451613
37,1883.693548,2322.064516
38,808.8870968,621.5967742
39,1352.698413,1098.063492
40,2066.063492,2252.666667
41,1264.015625,1747.75
42,643.71875,419.40625
43,1373.107692,1852.2
44,2173.939394,1051.151515
45,1666.045455,1555.69697
46,1241.208955,1763.104478
47,1617.761194,1406.537313
48,2902.910448,3485.910448
49,854.641791,2110.298507
50,2059.597015,2259.597015
51,1712.882353,1696.926471
52,1598.235294,1375.852941
53,1172.666667,1136.028986
54,2345,3298
55,2085.985507,1102.188406
56,1632.927536,1577.521739
57,1623.463768,1599.898551
58,2420,3795
59,1626,946
60,986.3714286,2159.5
61,1847.9,2387.714286
62,2076.928571,748
63,2098.126761,1058.295775
64,1450.323944,1143.140845
65,2721.859155,3724.014085
66,1208.323944,2323.971831
67,2262.305556,3201.791667
68,2010.208333,1475
69,324.6111111,907.6111111
70,2089.236111,1130.708333
71,815.9027778,2100.055556
72,1779.111111,2355.5
73,397.8611111,953.7083333
74,455.890411,878.2328767
75,1208.027027,1768.554054
76,2028.108108,1467.256757
77,1609.175676,2040.77027
78,561.28,579.6666667
79,336.6266667,899.8266667
80,1210.346667,1637.053333
81,1175.960526,1088.802632
82,1245.302632,1792.223684
83,1374.315789,1060.052632
84,625.0519481,1353.883117
85,343.4805195,939.4415584
86,1702.766234,1638
87,1234.441558,1621.480519
88,1227.324675,1999.675325
89,1171.753247,1692.636364
90,1195.558442,1162.844156
91,837.025974,632.4415584
92,2023.474359,1452.115385
93,2621.448718,3543.910256
94,804.4871795,739.025641
95,389.5897436,1055.717949
96,840.2051282,2052.589744
97,922.5897436,2035.5
98,1619.346154,1903.884615
99,1135.822785,2147.683544
100,1421.746835,1136.088608
101,1840.367089,1952.632911
102,1584.506329,1607.936709
103,636.5063291,1382.936709
104,2000.506329,1480.936709
105,814.5,651.875
106,1168.5875,1640.4125
107,821.7037037,2088.345679
108,1618.753086,1390.345679
109,1134.246914,1664.37037
110,1343.617284,2105.814815
111,1536.641975,968.345679
112,1504.444444,956.7777778
113,1146.555556,1103.024691
114,1571.271605,1604.271605
115,1658.292683,1275.670732
116,1093.085366,1618.926829
117,869.2073171,2120.731707
118,903.8780488,2099.390244
119,1614.927711,1605.204819
120,628.6144578,1031.73494
121,1663.831325,1659.024096
122,426.626506,2306.626506
123,1250.349398,1947.698795
124,1239.915663,1109.614458
125,1143.710843,1136.542169
126,638.6144578,1400.096386
127,1578.156627,1540.771084
128,1345.120482,1387.771084
129,1757.915663,2390.204819
130,1413.107143,1165.666667
131,1332.666667,847.8809524
132,1205.702381,2199.071429
133,1559.678571,1844.714286
134,1650.488095,1852.190476
135,1571.416667,950.7142857
136,2691.083333,2916.261905
137,611.3529412,1370.988235
138,1098.352941,1512.223529
139,778.1395349,759.9302326
140,1572.593023,1397.081395
141,2028.593023,1108.081395
142,1189.895349,1668.662791
143,602.5697674,564.9767442
144,1224.139535,2237.930233
145,1214.104651,1163.55814
146,2282.62069,3191.252874
147,1484.781609,956.4482759
148,906.7011494,2075.390805
149,1798.195402,2362.172414
150,2918.563218,3343.724138
151,1268.62069,1653.252874
152,1103.218391,1712.321839
153,2088.034483,1942.666667
154,1218.942529,1068.356322
155,770.5681818,834.7840909
156,1106.465909,2179.068182
157,2132.534091,1057.386364
158,325.4318182,918.1022727
159,1145.181818,2501.568182
160,1200.5,2384.5
161,1230.636364,2297.193182
162,2150.534091,1126.193182
163,1834.516854,1864.94382
164,2130.438202,1082.505618
165,1210,1802
166,2420,3757
167,2299,3673
168,2354,3732
169,1686.224719,1258.910112
170,1596.617978,912.8651685
171,1984.52809,1426.325843
172,1107.157303,1653.146067
173,2208.94382,2816.876404
174,670,1406
175,1102.370787,2201.202247
176,990.7555556,2128.2
177,1060.522222,2198.977778
178,1845.833333,1872.644444
179,1653.711111,1905.566667
180,1133.266667,1464.511111
181,619.5111111,1333.155556
182,1869.833333,2404.866667
183,1826.433333,1840.344444
184,2557.188889,3128.855556
185,1181.956044,2281.538462
186,1747.868132,1666.384615
187,1545.868132,1773.538462
188,2196.021978,2845.120879
189,1308.538462,2115.956044
190,859.6923077,2043.945055
191,1230.516484,2212.318681
192,1830.945055,2448.703297
193,1121.315217,2217.347826
194,1806.358696,1906.804348
195,1331.413043,986.2173913
196,1330.967391,1009.782609
197,1608.483871,1390.387097
198,2733.817204,3499.569892
199,1114.688172,1452.817204
200,1580.795699,1774.494624
201,1371.032258,1045.268817
202,1315.827957,1074.096774
203,1110.425532,1505.085106
204,793.0212766,814.6702128
205,2244.819149,3164.62766
206,493.6702128,1028.351064
207,2982.414894,3316.180851
208,1645.074468,1882.638298
209,1586.894737,2382
210,2367.073684,2900.694737
211,1222.010526,1601.831579
212,1305.302083,1016.71875
213,938.2083333,2111.583333
214,2829.958333,3409.083333
215,2161.052083,1076.979167
216,1228.164948,2313.14433
217,1243.824742,2016.247423
218,1144.783505,1683.649485
219,2584.193878,3162.193878
220,1284.091837,2001.857143
221,1200.112245,2293.714286
222,1301.94898,1063.102041
223,3017.979592,3323.846939
224,1784.181818,1952.676768
225,380.7474747,2338.252525
226,2744.252525,2909.707071
227,1408.969697,1428.919192
228,1254.292929,1603.888889
229,1207.090909,1126.070707
230,488.9191919,1046.969697
231,1192.666667,1628
232,628.61,1406.9
233,1742.66,1726.29
234,1776.13,2253.18
235,1125.79,1508.61
236,1124.71,1710.03
237,2612.76,3555.54
238,1259.821782,2036.435644
239,1880.158416,2295.346535
240,1085.524752,1479.188119
241,1429.752475,1163.653465
242,1789.158416,1852.920792
243,1359.475248,2111.950495
244,1134.633663,1600.940594
245,2702,3775
246,2361.5,2946.901961
247,1699.470588,1282.784314
248,862.9901961,640.7254902
249,1728.813725,1627.970588
250,2033.009804,1604.215686
251,437.6470588,2267.352941
252,2029.514563,1652.097087
253,785.1553398,837.9805825
254,2076.058252,1159.417476
255,1847.980583,1842.116505
256,2958.660194,3235.116505
257,1280.116505,1052.553398
258,1188.5,1436.134615
259,2359.942308,3297.903846
260,2064.326923,888.9134615
261,2327.5,3662.5
262,1771.394231,1921.394231
263,1182.971154,2369.576923
264,2873.552381,3423.019048
265,1600.085714,1601.52381
266,1094.019048,1649.552381
267,439.9245283,860.1981132
268,1156.245283,1279.981132
269,1342.481132,1091.084906
270,1079.330189,2229.330189
271,2172.066038,1085.471698
272,1555.11215,1565.626168
273,2750.11215,3534.990654
274,347.7009346,2284.130841
275,1196.373832,1599.570093
276,1821.429907,1815.233645
277,1453.925926,1042.814815
278,2040.777778,799.5925926
279,1817.907407,2303.703704
280,1627.203704,1586.907407
281,993.6111111,2145.703704
282,1784.688073,1928.385321
283,1824.091743,2358.495413
284,1676.87156,1670.449541
285,1893.376147,2424.899083
286,1194.119266,2229.788991
287,2815.427273,3638.354545
288,592.2909091,1362.763636
289,585.2612613,1038.135135
290,2550.216216,1155.279279
291,2032.531532,1083.756757
292,2057.540541,1123.288288
293,3007.205357,3342.723214
294,1857.767857,2413.678571
295,1109.875,1526.294643
296,1134.383929,2161.901786
297,858.4955752,667.2920354
298,2869.315789,3229.54386
299,1353.640351,1051.596491
300,2779.121739,3451.782609
301,437.2347826,2292.452174
302,1819.243478,2244.365217
303,955.5304348,2115.634783
304,393.3304348,1032.313043
305,520.25,1045.637931
306,2052.487179,2928.239316
307,1692.288136,1652.09322
308,2745.601695,3711.372881
309,2065.322034,1176.661017
310,2649,3099.847458
311,2005.663866,781.7394958
312,411.7166667,2306.708333
313,2235.578512,2814.272727
314,2821.155738,3152.295082
315,1806.260163,2400.235772
316,1778.162602,2421.365854
317,1373.756098,2062.626016
318,369.5645161,986.1209677
319,2060.5,1645.90625
320,882.6076923,2136.115385
321,2531.360902,1166.142857
322,2917.873134,3231.559701
323,1323.942029,2116.014493
324,983.3857143,1314.264286
