 ,X,Y
1,2.006,11.507
2,2.22,10.359
3,2.262,10.319
4,2.351,9.729
5,2.249,8.046
6,2.046,6.851
7,2.331,6.611
8,2.453,6.393
9,4.461,6.28
10,4.459,6.224
11,4.166,5.834
12,3.938,5.653
13,4.342,4.828
14,4.464,4.311
15,4.27,3.131
16,4.207,3.044
17,5.293,2.776
18,5.392,2.736
19,4.145,2.7
20,4.2,2.698
21,4.278,2.669
22,5.13,2.583
23,4.566,2.474
24,4.534,2.465
25,4.552,2.441
26,4.53,2.426
27,4.824,2.255
28,3.125,2.23
29,4.733,1.965
30,5.035,1.873
31,4.819,1.725
32,4.571,1.527
33,2.2,10.563
34,2.252,10.568
35,2.252,10.514
36,2.198,10.514
37,2.169,10.495
38,2.115,10.505
39,2.313,10.468
40,2.32,10.453
41,2.194,10.347
42,2.255,10.349
43,2.315,10.311
44,2.3,10.295
45,1.41,10.556
46,1.419,10.527
47,1.273,10.516
48,1.459,10.874
49,1.444,10.883
50,1.437,10.93
51,1.423,10.948
52,1.437,11.088
53,1.414,11.047
54,1.376,11.072
55,1.392,11.11
56,1.347,11.146
57,1.41,10.854
58,1.376,10.874
59,1.385,10.849
60,1.372,10.824
61,1.387,10.809
62,1.189,10.818
63,1.146,10.838
64,1.117,10.853
65,1.097,10.856
66,1.041,10.881
67,1.02,10.854
68,0.968,10.892
69,0.928,11.115
70,1.097,10.768
71,1.065,10.804
72,1.032,10.824
73,1.014,10.809
74,1,10.829
75,0.998,10.838
76,0.935,10.847
77,0.883,11.081
78,0.869,11.061
79,1.205,11.273
80,1.191,11.255
81,1.218,11.227
82,1.221,11.189
83,1.117,11.18
84,1.167,11.153
85,1.194,11.167
86,1.135,11.106
87,1.227,11.162
88,1.115,10.448
89,1.106,10.48
90,1.198,10.554
91,1.191,10.59
92,1.124,10.703
93,1.108,10.678
94,0.928,10.766
95,0.948,10.736
96,0.914,10.73
97,0.946,10.628
98,1.101,10.554
99,1.072,10.541
100,0.998,10.532
101,1.169,10.471
102,1.056,10.392
103,1.065,10.372
104,1.016,10.376
105,1.097,10.381
106,1.09,10.365
107,1.167,10.324
108,1.155,10.414
109,1.137,10.324
110,1.113,10.302
111,1.056,10.293
112,1.025,10.264
113,1.173,9.966
114,1.137,9.948
115,1.038,9.926
116,1.027,9.89
117,0.955,9.806
118,1.041,9.878
119,1.439,9.899
120,1.41,9.872
121,1.376,9.867
122,1.286,9.869
123,1.282,9.838
124,1.306,9.833
125,1.322,9.827
126,1.421,9.811
127,1.426,9.777
128,1.437,9.766
129,1.441,9.75
130,1.356,9.761
131,1.23,9.736
132,1.104,9.689
133,1.757,9.61
134,1.766,9.581
135,1.097,9.399
136,1.097,9.376
137,1.077,9.315
138,1.095,9.302
139,1.489,9.511
140,1.482,9.482
141,1.498,9.453
142,1.32,9.207
143,1.324,9.171
144,1.351,9.151
145,1.32,9.101
146,1.277,9.092
147,1.284,9.173
148,1.268,9.117
149,1.327,9.014
150,1.306,9.052
151,1.288,9.014
152,1.466,8.646
153,1.475,8.596
154,1.502,8.59
155,1.466,8.583
156,1.804,8.457
157,1.827,8.468
158,1.824,8.432
159,1.854,8.464
160,2.068,8.02
161,2.081,7.932
162,2.124,7.975
163,2.277,8.097
164,2.236,8.09
165,2.011,7.468
166,1.995,7.437
167,2.173,7.8
168,2.144,7.293
169,2.264,7.241
170,2.207,7.257
171,2.189,7.241
172,2.144,7.232
173,2.189,7.218
174,2.209,7.187
175,2.225,7.182
176,2.167,7.155
177,2.036,7.273
178,2.122,7.117
179,2.05,7.061
180,2.027,7.025
181,1.919,6.962
182,2.018,6.905
183,2.083,6.831
184,2.045,6.899
185,2.18,6.635
186,2.194,6.608
187,2.336,6.685
188,2.286,6.646
189,2.268,6.619
190,2.306,6.617
191,2.25,6.588
192,2.309,6.583
193,2.273,6.574
194,2.426,6.423
195,2.381,6.396
196,2.525,6.392
197,2.495,6.417
198,2.495,6.405
199,2.471,6.39
200,2.495,6.381
201,2.696,6.315
202,3.937,5.635
203,3.903,5.642
204,3.914,5.574
205,3.865,5.568
206,3.944,5.586
207,3.95,5.568
208,3.941,5.541
209,3.437,5.568
210,3.396,5.581
211,3.529,5.788
212,3.505,5.752
213,3.491,5.788
214,3.455,5.766
215,3.342,5.887
216,3.376,5.804
217,3.444,5.84
218,3.534,5.946
219,3.775,5.91
220,3.995,5.995
221,4.002,5.966
222,3.984,5.944
223,3.962,5.989
224,3.95,5.966
225,3.356,6.173
226,3.345,6.131
227,3.302,6.086
228,3.291,6.036
229,3.311,6.014
230,3.322,5.995
231,3.227,6.074
232,3.23,6.038
233,3.212,6.079
234,3.198,6.086
235,3.282,6.218
236,3.324,6.209
237,3.32,6.178
238,3.196,6.18
239,3.225,6.318
240,3.257,6.327
241,3.261,6.287
242,3.847,3.221
243,3.849,3.196
244,3.815,3.216
245,4.002,3.457
246,4.014,3.309
247,4.007,3.266
248,3.937,3.279
249,4.191,3.311
250,4.216,3.318
251,4.162,3.304
252,4.196,3.27
253,4.178,3.257
254,4.385,3.682
255,4.405,3.61
256,4.387,3.565
257,4.428,3.538
258,4.197,3.518
259,3.911,3.716
260,3.7,4.057
261,3.69,4.077
262,3.668,4.125
263,3.628,4.126
264,3.619,4.098
265,4.078,4.381
266,4.298,4.435
267,4.283,4.364
268,4.295,4.338
269,4.298,4.305
270,4.259,4.295
271,4.489,3.532
272,4.466,3.523
273,4.47,3.501
274,4.421,3.466
275,3.868,3.743
276,3.889,3.686
277,3.939,3.689
278,3.895,3.489
279,3.755,3.892
