og_coord,closest_coord,dist
"(7238, 7387)","(7237, 7282)",105.00476179678711
"(8096, 7325)","(7891, 7040)",351.0697936308392
"(7237, 7282)","(7788, 7113)",576.3349720431687
"(7788, 7113)","(7891, 7040)",126.24579200908045
"(7891, 7040)","(6673, 6741)",1254.1630675474382
"(6673, 6741)","(6650, 6725)",28.0178514522438
"(6650, 6725)","(6238, 6624)",424.19924563817887
"(6713, 6199)","(6722, 6176)",24.698178070456937
"(6722, 6176)","(6715, 6053)",123.1990259701756
"(6715, 6053)","(6577, 5980)",156.11854470241516
"(6577, 5980)","(6588, 5962)",21.095023109728988
"(6552, 5976)","(6588, 5962)",38.62641583165593
"(6588, 5962)","(6939, 6080)",370.3039292257105
"(4332, 4165)","(4335, 4193)",28.160255680657446
"(4081, 4086)","(3920, 4009)",178.46568297574746
"(3920, 4009)","(3921, 3992)",17.029386365926403
"(3889, 3993)","(3921, 3992)",32.01562118716424
"(3147, 3638)","(3145, 3624)",14.142135623730951
"(3145, 3624)","(3127, 3600)",30.0
"(3094, 3616)","(3127, 3600)",36.6742416417845
"(3127, 3600)","(2804, 3116)",581.8805719389504
"(3770, 3592)","(3866, 3502)",131.59027319676784
"(3866, 3502)","(3852, 3462)",42.37924020083418
"(3852, 3462)","(3864, 3440)",25.059928172283335
"(3864, 3440)","(3886, 3349)",93.62157870918435
"(3886, 3349)","(3908, 3959)",610.3965923889156
"(2804, 3116)","(2849, 2978)",145.15164484083533
"(2849, 2978)","(2747, 2391)",595.7961060631397
"(2691, 2382)","(2747, 2391)",56.71860364994893
"(2412, 2272)","(2420, 2242)",31.04834939252005
"(2420, 2242)","(2530, 2037)",232.64780248263682
"(3009, 2172)","(2996, 2149)",26.419689627245813
"(2996, 2149)","(3061, 1942)",216.96543503516867
"(2530, 2037)","(2559, 2013)",37.64306044943742
"(2683, 1458)","(2559, 2013)",568.6835675487731
"(2233, 1041)","(2214, 1030)",21.95449840010015
"(2214, 1030)","(1416, 1094)",800.5623023850173
"(3908, 3959)","(3928, 3979)",28.284271247461902
"(3928, 3979)","(3921, 3992)",14.7648230602334
"(3921, 3992)","(4335, 4193)",460.21408061900934
"(4335, 4193)","(4306, 4332)",141.9929575718458
"(4306, 4332)","(4309, 4353)",21.213203435596427
"(4309, 4353)","(4332, 4348)",23.53720459187964
"(4332, 4348)","(4188, 4779)",454.41940979672074
"(4188, 4779)","(4407, 4848)",229.61271741782946
"(4407, 4848)","(4677, 5065)",346.39428401750513
"(3922, 5215)","(4662, 5089)",750.6503846665237
"(4668, 5101)","(4662, 5089)",13.416407864998739
"(4662, 5089)","(4677, 5065)",28.30194339616981
"(4677, 5065)","(4715, 5350)",287.52217305800957
"(5140, 4991)","(5119, 4980)",23.706539182259394
"(5160, 4964)","(5128, 4967)",32.14031735997639
"(5119, 4980)","(5128, 4967)",15.811388300841896
"(5128, 4967)","(5185, 5281)",319.13163428278307
"(5065, 5330)","(5068, 5359)",29.154759474226502
"(5068, 5359)","(5106, 5353)",38.47076812334269
"(5106, 5353)","(5173, 5310)",79.61155694998057
"(5173, 5310)","(5185, 5281)",31.38470965295043
"(5185, 5281)","(5214, 5339)",64.8459713474939
"(5214, 5339)","(5245, 5310)",42.44997055358225
"(5245, 5310)","(4755, 5380)",494.9747468305833
"(4795, 4506)","(4715, 5350)",847.7829911009067
"(6141, 5686)","(5629, 5827)",531.0602602341847
"(6238, 6624)","(6198, 6628)",40.19950248448356
"(6198, 6628)","(6939, 6080)",921.6208547987616
"(1416, 1094)","(1401, 1095)",15.033296378372908
"(1401, 1095)","(1404, 1074)",21.213203435596427
"(1404, 1074)","(1408, 1057)",17.46424919657298
"(1408, 1057)","(2559, 2013)",1496.240956530732
"(2559, 2013)","(2710, 2140)",197.3068675946177
"(2710, 2140)","(2747, 2391)",253.71243564319033
"(2747, 2391)","(3061, 1942)",547.9023635648965
"(3061, 1942)","(3044, 1924)",24.758836806279895
"(3044, 1924)","(4715, 5350)",3811.786588989473
"(4755, 5380)","(4715, 5350)",50.0
"(4715, 5350)","(4953, 5779)",490.5965756097366
"(4993, 5759)","(4953, 5779)",44.721359549995796
"(4953, 5779)","(5629, 5827)",677.7019994068189
"(5629, 5827)","(6939, 6080)",1334.2072552643385
"(6939, 6080)",0,0.0
