og_coord,closest_coord,dist
"(1029.945, 1544.025)","(1053.15, 1524.39)",30.397
"(1053.15, 1524.39)","(1029.945, 1544.025)",30.397
"(958.545, 1303.05)","(933.555, 1279.845)",34.102
"(933.555, 1279.845)","(958.545, 1303.05)",34.102
"(897.855, 1311.975)","(933.555, 1279.845)",48.029
"(983.535, 1531.53)","(1029.945, 1544.025)",48.063
"(1044.225, 1356.6)","(969.255, 1410.15)",92.131
"(969.255, 1410.15)","(1044.225, 1356.6)",92.131
"(797.895, 1286.985)","(897.855, 1311.975)",103.036
"(635.46, 1292.34)","(797.895, 1286.985)",162.523
