og_coord,starfish_coord,dist
"(958.545, 1303.05)","(942.48, 1324.47)",26.775
"(897.855, 1311.975)","(863.94, 1301.265)",35.566
"(933.555, 1279.845)","(942.48, 1324.47)",45.509
"(797.895, 1286.985)","(755.055, 1253.07)",54.64
"(969.255, 1410.15)","(942.48, 1324.47)",89.766
"(635.46, 1292.34)","(665.805, 1379.805)",92.579
"(1044.225, 1356.6)","(942.48, 1324.47)",106.698
"(983.535, 1531.53)","(942.48, 1324.47)",211.091
"(1053.15, 1524.39)","(942.48, 1324.47)",228.508
"(1029.945, 1544.025)","(942.48, 1324.47)",236.336
