og_coord,astar_coord,dist
"(3360.0, 2512.0)","(3424.0, 2512.0)",96.0
"(2448.0, 3888.0)","(2496.0, 3904.0)",96.0
"(2240.0, 2624.0)","(2240.0, 2528.0)",128.0
"(2496.0, 4000.0)","(2496.0, 3904.0)",128.0
"(2512.0, 3984.0)","(2496.0, 3904.0)",128.0
"(2496.0, 4016.0)","(2496.0, 3904.0)",144.0
"(2432.0, 3840.0)","(2496.0, 3904.0)",160.0
"(2560.0, 3984.0)","(2496.0, 3904.0)",176.0
"(3504.0, 1200.0)","(3536.0, 1088.0)",176.0
"(2880.0, 1328.0)","(3024.0, 1328.0)",176.0
"(1632.0, 3152.0)","(1552.0, 3088.0)",176.0
"(3280.0, 2512.0)","(3424.0, 2512.0)",176.0
"(2416.0, 880.0)","(2464.0, 768.0)",192.0
"(1712.0, 3088.0)","(1552.0, 3088.0)",192.0
"(2544.0, 4016.0)","(2496.0, 3904.0)",192.0
"(3120.0, 3456.0)","(2992.0, 3424.0)",192.0
"(2896.0, 1360.0)","(3024.0, 1328.0)",192.0
"(2400.0, 3840.0)","(2496.0, 3904.0)",192.0
"(2160.0, 3616.0)","(2304.0, 3600.0)",192.0
"(2640.0, 3888.0)","(2496.0, 3904.0)",192.0
"(2896.0, 1360.0)","(3024.0, 1328.0)",192.0
"(3568.0, 1216.0)","(3536.0, 1088.0)",192.0
"(2416.0, 864.0)","(2464.0, 768.0)",192.0
"(1376.0, 3088.0)","(1552.0, 3088.0)",208.0
"(3264.0, 2528.0)","(3424.0, 2512.0)",208.0
"(2400.0, 3824.0)","(2496.0, 3904.0)",208.0
"(2592.0, 3984.0)","(2496.0, 3904.0)",208.0
"(3136.0, 3456.0)","(2992.0, 3424.0)",208.0
"(3152.0, 1792.0)","(2992.0, 1776.0)",208.0
"(2944.0, 1408.0)","(3024.0, 1328.0)",208.0
"(2176.0, 3536.0)","(2304.0, 3600.0)",224.0
"(3776.0, 1840.0)","(3888.0, 1920.0)",224.0
"(3248.0, 2496.0)","(3424.0, 2512.0)",224.0
"(3232.0, 2512.0)","(3424.0, 2512.0)",224.0
"(1440.0, 3168.0)","(1552.0, 3088.0)",224.0
"(2896.0, 2864.0)","(3024.0, 2928.0)",224.0
"(2416.0, 912.0)","(2464.0, 768.0)",224.0
"(2560.0, 4032.0)","(2496.0, 3904.0)",224.0
"(2624.0, 3968.0)","(2496.0, 3904.0)",224.0
"(3504.0, 1248.0)","(3536.0, 1088.0)",224.0
"(1408.0, 3152.0)","(1552.0, 3088.0)",240.0
"(2624.0, 3984.0)","(2496.0, 3904.0)",240.0
"(3232.0, 2928.0)","(3024.0, 2928.0)",240.0
"(2112.0, 3616.0)","(2304.0, 3600.0)",240.0
"(3120.0, 1856.0)","(2992.0, 1776.0)",240.0
"(2960.0, 3056.0)","(3024.0, 2928.0)",240.0
"(3072.0, 1168.0)","(3024.0, 1328.0)",240.0
"(3776.0, 2000.0)","(3888.0, 1920.0)",240.0
"(3136.0, 1840.0)","(2992.0, 1776.0)",240.0
"(3760.0, 2000.0)","(3888.0, 1920.0)",240.0
"(2944.0, 1440.0)","(3024.0, 1328.0)",240.0
"(3152.0, 1824.0)","(2992.0, 1776.0)",240.0
"(2480.0, 960.0)","(2464.0, 768.0)",240.0
"(2448.0, 960.0)","(2464.0, 768.0)",240.0
"(1360.0, 3104.0)","(1552.0, 3088.0)",240.0
"(3776.0, 2016.0)","(3888.0, 1920.0)",256.0
"(3056.0, 3120.0)","(3024.0, 2928.0)",256.0
"(3088.0, 3088.0)","(3024.0, 2928.0)",256.0
"(2464.0, 992.0)","(2464.0, 768.0)",256.0
"(3120.0, 1872.0)","(2992.0, 1776.0)",256.0
"(2560.0, 4064.0)","(2496.0, 3904.0)",256.0
"(3168.0, 1824.0)","(2992.0, 1776.0)",256.0
"(3664.0, 1920.0)","(3888.0, 1920.0)",256.0
"(2592.0, 4032.0)","(2496.0, 3904.0)",256.0
"(3712.0, 1968.0)","(3888.0, 1920.0)",256.0
"(3728.0, 1984.0)","(3888.0, 1920.0)",256.0
"(2944.0, 1472.0)","(3024.0, 1328.0)",256.0
"(3232.0, 2944.0)","(3024.0, 2928.0)",256.0
"(2896.0, 1648.0)","(2992.0, 1776.0)",256.0
"(3200.0, 1792.0)","(2992.0, 1776.0)",256.0
"(2432.0, 960.0)","(2464.0, 768.0)",256.0
"(2592.0, 4048.0)","(2496.0, 3904.0)",272.0
"(2432.0, 976.0)","(2464.0, 768.0)",272.0
"(2800.0, 1312.0)","(3024.0, 1328.0)",272.0
"(2784.0, 1328.0)","(3024.0, 1328.0)",272.0
"(2944.0, 3072.0)","(3024.0, 2928.0)",272.0
"(2624.0, 848.0)","(2464.0, 768.0)",272.0
"(2784.0, 1328.0)","(3024.0, 1328.0)",272.0
"(2944.0, 3232.0)","(2992.0, 3424.0)",272.0
"(3168.0, 3488.0)","(2992.0, 3424.0)",272.0
"(3856.0, 2528.0)","(3680.0, 2464.0)",272.0
"(2976.0, 3200.0)","(2992.0, 3424.0)",272.0
"(1392.0, 3168.0)","(1552.0, 3088.0)",272.0
"(2848.0, 1680.0)","(2992.0, 1776.0)",272.0
"(2416.0, 3472.0)","(2304.0, 3600.0)",272.0
"(3424.0, 1216.0)","(3536.0, 1088.0)",272.0
"(3104.0, 1904.0)","(2992.0, 1776.0)",272.0
"(3104.0, 1904.0)","(2992.0, 1776.0)",272.0
"(3472.0, 1280.0)","(3536.0, 1088.0)",288.0
"(3680.0, 1968.0)","(3888.0, 1920.0)",288.0
"(2944.0, 1504.0)","(3024.0, 1328.0)",288.0
"(3056.0, 3616.0)","(2992.0, 3424.0)",288.0
"(3136.0, 1888.0)","(2992.0, 1776.0)",288.0
"(2368.0, 912.0)","(2464.0, 768.0)",288.0
"(2224.0, 752.0)","(2464.0, 768.0)",288.0
"(1376.0, 3168.0)","(1552.0, 3088.0)",288.0
"(3088.0, 1936.0)","(2992.0, 1776.0)",288.0
"(2912.0, 1456.0)","(3024.0, 1328.0)",288.0
"(3856.0, 2544.0)","(3680.0, 2464.0)",288.0
"(3104.0, 1152.0)","(3024.0, 1328.0)",288.0
"(3440.0, 1248.0)","(3536.0, 1088.0)",288.0
"(2944.0, 3216.0)","(2992.0, 3424.0)",288.0
"(3264.0, 2912.0)","(3024.0, 2928.0)",288.0
"(3136.0, 2864.0)","(3024.0, 2928.0)",288.0
"(3248.0, 1776.0)","(2992.0, 1776.0)",288.0
"(2208.0, 768.0)","(2464.0, 768.0)",288.0
"(2768.0, 1344.0)","(3024.0, 1328.0)",304.0
"(3840.0, 2576.0)","(3680.0, 2464.0)",304.0
"(3088.0, 3136.0)","(3024.0, 2928.0)",304.0
"(3200.0, 1840.0)","(2992.0, 1776.0)",304.0
"(2800.0, 1280.0)","(3024.0, 1328.0)",304.0
"(3728.0, 2032.0)","(3888.0, 1920.0)",304.0
"(3392.0, 1200.0)","(3536.0, 1088.0)",304.0
"(2784.0, 3360.0)","(2992.0, 3424.0)",304.0
"(3152.0, 2512.0)","(3424.0, 2512.0)",304.0
"(1392.0, 3200.0)","(1552.0, 3088.0)",304.0
"(3120.0, 1920.0)","(2992.0, 1776.0)",304.0
"(2768.0, 1312.0)","(3024.0, 1328.0)",304.0
"(3120.0, 1920.0)","(2992.0, 1776.0)",304.0
"(2208.0, 784.0)","(2464.0, 768.0)",304.0
"(2784.0, 1360.0)","(3024.0, 1328.0)",304.0
"(4080.0, 1840.0)","(3888.0, 1920.0)",304.0
"(3120.0, 2848.0)","(3024.0, 2928.0)",320.0
"(3072.0, 3168.0)","(3024.0, 2928.0)",320.0
"(3136.0, 2512.0)","(3424.0, 2512.0)",320.0
"(4080.0, 1824.0)","(3888.0, 1920.0)",320.0
"(3712.0, 2032.0)","(3888.0, 1920.0)",320.0
"(1728.0, 2976.0)","(1552.0, 3088.0)",320.0
"(3280.0, 2896.0)","(3024.0, 2928.0)",320.0
"(1376.0, 3200.0)","(1552.0, 3088.0)",320.0
"(3712.0, 2208.0)","(3680.0, 2464.0)",320.0
"(3184.0, 1872.0)","(2992.0, 1776.0)",320.0
"(3408.0, 2240.0)","(3424.0, 2512.0)",320.0
"(4112.0, 1856.0)","(3888.0, 1920.0)",320.0
"(3072.0, 3632.0)","(2992.0, 3424.0)",320.0
