og_coord,Path
"(2409.0, 3149.0)","[(2409, 3149), (2960.0, 3128.0), (2976.0, 3112.0), (3008.0, 3096.0), (3056.0, 3080.0), (3072.0, 3064.0), (3248.0, 3048.0), (3264.0, 3032.0), (3280.0, 3016.0), (3296.0, 3000.0), (3312.0, 2984.0), (3328.0, 2968.0), (3344.0, 2952.0), (3360.0, 2936.0), (3376.0, 2920.0), (3392, 2912)]"
"(2427.0, 3173.0)","[(2427, 3173), (2944.0, 3160.0), (2952.0, 3136.0), (2968.0, 3120.0), (2984.0, 3104.0), (3008.0, 3096.0), (3056.0, 3080.0), (3072.0, 3064.0), (3248.0, 3048.0), (3264.0, 3032.0), (3280.0, 3016.0), (3296.0, 3000.0), (3312.0, 2984.0), (3328.0, 2968.0), (3344.0, 2952.0), (3360.0, 2936.0), (3376.0, 2920.0), (3392, 2912)]"
"(2415.0, 3103.0)","[(2415, 3103), (3056.0, 3080.0), (3072.0, 3064.0), (3248.0, 3048.0), (3264.0, 3032.0), (3280.0, 3016.0), (3296.0, 3000.0), (3312.0, 2984.0), (3328.0, 2968.0), (3344.0, 2952.0), (3360.0, 2936.0), (3376.0, 2920.0), (3392, 2912)]"
"(2418.0, 3165.0)","[(2418, 3165), (2944.0, 3144.0), (2960.0, 3128.0), (2976.0, 3112.0), (3008.0, 3096.0), (3056.0, 3080.0), (3072.0, 3064.0), (3248.0, 3048.0), (3264.0, 3032.0), (3280.0, 3016.0), (3296.0, 3000.0), (3312.0, 2984.0), (3328.0, 2968.0), (3344.0, 2952.0), (3360.0, 2936.0), (3376.0, 2920.0), (3392, 2912)]"
"(2353.0, 3009.0)","[(2353, 3009), (3296.0, 3000.0), (3312.0, 2984.0), (3328.0, 2968.0), (3344.0, 2952.0), (3360.0, 2936.0), (3376.0, 2920.0), (3392, 2912)]"
"(3353.0, 3342.0)","[(3353, 3342), (3352.0, 2944.0), (3368.0, 2928.0), (3384.0, 2912.0), (3392, 2912)]"
"(3378.0, 3286.0)","[(3378, 3286), (3384.0, 2912.0), (3392, 2912)]"
"(3381.0, 3352.0)","[(3381, 3352), (3384.0, 2912.0), (3392, 2912)]"
"(3375.0, 3329.0)","[(3375, 3329), (3368.0, 2928.0), (3384.0, 2912.0), (3392, 2912)]"
"(3364.0, 3314.0)","[(3364, 3314), (3368.0, 2928.0), (3384.0, 2912.0), (3392, 2912)]"
