og_coord,astar_coord,goldstar_dist,astar_dist,smoothed_dist,dist
"(3901.0, 2646.0)","(4000.0, 2528.0)",158.39191898578665,240,161.65304580781546,161.653
"(3859.0, 2699.0)","(4000.0, 2528.0)",215.25798475317936,320,222.0041809886975,222.004
"(3775.0, 2376.0)","(4000.0, 2528.0)",288.44410203711914,416,304.1138405328387,304.114
"(3774.0, 2365.0)","(4000.0, 2528.0)",297.6172038038124,432,310.9052957868056,310.905
"(3926.0, 2824.0)","(4000.0, 2528.0)",298.9046670763105,384,322.6524796098285,322.652
"(3921.0, 2841.0)","(4000.0, 2528.0)",314.350123270216,400,338.6429643087363,338.643
"(3902.0, 2843.0)","(4000.0, 2528.0)",323.9753077010654,432,351.9182912879402,351.918
"(3378.0, 3286.0)","(3392.0, 2912.0)",368.3476618630828,400,376.0869462504749,376.087
"(3906.0, 2866.0)","(4000.0, 2528.0)",349.4452746854649,448,377.2620544871616,377.262
"(3947.0, 2886.0)","(4000.0, 2528.0)",357.77087639996637,432,379.98749593388,379.987
"(3353.0, 3287.0)","(3392.0, 2912.0)",371.11723215178245,432,389.35005859753915,389.35
"(3364.0, 3314.0)","(3392.0, 2912.0)",401.2779585275025,448,414.71074129101925,414.711
"(3375.0, 3329.0)","(3392.0, 2912.0)",417.22895393296955,464,430.7074089995691,430.707
"(3353.0, 3342.0)","(3392.0, 2912.0)",418.7600745056768,480,437.3381582889888,437.338
"(3381.0, 3352.0)","(3392.0, 2912.0)",432.2961947554015,464,440.07406772450486,440.074
"(2299.0, 1437.0)","(1728.0, 1472.0)",562.0533782480095,688,597.1414582441463,597.141
"(3535.0, 2089.0)","(4000.0, 2528.0)",656.5851049178622,944,690.6004048227645,690.6
"(3574.0, 2018.0)","(4000.0, 2528.0)",669.9014852946663,960,709.1110400663351,709.111
"(2415.0, 3103.0)","(3056.0, 3152.0)",659.1145575694713,736,712.048778674269,712.049
"(2418.0, 3165.0)","(3056.0, 3152.0)",640.0,784,713.0925242186315,713.093
"(2409.0, 3149.0)","(3056.0, 3152.0)",656.1950929411161,784,722.4616445799545,722.462
"(3543.0, 2019.0)","(4000.0, 2528.0)",690.9703322140539,992,722.6289693356929,722.629
"(2427.0, 3173.0)","(3056.0, 3152.0)",640.1999687597618,800,727.9118791413291,727.912
"(3395.0, 2198.0)","(4000.0, 2528.0)",694.6653870749572,960,747.141941049755,747.142
"(2353.0, 3009.0)","(3056.0, 3152.0)",718.5763703323398,864,788.5349108783906,788.535
"(2503.0, 1506.0)","(1728.0, 1472.0)",768.6663775657161,976,828.1701606213325,828.17
"(2481.0, 1592.0)","(1728.0, 1472.0)",760.2946797130702,1040,859.5402863266587,859.54
"(2517.0, 1554.0)","(1728.0, 1472.0)",788.0710627855841,1040,872.2917553893617,872.292
"(2546.0, 1533.0)","(1728.0, 1472.0)",817.4105455644673,1040,890.9040399190906,890.904
"(2589.0, 2339.0)","(3056.0, 3152.0)",946.707980319169,1312,1091.152664367512,1091.153
"(2643.0, 2294.0)","(3056.0, 3152.0)",958.9327400813886,1296,1120.8387340811144,1120.839
"(2650.0, 2076.0)","(1728.0, 1472.0)",1087.2938885140484,1520,1158.6822365285018,1158.682
"(2640.0, 2084.0)","(1728.0, 1472.0)",1096.0875877410529,1536,1165.314413304752,1165.314
"(2857.0, 2065.0)","(3056.0, 3152.0)",1107.7039315629424,1312,1208.8753741616736,1208.875
"(2943.0, 2011.0)","(3056.0, 3152.0)",1159.0892976815894,1328,1238.019617052202,1238.02
"(2915.0, 1996.0)","(3056.0, 3152.0)",1176.8432350997307,1328,1253.8844027436649,1253.884
