og_coord,Path
"(1.344, 1.757)","[(2409, 3149), (2960.0, 3128.0), (2976.0, 3112.0), (3008.0, 3096.0), (3056.0, 3096.0), (3056, 3152)]"
"(1.354, 1.771)","[(2427, 3173), (2944.0, 3160.0), (2952.0, 3136.0), (2968.0, 3120.0), (2984.0, 3104.0), (3008.0, 3096.0), (3056.0, 3096.0), (3056, 3152)]"
"(1.348, 1.731)","[(2415, 3103), (3056.0, 3096.0), (3056, 3152)]"
"(1.349, 1.766)","[(2418, 3165), (2944.0, 3144.0), (2960.0, 3128.0), (2976.0, 3112.0), (3008.0, 3096.0), (3056.0, 3096.0), (3056, 3152)]"
"(1.313, 1.679)","[(2353, 3009), (2928.0, 3016.0), (2944.0, 3032.0), (2960.0, 3048.0), (2976.0, 3064.0), (2992.0, 3080.0), (3056.0, 3096.0), (3056, 3152)]"
"(1.871, 1.865)","[(3353, 3342), (3352.0, 2944.0), (3368.0, 2928.0), (3384.0, 2912.0), (3392, 2912)]"
"(1.885, 1.834)","[(3378, 3286), (3384.0, 2912.0), (3392, 2912)]"
"(1.887, 1.87)","[(3381, 3352), (3384.0, 2912.0), (3392, 2912)]"
"(1.883, 1.858)","[(3375, 3329), (3368.0, 2928.0), (3384.0, 2912.0), (3392, 2912)]"
"(1.877, 1.849)","[(3364, 3314), (3368.0, 2928.0), (3384.0, 2912.0), (3392, 2912)]"
"(1.871, 1.834)","[(3353, 3287), (3352.0, 2944.0), (3368.0, 2928.0), (3384.0, 2912.0), (3392, 2912)]"
"(2.177, 1.586)","[(3902, 2843), (3896.0, 2624.0), (3912.0, 2608.0), (3928.0, 2592.0), (3944.0, 2576.0), (3960.0, 2560.0), (3976.0, 2544.0), (3992.0, 2528.0), (4000, 2528)]"
"(2.177, 1.476)","[(3901, 2646), (3896.0, 2624.0), (3912.0, 2608.0), (3928.0, 2592.0), (3944.0, 2576.0), (3960.0, 2560.0), (3976.0, 2544.0), (3992.0, 2528.0), (4000, 2528)]"
"(2.188, 1.585)","[(3921, 2841), (3928.0, 2592.0), (3944.0, 2576.0), (3960.0, 2560.0), (3976.0, 2544.0), (3992.0, 2528.0), (4000, 2528)]"
"(2.191, 1.576)","[(3926, 2824), (3928.0, 2592.0), (3944.0, 2576.0), (3960.0, 2560.0), (3976.0, 2544.0), (3992.0, 2528.0), (4000, 2528)]"
"(2.18, 1.599)","[(3906, 2866), (3912.0, 2608.0), (3928.0, 2592.0), (3944.0, 2576.0), (3960.0, 2560.0), (3976.0, 2544.0), (3992.0, 2528.0), (4000, 2528)]"
"(2.202, 1.61)","[(3947, 2886), (3944.0, 2576.0), (3960.0, 2560.0), (3976.0, 2544.0), (3992.0, 2528.0), (4000, 2528)]"
"(2.153, 1.506)","[(3859, 2699), (3864.0, 2656.0), (3880.0, 2640.0), (3896.0, 2624.0), (3912.0, 2608.0), (3928.0, 2592.0), (3944.0, 2576.0), (3960.0, 2560.0), (3976.0, 2544.0), (3992.0, 2528.0), (4000, 2528)]"
"(1.475, 1.28)","[(2643, 2294), (2648.0, 2512.0), (2664.0, 2528.0), (2680.0, 2544.0), (2696.0, 2560.0), (2712.0, 2592.0), (2768.0, 2600.0), (2832.0, 2616.0), (2848.0, 2632.0), (2864.0, 2648.0), (2896.0, 2664.0), (2928.0, 2680.0), (2944.0, 2696.0), (2976.0, 2712.0), (2992.0, 2728.0), (3000.0, 3088.0), (3056.0, 3096.0), (3056, 3152)]"
"(1.445, 1.305)","[(2589, 2339), (2584.0, 2400.0), (2600.0, 2416.0), (2616.0, 2448.0), (2632.0, 2480.0), (2648.0, 2512.0), (2664.0, 2528.0), (2680.0, 2544.0), (2696.0, 2560.0), (2712.0, 2592.0), (2768.0, 2600.0), (2832.0, 2616.0), (2848.0, 2632.0), (2864.0, 2648.0), (2896.0, 2664.0), (2928.0, 2680.0), (2944.0, 2696.0), (2976.0, 2712.0), (2992.0, 2728.0), (3000.0, 3088.0), (3056.0, 3096.0), (3056, 3152)]"
"(1.691, 1.088)","[(3031, 1949), (3016.0, 2144.0), (2992.0, 2152.0), (2928.0, 2168.0), (2912.0, 2184.0), (2920.0, 2672.0), (2936.0, 2688.0), (2952.0, 2704.0), (2976.0, 2712.0), (2992.0, 2728.0), (3000.0, 3088.0), (3056.0, 3096.0), (3056, 3152)]"
"(1.692, 1.094)","[(3033, 1960), (3016.0, 2144.0), (2992.0, 2152.0), (2928.0, 2168.0), (2912.0, 2184.0), (2920.0, 2672.0), (2936.0, 2688.0), (2952.0, 2704.0), (2976.0, 2712.0), (2992.0, 2728.0), (3000.0, 3088.0), (3056.0, 3096.0), (3056, 3152)]"
"(1.678, 1.042)","[(3008, 1868), (3000.0, 2144.0), (2984.0, 2160.0), (2928.0, 2168.0), (2912.0, 2184.0), (2920.0, 2672.0), (2936.0, 2688.0), (2952.0, 2704.0), (2976.0, 2712.0), (2992.0, 2728.0), (3000.0, 3088.0), (3056.0, 3096.0), (3056, 3152)]"
"(1.646, 1.115)","[(2950, 1998), (2936.0, 2160.0), (2920.0, 2176.0), (2920.0, 2672.0), (2936.0, 2688.0), (2952.0, 2704.0), (2976.0, 2712.0), (2992.0, 2728.0), (3000.0, 3088.0), (3056.0, 3096.0), (3056, 3152)]"
"(1.642, 1.122)","[(2943, 2011), (2920.0, 2176.0), (2920.0, 2672.0), (2936.0, 2688.0), (2952.0, 2704.0), (2976.0, 2712.0), (2992.0, 2728.0), (3000.0, 3088.0), (3056.0, 3096.0), (3056, 3152)]"
