og_coord,Path
"(393.0, 6383.0)","[(393, 6383), (400.0, 6360.0), (416.0, 6344.0), (432.0, 6328.0), (440.0, 6256.0), (456.0, 6240.0), (472.0, 6224.0), (488.0, 6208.0), (504.0, 6192.0), (520.0, 6176.0), (536.0, 6160.0), (552.0, 6144.0), (568.0, 6128.0), (576, 6128)]"
"(442.0, 6500.0)","[(442, 6500), (448.0, 6488.0), (456.0, 6240.0), (472.0, 6224.0), (488.0, 6208.0), (504.0, 6192.0), (520.0, 6176.0), (536.0, 6160.0), (552.0, 6144.0), (568.0, 6128.0), (576, 6128)]"
"(853.0, 5263.0)","[(853, 5263), (856.0, 4784.0), (872.0, 4768.0), (888.0, 4752.0), (904.0, 4736.0), (920.0, 4720.0), (936.0, 4704.0), (952.0, 4688.0), (968.0, 4672.0), (976, 4672)]"
"(834.0, 5240.0)","[(834, 5240), (840.0, 4800.0), (856.0, 4784.0), (872.0, 4768.0), (888.0, 4752.0), (904.0, 4736.0), (920.0, 4720.0), (936.0, 4704.0), (952.0, 4688.0), (968.0, 4672.0), (976, 4672)]"
"(857.0, 5238.0)","[(857, 5238), (856.0, 4784.0), (872.0, 4768.0), (888.0, 4752.0), (904.0, 4736.0), (920.0, 4720.0), (936.0, 4704.0), (952.0, 4688.0), (968.0, 4672.0), (976, 4672)]"
"(901.0, 5353.0)","[(901, 5353), (864.0, 5352.0), (856.0, 5392.0), (856.0, 5488.0), (856.0, 5568.0), (840.0, 5584.0), (816.0, 5592.0), (800.0, 5608.0), (792.0, 5632.0), (576.0, 5624.0), (560.0, 5608.0), (544.0, 5592.0), (544, 5584)]"
"(870.0, 5270.0)","[(870, 5270), (872.0, 4768.0), (888.0, 4752.0), (904.0, 4736.0), (920.0, 4720.0), (936.0, 4704.0), (952.0, 4688.0), (968.0, 4672.0), (976, 4672)]"
"(863.0, 5208.0)","[(863, 5208), (856.0, 4784.0), (872.0, 4768.0), (888.0, 4752.0), (904.0, 4736.0), (920.0, 4720.0), (936.0, 4704.0), (952.0, 4688.0), (968.0, 4672.0), (976, 4672)]"
"(884.0, 5335.0)","[(884, 5335), (864.0, 5336.0), (856.0, 5392.0), (856.0, 5488.0), (856.0, 5568.0), (840.0, 5584.0), (816.0, 5592.0), (800.0, 5608.0), (792.0, 5632.0), (576.0, 5624.0), (560.0, 5608.0), (544.0, 5592.0), (544, 5584)]"
"(1029.0, 5426.0)","[(1029, 5426), (848.0, 5432.0), (856.0, 5488.0), (856.0, 5568.0), (840.0, 5584.0), (816.0, 5592.0), (800.0, 5608.0), (792.0, 5632.0), (576.0, 5624.0), (560.0, 5608.0), (544.0, 5592.0), (544, 5584)]"
"(909.0, 5343.0)","[(909, 5343), (864.0, 5336.0), (856.0, 5392.0), (856.0, 5488.0), (856.0, 5568.0), (840.0, 5584.0), (816.0, 5592.0), (800.0, 5608.0), (792.0, 5632.0), (576.0, 5624.0), (560.0, 5608.0), (544.0, 5592.0), (544, 5584)]"
"(905.0, 5308.0)","[(905, 5308), (904.0, 4736.0), (920.0, 4720.0), (936.0, 4704.0), (952.0, 4688.0), (968.0, 4672.0), (976, 4672)]"
"(847.0, 5231.0)","[(847, 5231), (840.0, 4800.0), (856.0, 4784.0), (872.0, 4768.0), (888.0, 4752.0), (904.0, 4736.0), (920.0, 4720.0), (936.0, 4704.0), (952.0, 4688.0), (968.0, 4672.0), (976, 4672)]"
"(908.0, 5325.0)","[(908, 5325), (864.0, 5320.0), (856.0, 5392.0), (856.0, 5488.0), (856.0, 5568.0), (840.0, 5584.0), (816.0, 5592.0), (800.0, 5608.0), (792.0, 5632.0), (576.0, 5624.0), (560.0, 5608.0), (544.0, 5592.0), (544, 5584)]"
"(1603.0, 4653.0)","[(1603, 4653), (1592.0, 4176.0), (1576.0, 4160.0), (1560.0, 4144.0), (1544.0, 4128.0), (1536, 4112)]"
"(1586.0, 4691.0)","[(1586, 4691), (1576.0, 4160.0), (1560.0, 4144.0), (1544.0, 4128.0), (1536, 4112)]"
"(1588.0, 4620.0)","[(1588, 4620), (1576.0, 4160.0), (1560.0, 4144.0), (1544.0, 4128.0), (1536, 4112)]"
"(1630.0, 4587.0)","[(1630, 4587), (1608.0, 4192.0), (1592.0, 4176.0), (1576.0, 4160.0), (1560.0, 4144.0), (1544.0, 4128.0), (1536, 4112)]"
"(1585.0, 4666.0)","[(1585, 4666), (1576.0, 4160.0), (1560.0, 4144.0), (1544.0, 4128.0), (1536, 4112)]"
"(1625.0, 4627.0)","[(1625, 4627), (1608.0, 4192.0), (1592.0, 4176.0), (1576.0, 4160.0), (1560.0, 4144.0), (1544.0, 4128.0), (1536, 4112)]"
"(1654.0, 4662.0)","[(1654, 4662), (1640.0, 4224.0), (1624.0, 4208.0), (1608.0, 4192.0), (1592.0, 4176.0), (1576.0, 4160.0), (1560.0, 4144.0), (1544.0, 4128.0), (1536, 4112)]"
"(1649.0, 4623.0)","[(1649, 4623), (1640.0, 4224.0), (1624.0, 4208.0), (1608.0, 4192.0), (1592.0, 4176.0), (1576.0, 4160.0), (1560.0, 4144.0), (1544.0, 4128.0), (1536, 4112)]"
"(1597.0, 3303.0)","[(1597, 3303), (2208.0, 3288.0), (2224, 3280)]"
