og_coord,Path
"(2705.0, 3730.0)",0
"(2902.0, 3485.0)",0
"(2721.0, 3724.0)",0
"(2621.0, 3543.0)",0
"(2691.0, 2916.0)",0
"(2918.0, 3343.0)",0
"(2557.0, 3128.0)",0
"(2733.0, 3499.0)",0
"(2982.0, 3316.0)",0
"(2829.0, 3409.0)",0
"(2584.0, 3162.0)",0
"(3017.0, 3323.0)",0
"(2744.0, 2909.0)",0
"(2612.0, 3555.0)",0
"(2702.0, 3775.0)",0
"(2958.0, 3235.0)",0
"(2873.0, 3423.0)",0
"(2750.0, 3534.0)",0
"(2815.0, 3638.0)",0
"(3007.0, 3342.0)",0
"(2869.0, 3229.0)",0
"(2779.0, 3451.0)",0
"(2745.0, 3711.0)",0
"(2649.0, 3099.0)",0
"(2821.0, 3152.0)",0
"(2917.0, 3231.0)",0
"(2245.0, 3201.0)",0
"(2345.0, 3298.0)",0
"(2262.0, 3201.0)",0
"(2282.0, 3191.0)",0
"(2244.0, 3164.0)",0
"(2359.0, 3297.0)",0
"(2208.0, 2816.0)","[(2208, 2816), (2208, 2032)]"
"(2196.0, 2845.0)","[(2196, 2845), (2184.0, 2272.0), (2168.0, 2256.0), (2152.0, 2240.0), (2136.0, 2224.0), (2120.0, 2208.0), (2104.0, 2192.0), (2088.0, 2176.0), (2072.0, 2160.0), (2056.0, 2144.0), (2048, 2128)]"
"(2361.0, 2946.0)","[(2361, 2946), (2344.0, 2832.0), (2328.0, 2816.0), (2304.0, 2808.0), (2296.0, 2784.0), (2256.0, 2776.0), (2248.0, 2080.0), (2232.0, 2064.0), (2216.0, 2048.0), (2208, 2032)]"
"(2235.0, 2814.0)","[(2235, 2814), (2216.0, 2048.0), (2208, 2032)]"
"(1168.0, 1640.0)","[(1168, 1640), (1160.0, 1744.0), (1144.0, 1760.0), (1128.0, 1776.0), (1112.0, 1792.0), (1096.0, 1808.0), (1088, 1824)]"
"(1134.0, 1664.0)","[(1134, 1664), (1112.0, 1792.0), (1096.0, 1808.0), (1088, 1824)]"
"(1093.0, 1618.0)","[(1093, 1618), (1088, 1824)]"
"(1098.0, 1512.0)","[(1098, 1512), (1088, 1824)]"
"(1107.0, 1653.0)","[(1107, 1653), (1096.0, 1808.0), (1088, 1824)]"
"(1133.0, 1464.0)","[(1133, 1464), (1112.0, 1792.0), (1096.0, 1808.0), (1088, 1824)]"
"(1114.0, 1452.0)","[(1114, 1452), (1096.0, 1808.0), (1088, 1824)]"
"(1110.0, 1505.0)","[(1110, 1505), (1096.0, 1808.0), (1088, 1824)]"
"(1125.0, 1508.0)","[(1125, 1508), (1112.0, 1792.0), (1096.0, 1808.0), (1088, 1824)]"
"(1085.0, 1479.0)","[(1085, 1479), (1080.0, 1536.0), (1088, 1824)]"
"(1134.0, 1600.0)","[(1134, 1600), (1112.0, 1792.0), (1096.0, 1808.0), (1088, 1824)]"
"(1188.0, 1436.0)","[(1188, 1436), (1176.0, 1728.0), (1160.0, 1744.0), (1144.0, 1760.0), (1128.0, 1776.0), (1112.0, 1792.0), (1096.0, 1808.0), (1088, 1824)]"
"(1094.0, 1649.0)","[(1094, 1649), (1088, 1824)]"
"(1109.0, 1526.0)","[(1109, 1526), (1096.0, 1808.0), (1088, 1824)]"
