og_coord,astar_coord,goldstar_dist,astar_dist,smoothed_dist,dist
"(643.0, 419.0)","(698.0, 468.0)",72.85467587602044,0.0,0.0,72.855
"(1063.0, 2492.0)","(974.0, 2504.0)",89.73990193888112,0.0,0.0,89.74
"(644.0, 391.0)","(698.0, 468.0)",93.06435181099147,0.0,0.0,93.064
"(1073.0, 2510.0)","(974.0, 2504.0)",100.07364958369402,0.0,0.0,100.074
"(2049.0, 2246.0)","(2052.0, 2136.0)",110.04090148667449,0.0,0.0,110.041
"(380.0, 2338.0)","(394.0, 2450.0)",112.53014715177424,0.0,0.0,112.53
"(1210.0, 1802.0)","(1100.0, 1834.0)",114.56002793295748,0.0,0.0,114.56
"(2066.0, 2252.0)","(2052.0, 2136.0)",117.51151798015368,0.0,0.0,117.512
"(1103.0, 1712.0)","(1100.0, 1834.0)",121.72054554593497,0.0,0.0,121.721
"(2059.0, 2259.0)","(2052.0, 2136.0)",123.83025808743216,0.0,0.0,123.83
"(1208.0, 1768.0)","(1100.0, 1834.0)",126.30523205710838,0.0,0.0,126.305
"(1124.0, 1710.0)","(1100.0, 1834.0)",126.40864290071312,0.0,0.0,126.409
"(1359.0, 2111.0)","(1486.0, 2132.0)",128.1037787303717,0.0,0.0,128.104
"(1373.0, 2062.0)","(1486.0, 2132.0)",131.95251953638459,0.0,0.0,131.953
"(602.0, 564.0)","(698.0, 468.0)",136.05669196698847,0.0,0.0,136.057
"(411.0, 2306.0)","(394.0, 2450.0)",144.3831338938173,0.0,0.0,144.383
"(1343.0, 2105.0)","(1486.0, 2132.0)",144.77075987228915,0.0,0.0,144.771
"(426.0, 2306.0)","(394.0, 2450.0)",147.03856044589125,0.0,0.0,147.039
"(592.0, 1362.0)","(480.0, 1280.0)",137.63720427268203,208.0,147.17176823426385,147.172
"(1116.0, 1685.0)","(1100.0, 1834.0)",149.20116553164058,0.0,0.0,149.201
"(619.0, 1333.0)","(480.0, 1280.0)",136.7040599250805,192.0,149.5875906262774,149.588
"(1245.0, 1792.0)","(1100.0, 1834.0)",151.18927205658488,0.0,0.0,151.189
"(1609.0, 2040.0)","(1486.0, 2132.0)",153.28157056867596,0.0,0.0,153.282
"(2420.0, 3795.0)","(2552.0, 3875.0)",154.3502510525979,0.0,0.0,154.35
"(1144.0, 1683.0)","(1100.0, 1834.0)",156.87902937295362,0.0,0.0,156.879
"(2088.0, 1942.0)","(2214.0, 2038.0)",157.97409295514245,0.0,0.0,157.974
"(1241.0, 1763.0)","(1100.0, 1834.0)",158.00703939065502,0.0,0.0,158.007
"(1171.0, 1692.0)","(1100.0, 1834.0)",158.5316167362208,0.0,0.0,158.532
"(1323.0, 2116.0)","(1486.0, 2132.0)",162.84455029260266,0.0,0.0,162.845
"(611.0, 1370.0)","(480.0, 1280.0)",150.94369811290565,224.0,163.0077299782665,163.008
"(437.0, 2292.0)","(394.0, 2450.0)",163.3726951757849,0.0,0.0,163.373
"(1134.0, 1664.0)","(1088.0, 1824.0)",163.1686244349691,208.0,168.76571715301904,168.766
"(1145.0, 2501.0)","(974.0, 2504.0)",171.199274963418,0.0,0.0,171.199
"(347.0, 2284.0)","(394.0, 2450.0)",172.20953098478623,0.0,0.0,172.21
"(625.0, 1353.0)","(480.0, 1280.0)",157.58172482873766,224.0,172.21500762424694,172.215
"(561.0, 579.0)","(698.0, 468.0)",176.5272706666027,0.0,0.0,176.527
"(2420.0, 3757.0)","(2552.0, 3875.0)",177.05366418123066,0.0,0.0,177.054
"(1107.0, 1653.0)","(1088.0, 1824.0)",176.72577627499618,208.0,178.08841897600462,178.088
"(1308.0, 2115.0)","(1486.0, 2132.0)",178.18577771528228,0.0,0.0,178.186
"(937.0, 1004.0)","(976.0, 832.0)",167.0449041425688,224.0,181.50459033099025,181.505
"(1264.0, 1747.0)","(1100.0, 1834.0)",185.311388630057,0.0,0.0,185.311
"(636.0, 1382.0)","(480.0, 1280.0)",173.0664612222715,256.0,185.63514697623603,185.635
"(437.0, 2267.0)","(394.0, 2450.0)",187.7897420467901,0.0,0.0,187.79
"(1094.0, 1649.0)","(1088.0, 1824.0)",176.0,224.0,187.9874683635202,187.987
"(1189.0, 1668.0)","(1100.0, 1834.0)",188.195203429843,0.0,0.0,188.195
"(1250.0, 1947.0)","(1100.0, 1834.0)",188.5000912519673,0.0,0.0,188.5
"(808.0, 621.0)","(698.0, 468.0)",189.44119187230635,0.0,0.0,189.441
"(2702.0, 3775.0)","(2544.0, 3872.0)",182.42806801586207,272.0,192.42660223020292,192.427
"(638.0, 1400.0)","(480.0, 1280.0)",182.42806801586207,272.0,192.42660223020292,192.427
"(628.0, 1406.0)","(480.0, 1280.0)",182.42806801586207,272.0,192.42660223020292,192.427
"(793.0, 814.0)","(984.0, 844.0)",193.2180823344441,0.0,0.0,193.218
"(785.0, 837.0)","(984.0, 844.0)",198.93607612999713,0.0,0.0,198.936
"(627.0, 1422.0)","(480.0, 1280.0)",192.66551326067673,288.0,199.37676399072797,199.377
"(804.0, 739.0)","(984.0, 844.0)",207.9530183599171,0.0,0.0,207.953
"(1227.0, 1999.0)","(1100.0, 1834.0)",208.94942270798452,0.0,0.0,208.949
"(1093.0, 1618.0)","(1088.0, 1824.0)",208.0,256.0,210.8733888249396,210.873
"(770.0, 834.0)","(984.0, 844.0)",213.63088091378552,0.0,0.0,213.631
"(837.0, 632.0)","(698.0, 468.0)",215.33555219703038,0.0,0.0,215.336
"(858.0, 667.0)","(984.0, 844.0)",216.74171559715953,0.0,0.0,216.742
"(954.0, 1995.0)","(1100.0, 1834.0)",217.43942927859243,0.0,0.0,217.439
"(814.0, 651.0)","(698.0, 468.0)",217.6746784194248,0.0,0.0,217.675
"(2705.0, 3730.0)","(2544.0, 3872.0)",215.25798475317936,320.0,220.05755044578163,220.058
"(778.0, 759.0)","(984.0, 844.0)",222.36480049684127,0.0,0.0,222.365
"(670.0, 1406.0)","(480.0, 1280.0)",208.61447696648477,304.0,224.1635069567843,224.164
"(1210.0, 1637.0)","(1100.0, 1834.0)",225.75336369144082,0.0,0.0,225.753
"(1192.0, 1628.0)","(1100.0, 1834.0)",225.88309562470582,0.0,0.0,225.883
"(1168.0, 1640.0)","(1088.0, 1824.0)",208.0,288.0,226.02517115957704,226.025
"(1243.0, 2016.0)","(1100.0, 1834.0)",232.16287307405557,0.0,0.0,232.163
"(1253.0, 2115.0)","(1486.0, 2132.0)",232.59610842187357,0.0,0.0,232.596
"(1134.0, 1600.0)","(1088.0, 1824.0)",226.27416997969522,272.0,232.68255520939687,232.683
"(1880.0, 2295.0)","(2052.0, 2136.0)",234.35259625828792,0.0,0.0,234.353
"(862.0, 640.0)","(984.0, 844.0)",236.56742321165015,0.0,0.0,236.567
"(1284.0, 2001.0)","(1486.0, 2132.0)",240.21665411249063,0.0,0.0,240.217
"(2354.0, 3732.0)","(2552.0, 3875.0)",244.2396364229197,0.0,0.0,244.24
"(2721.0, 3724.0)","(2544.0, 3872.0)",237.8570999570961,352.0,245.35577172712868,245.356
"(1259.0, 2036.0)","(1486.0, 2132.0)",245.53811471948723,0.0,0.0,245.538
"(1268.0, 1653.0)","(1100.0, 1834.0)",247.18923854003043,0.0,0.0,247.189
"(1182.0, 2369.0)","(974.0, 2504.0)",248.47217504179406,0.0,0.0,248.472
"(1883.0, 2322.0)","(2052.0, 2136.0)",250.89259427292794,0.0,0.0,250.893
"(1234.0, 1621.0)","(1100.0, 1834.0)",251.47361039480862,0.0,0.0,251.474
"(1196.0, 1599.0)","(1100.0, 1834.0)",253.466709403819,0.0,0.0,253.467
"(1227.0, 770.0)","(984.0, 844.0)",254.83666287447727,0.0,0.0,254.837
"(1200.0, 2384.0)","(974.0, 2504.0)",256.09080420819487,0.0,0.0,256.091
"(1819.0, 2244.0)","(2052.0, 2136.0)",256.7465564988165,0.0,0.0,256.747
"(1222.0, 1601.0)","(1100.0, 1834.0)",262.27593169217783,0.0,0.0,262.276
"(1619.0, 1903.0)","(1486.0, 2132.0)",264.23021958322636,0.0,0.0,264.23
"(1230.0, 2212.0)","(1486.0, 2132.0)",267.8119041734328,0.0,0.0,267.812
"(922.0, 2035.0)","(1100.0, 1834.0)",268.4707769944431,0.0,0.0,268.471
"(1586.0, 2382.0)","(1486.0, 2132.0)",269.5919157263437,0.0,0.0,269.592
"(2745.0, 3711.0)","(2544.0, 3872.0)",260.4611295375953,384.0,270.6539930084757,270.654
"(1373.0, 1852.0)","(1100.0, 1834.0)",273.71375497771385,0.0,0.0,273.714
"(1254.0, 1603.0)","(1100.0, 1834.0)",277.051262711434,0.0,0.0,277.051
"(1840.0, 1952.0)","(2052.0, 2136.0)",280.02139807164735,0.0,0.0,280.021
"(1653.0, 1905.0)","(1486.0, 2132.0)",281.77807404054704,0.0,0.0,281.778
"(1224.0, 2237.0)","(1486.0, 2132.0)",282.474466987726,0.0,0.0,282.474
"(1817.0, 2303.0)","(2052.0, 2136.0)",287.96556090095237,0.0,0.0,287.966
"(1205.0, 2199.0)","(1486.0, 2132.0)",288.21083922191406,0.0,0.0,288.211
"(1079.0, 2229.0)","(974.0, 2504.0)",294.17344849595116,0.0,0.0,294.173
"(1208.0, 2323.0)","(974.0, 2504.0)",295.4958845060282,0.0,0.0,295.496
"(1645.0, 1882.0)","(1486.0, 2132.0)",295.78023010336585,0.0,0.0,295.78
"(1559.0, 1844.0)","(1486.0, 2132.0)",296.5836152537764,0.0,0.0,296.584
"(1776.0, 2253.0)","(2052.0, 2136.0)",299.7255566347319,0.0,0.0,299.726
"(1853.0, 2360.0)","(2052.0, 2136.0)",299.85597469618665,0.0,0.0,299.856
"(1256.0, 1577.0)","(1100.0, 1834.0)",299.97164204137704,0.0,0.0,299.972
"(1230.0, 2297.0)","(1486.0, 2132.0)",304.13730409964523,0.0,0.0,304.137
"(1181.0, 2281.0)","(974.0, 2504.0)",304.5242837279155,0.0,0.0,304.524
"(1146.0, 1103.0)","(984.0, 844.0)",305.80778891486733,0.0,0.0,305.808
"(1109.0, 1526.0)","(1088.0, 1824.0)",304.42076144704714,336.0,305.99963350590406,306.0
"(1182.0, 1078.0)","(984.0, 844.0)",306.89256284243845,0.0,0.0,306.893
"(1194.0, 2229.0)","(1486.0, 2132.0)",307.8265854048349,0.0,0.0,307.827
"(1200.0, 2293.0)","(974.0, 2504.0)",308.7828336225964,0.0,0.0,308.783
"(2327.0, 3662.0)","(2552.0, 3875.0)",309.12214414370254,0.0,0.0,309.122
"(906.0, 2075.0)","(1100.0, 1834.0)",309.2476649580398,0.0,0.0,309.248
"(1175.0, 1088.0)","(984.0, 844.0)",311.0908779279779,0.0,0.0,311.091
"(990.0, 2128.0)","(1100.0, 1834.0)",313.8278055494763,0.0,0.0,313.828
"(1228.0, 2313.0)","(1486.0, 2132.0)",315.1063883214682,0.0,0.0,315.106
"(1135.0, 2147.0)","(1100.0, 1834.0)",315.7228835307953,0.0,0.0,315.723
"(955.0, 2115.0)","(1100.0, 1834.0)",316.5278094022706,0.0,0.0,316.528
"(1060.0, 2198.0)","(974.0, 2504.0)",317.05595242480456,0.0,0.0,317.056
"(1824.0, 2358.0)","(2052.0, 2136.0)",318.5060148395944,0.0,0.0,318.506
"(859.0, 2043.0)","(1100.0, 1834.0)",319.1000436994642,0.0,0.0,319.1
"(1153.0, 1114.0)","(984.0, 844.0)",319.21857715364877,0.0,0.0,319.219
"(938.0, 2111.0)","(1100.0, 1834.0)",321.29265966249534,0.0,0.0,321.293
"(1110.0, 1505.0)","(1088.0, 1824.0)",320.3997503120126,352.0,321.9937887599697,321.994
"(1098.0, 1512.0)","(1088.0, 1824.0)",320.0,368.0,322.11059483855786,322.111
"(1121.0, 2217.0)","(974.0, 2504.0)",322.2903633821527,0.0,0.0,322.29
"(2299.0, 3673.0)","(2552.0, 3875.0)",323.74835906920055,0.0,0.0,323.748
"(1847.0, 2387.0)","(2052.0, 2136.0)",324.06287630026355,0.0,0.0,324.063
"(1784.0, 1952.0)","(2052.0, 2136.0)",324.55169611789125,0.0,0.0,324.552
"(1650.0, 1852.0)","(1486.0, 2132.0)",324.57655220918224,0.0,0.0,324.577
"(1869.0, 2404.0)","(2052.0, 2136.0)",324.76803964984003,0.0,0.0,324.768
"(1218.0, 1068.0)","(984.0, 844.0)",324.8597050805162,0.0,0.0,324.86
