og_coord,astar_coord,goldstar_dist,astar_dist,smoothed_dist,dist
"(2513.0, 3392.0)","(0.0, 0.0)",0.0,0.0,0.0,0.0
"(504.0, 1343.0)","(488.0, 1280.0)",65.0,0.0,0.0,65.0
"(1547.0, 2082.0)","(1486.0, 2132.0)",78.87331614684399,0.0,0.0,78.873
"(749.0, 530.0)","(698.0, 468.0)",80.2807573457052,0.0,0.0,80.281
"(957.0, 762.0)","(984.0, 844.0)",86.33075929238663,0.0,0.0,86.331
"(762.0, 408.0)","(698.0, 468.0)",87.72684879784524,0.0,0.0,87.727
"(1157.0, 1901.0)","(1100.0, 1834.0)",87.96590248499699,0.0,0.0,87.966
"(1069.0, 799.0)","(984.0, 844.0)",96.17692030835673,0.0,0.0,96.177
"(1056.0, 2452.0)","(974.0, 2504.0)",97.09788875150684,0.0,0.0,97.098
"(755.0, 547.0)","(698.0, 468.0)",97.41663102366043,0.0,0.0,97.417
"(1585.0, 2147.0)","(1486.0, 2132.0)",100.12991560967181,0.0,0.0,100.13
"(322.0, 2379.0)","(394.0, 2450.0)",101.11874208078342,0.0,0.0,101.119
"(1469.0, 2232.0)","(1486.0, 2132.0)",101.43470806385751,0.0,0.0,101.435
"(2618.0, 3792.0)","(2544.0, 3872.0)",102.44998779892558,160.0,103.6593386339052,103.659
"(590.0, 478.0)","(698.0, 468.0)",108.46197490364999,0.0,0.0,108.462
"(1188.0, 1898.0)","(1100.0, 1834.0)",108.81176406988355,0.0,0.0,108.812
"(1042.0, 1930.0)","(1100.0, 1834.0)",112.16059914247963,0.0,0.0,112.161
"(1213.0, 1844.0)","(1100.0, 1834.0)",113.44161493913951,0.0,0.0,113.442
"(1088.0, 794.0)","(984.0, 844.0)",115.39497389401325,0.0,0.0,115.395
"(1125.0, 1720.0)","(1100.0, 1834.0)",116.70903992407786,0.0,0.0,116.709
"(1075.0, 769.0)","(984.0, 844.0)",117.92370414806346,0.0,0.0,117.924
"(915.0, 748.0)","(984.0, 844.0)",118.22436297142819,0.0,0.0,118.224
"(2243.0, 2155.0)","(2214.0, 2038.0)",120.5404496424333,0.0,0.0,120.54
"(1417.0, 2240.0)","(1486.0, 2132.0)",128.16005617976296,0.0,0.0,128.16
"(766.0, 578.0)","(698.0, 468.0)",129.3213052826177,0.0,0.0,129.321
"(1453.0, 2263.0)","(1486.0, 2132.0)",135.09256086106296,0.0,0.0,135.093
"(2589.0, 3744.0)","(2544.0, 3872.0)",131.93938001976514,176.0,136.84871744830622,136.849
"(1402.0, 2022.0)","(1486.0, 2132.0)",138.40520221436765,0.0,0.0,138.405
"(1368.0, 2205.0)","(1486.0, 2132.0)",138.75518008348374,0.0,0.0,138.755
"(1975.0, 2020.0)","(2052.0, 2136.0)",139.2300254973761,0.0,0.0,139.23
"(1052.0, 1966.0)","(1100.0, 1834.0)",140.4563989286355,0.0,0.0,140.456
"(2283.0, 2165.0)","(2214.0, 2038.0)",144.53373308677806,0.0,0.0,144.534
"(2565.0, 3733.0)","(2544.0, 3872.0)",144.88616221019868,176.0,146.1383001550495,146.138
"(559.0, 514.0)","(698.0, 468.0)",146.4137971640651,0.0,0.0,146.414
"(602.0, 582.0)","(698.0, 468.0)",149.03690818049066,0.0,0.0,149.037
"(1571.0, 2007.0)","(1486.0, 2132.0)",151.16216457830973,0.0,0.0,151.162
"(810.0, 571.0)","(698.0, 468.0)",152.16109883935513,0.0,0.0,152.161
"(575.0, 558.0)","(698.0, 468.0)",152.41062955056645,0.0,0.0,152.411
"(420.0, 2298.0)","(394.0, 2450.0)",154.20765220960988,0.0,0.0,154.208
"(1110.0, 2578.0)","(974.0, 2504.0)",154.82893786369524,0.0,0.0,154.829
"(2074.0, 2298.0)","(2052.0, 2136.0)",163.48700254148645,0.0,0.0,163.487
"(1195.0, 1972.0)","(1100.0, 1834.0)",167.53805537847214,0.0,0.0,167.538
"(2184.0, 2241.0)","(2052.0, 2136.0)",168.66831356244717,0.0,0.0,168.668
"(539.0, 528.0)","(698.0, 468.0)",169.94410845922255,0.0,0.0,169.944
"(1155.0, 840.0)","(984.0, 844.0)",171.04677722775136,0.0,0.0,171.047
"(956.0, 1929.0)","(1100.0, 1834.0)",172.51376756653366,0.0,0.0,172.514
"(1314.0, 2165.0)","(1486.0, 2132.0)",175.13708916160505,0.0,0.0,175.137
"(327.0, 2287.0)","(394.0, 2450.0)",176.23280057923384,0.0,0.0,176.233
"(621.0, 627.0)","(698.0, 468.0)",176.6635219845908,0.0,0.0,176.664
"(1099.0, 2378.0)","(974.0, 2504.0)",177.48521065147935,0.0,0.0,177.485
"(2075.0, 2314.0)","(2052.0, 2136.0)",179.47980387776224,0.0,0.0,179.48
"(1905.0, 2024.0)","(2052.0, 2136.0)",184.8053029542172,0.0,0.0,184.805
"(478.0, 1095.0)","(488.0, 1280.0)",185.27007313648906,0.0,0.0,185.27
"(1172.0, 2005.0)","(1100.0, 1834.0)",185.53975315279473,0.0,0.0,185.54
"(1116.0, 1648.0)","(1100.0, 1834.0)",186.68690366493306,0.0,0.0,186.687
"(837.0, 726.0)","(984.0, 844.0)",188.50198937942272,0.0,0.0,188.502
"(1065.0, 2020.0)","(1100.0, 1834.0)",189.2643653728826,0.0,0.0,189.264
"(1587.0, 2294.0)","(1486.0, 2132.0)",190.90573590125572,0.0,0.0,190.906
"(1312.0, 2052.0)","(1486.0, 2132.0)",191.5097908724251,0.0,0.0,191.51
"(2036.0, 2327.0)","(2052.0, 2136.0)",191.66898549321954,0.0,0.0,191.669
"(787.0, 639.0)","(698.0, 468.0)",192.77447963877376,0.0,0.0,192.774
"(1981.0, 1954.0)","(2052.0, 2136.0)",195.35864454894235,0.0,0.0,195.359
"(1122.0, 705.0)","(984.0, 844.0)",195.86985475054604,0.0,0.0,195.87
"(1009.0, 1039.0)","(984.0, 844.0)",196.596032513375,0.0,0.0,196.596
"(1623.0, 1991.0)","(1486.0, 2132.0)",196.596032513375,0.0,0.0,196.596
"(1296.0, 2080.0)","(1486.0, 2132.0)",196.98730923589977,0.0,0.0,196.987
"(1893.0, 2258.0)","(2052.0, 2136.0)",200.4120754844877,0.0,0.0,200.412
"(1060.0, 2032.0)","(1100.0, 1834.0)",202.0,0.0,0.0,202.0
"(556.0, 614.0)","(698.0, 468.0)",203.66639388961548,0.0,0.0,203.666
"(551.0, 609.0)","(698.0, 468.0)",203.69094236121546,0.0,0.0,203.691
"(2197.0, 2283.0)","(2052.0, 2136.0)",206.48002324680226,0.0,0.0,206.48
"(1080.0, 2040.0)","(1100.0, 1834.0)",206.9685966517626,0.0,0.0,206.969
"(2698.0, 3734.0)","(2544.0, 3872.0)",203.64675298172568,304.0,209.57868408713205,209.579
"(1112.0, 677.0)","(984.0, 844.0)",210.41150158677164,0.0,0.0,210.412
"(1135.0, 2043.0)","(1100.0, 1834.0)",211.91035840656775,0.0,0.0,211.91
"(1472.0, 1920.0)","(1486.0, 2132.0)",212.46176126540982,0.0,0.0,212.462
"(1634.0, 1978.0)","(1486.0, 2132.0)",213.5883891975404,0.0,0.0,213.588
"(587.0, 1090.0)","(488.0, 1280.0)",214.24518664371436,0.0,0.0,214.245
"(1701.0, 2133.0)","(1486.0, 2132.0)",215.00232556881798,0.0,0.0,215.002
"(1503.0, 2349.0)","(1486.0, 2132.0)",217.66488003350472,0.0,0.0,217.665
"(1494.0, 2355.0)","(1486.0, 2132.0)",223.14345161801185,0.0,0.0,223.143
"(1832.0, 2175.0)","(2052.0, 2136.0)",223.43007854807732,0.0,0.0,223.43
"(1871.0, 2268.0)","(2052.0, 2136.0)",224.0200883849482,0.0,0.0,224.02
"(2079.0, 2363.0)","(2052.0, 2136.0)",228.60008748904713,0.0,0.0,228.6
"(1307.0, 1732.0)","(1100.0, 1834.0)",230.76611536358627,0.0,0.0,230.766
"(1919.0, 2325.0)","(2052.0, 2136.0)",231.10603626906848,0.0,0.0,231.106
"(1932.0, 2338.0)","(2052.0, 2136.0)",234.95531490051465,0.0,0.0,234.955
"(1721.0, 2127.0)","(1486.0, 2132.0)",235.05318547086316,0.0,0.0,235.053
"(2023.0, 1898.0)","(2214.0, 2038.0)",236.81427321848656,0.0,0.0,236.814
"(1652.0, 2301.0)","(1486.0, 2132.0)",236.8902699563661,0.0,0.0,236.89
