a*Y,a*X
"[51, 51]","[87, 88]"
"[47, 48, 49, 50, 51]","[87, 87, 87, 87, 87]"
"[51, 51, 51]","[85, 86, 87]"
"[39, 40, 40, 41, 41, 42, 42, 43]","[84, 84, 85, 85, 86, 86, 87, 87]"
"[43, 44, 45, 46, 47]","[81, 81, 81, 81, 81]"
"[43, 44, 45, 46, 47, 48, 49]","[81, 81, 81, 81, 81, 81, 81]"
"[49, 50, 50, 51, 51, 52, 53, 54]","[73, 73, 74, 74, 75, 75, 75, 75]"
"[49, 50, 51, 52, 53, 54, 55, 56]","[73, 73, 73, 73, 73, 73, 73, 73]"
"[49, 50, 51, 52, 53, 54]","[73, 73, 73, 73, 73, 73]"
"[49, 49, 49]","[71, 72, 73]"
"[44, 45, 45, 46, 46, 47, 47, 48, 48, 49]","[69, 69, 70, 70, 71, 71, 72, 72, 73, 73]"
"[48, 48, 48, 48, 48, 48, 48, 49]","[67, 68, 69, 70, 71, 72, 73, 73]"
"[51, 51, 51, 50, 51, 49, 50, 49]","[68, 69, 70, 71, 71, 72, 72, 73]"
"[51, 52, 53, 54, 55, 56, 57, 50, 51, 49, 50, 49]","[70, 70, 70, 70, 70, 70, 70, 71, 71, 72, 72, 73]"
"[54, 55, 53, 54, 52, 53, 51, 52, 50, 51, 49, 50, 49]","[67, 67, 68, 68, 69, 69, 70, 70, 71, 71, 72, 72, 73]"
"[57, 56, 57, 55, 56, 54, 55, 53, 54, 52, 53, 51, 52, 50, 51, 49, 50, 49]","[64, 65, 65, 66, 66, 67, 67, 68, 68, 69, 69, 70, 70, 71, 71, 72, 72, 73]"
"[55, 55, 55, 56, 56, 56, 55, 56, 54, 55, 53, 54, 52, 53, 51, 52, 50, 51, 49, 50, 49]","[61, 62, 63, 63, 64, 65, 66, 66, 67, 67, 68, 68, 69, 69, 70, 70, 71, 71, 72, 72, 73]"
