og_coord,astar_coord,dist
"(0.457, 0.789)","(0.457, 0.78)",0.027
"(0.457, 0.762)","(0.457, 0.78)",0.036
"(0.439, 0.636)","(0.439, 0.654)",0.036
"(0.421, 0.78)","(0.457, 0.78)",0.054
"(0.421, 0.726)","(0.385, 0.726)",0.054
"(0.484, 0.654)","(0.439, 0.654)",0.063
"(0.439, 0.726)","(0.385, 0.726)",0.072
"(0.484, 0.672)","(0.439, 0.654)",0.081
"(0.502, 0.654)","(0.439, 0.654)",0.081
"(0.35, 0.753)","(0.385, 0.78)",0.081
"(0.43, 0.601)","(0.439, 0.654)",0.081
"(0.457, 0.61)","(0.439, 0.654)",0.081
"(0.394, 0.618)","(0.439, 0.654)",0.099
"(0.511, 0.627)","(0.439, 0.654)",0.117
"(0.493, 0.601)","(0.439, 0.654)",0.125
"(0.511, 0.574)","(0.439, 0.654)",0.17
"(0.493, 0.547)","(0.439, 0.654)",0.197
