X,Y,cluster_id
5059,5026,48
2056,2078,56
6648,6461,0
6479,7305,38
5638,6376,44
1444,1908,40
6930,7745,9
2612,2481,11
7479,7214,63
3768,3372,19
5007,4128,28
1368,1927,40
4450,4495,4
3140,3877,60
6959,6937,10
4663,4948,64
1880,2182,33
1390,2309,51
5128,3962,13
7180,7496,59
6743,7619,62
1458,2026,31
4880,4277,5
6325,6381,55
4944,4216,5
6885,7095,52
1910,2588,58
4947,5258,37
3789,3451,19
2171,2699,47
1789,2440,2
5228,4629,23
5232,5576,65
5853,6434,66
4173,3822,29
2663,2549,11
4065,4220,35
2560,2315,39
3970,3984,49
4620,4812,34
6485,6998,32
2829,2499,53
6660,6127,16
1117,2031,12
2051,2311,50
1173,1433,15
5824,6567,36
4910,5744,27
1978,2738,17
5732,5934,3
1696,2446,2
6956,6355,18
6863,7797,9
5701,5934,3
3456,3600,61
6944,6891,10
1153,1559,54
6729,6414,0
4140,3974,7
1121,1978,12
6871,7553,30
4249,4469,43
5793,5286,46
5613,5407,1
2959,3439,26
1431,2535,42
2807,3292,25
1812,2336,14
2325,3253,24
5164,3979,13
846,2085,8
1071,1712,45
5878,6718,6
4515,4556,4
3117,3724,57
4873,5536,21
4973,4142,28
5964,5968,41
5630,5499,1
5599,5097,22
1358,1731,20
5887,6764,6
