X,Y,cluster_id
3017,2700.0,0.0
3075,2595.0,0.0
1607,362.0,1.0
1554,351.0,1.0
1536,263.0,1.0
3731,2439.0,2.0
3708,2556.0,2.0
856,1527.0,3.0
934,1538.0,3.0
858,1461.0,3.0
936,1515.0,3.0
1484,2141.0,4.0
1369,2153.0,4.0
1805,987.0,5.0
1717,1060.0,5.0
1722,1010.0,5.0
2463,490.0,6.0
2459,459.0,6.0
2384,464.0,6.0
2374,478.0,6.0
1334,2382.0,7.0
1362,2270.0,7.0
2806,498.0,8.0
2874,401.0,8.0
927,831.0,9.0
1010,904.0,9.0
1686,793.0,10.0
1725,698.0,10.0
1647,751.0,10.0
1186,1716.0,11.0
1240,1798.0,11.0
1193,1745.0,11.0
2437,3132.0,12.0
2337,3172.0,12.0
2357,3137.0,12.0
306,2801.0,13.0
346,2909.0,13.0
3587,938.0,14.0
3631,834.0,14.0
3608,856.0,14.0
3613,900.0,14.0
657,1663.0,15.0
668,1701.0,15.0
642,1583.0,15.0
616,1633.0,15.0
1577,969.0,16.0
1676,932.0,16.0
1062,1597.0,17.0
1125,1518.0,17.0
2448,782.0,18.0
2351,841.0,18.0
2404,762.0,18.0
3083,1955.0,19.0
2980,1972.0,19.0
2079,3574.0,20.0
2038,3481.0,20.0
1539,3394.0,21.0
1531,3485.0,21.0
3572,2835.0,22.0
3657,2772.0,22.0
3213,2461.0,23.0
3155,2455.0,23.0
3222,2484.0,23.0
2232,1869.0,24.0
2305,1817.0,24.0
2318,1909.0,24.0
1582,603.0,25.0
1569,706.0,25.0
2451,2163.0,26.0
2545,2159.0,26.0
3142,2681.0,27.0
3226,2748.0,27.0
1692,1728.0,28.0
1793,1767.0,28.0
543,3200.0,29.0
487,3263.0,29.0
565,3232.0,29.0
1959,1621.0,30.0
1926,1541.0,30.0
1903,1551.0,30.0
2706,3369.0,31.0
2611,3427.0,31.0
1017,2200.0,32.0
1001,2294.0,32.0
875,1845.0,33.0
889,1747.0,33.0
500,2963.0,34.0
497,2877.0,34.0
443,2950.0,34.0
2216,2254.0,35.0
2291,2200.0,35.0
2029,2749.0,36.0
2097,2748.0,36.0
3470,2504.0,37.0
3372,2522.0,37.0
386,2000.0,38.0
305,1916.0,38.0
984,1153.0,39.0
987,1211.0,39.0
3062,1518.0,40.0
3059,1447.0,40.0
3070,1437.0,40.0
1115,2225.0,41.0
1214,2227.0,41.0
180,1471.0,42.0
197,1398.0,42.0
2521,911.0,43.0
