cluster_id,cluster_size,cluster_area
0,2,6642.0
1,3,10189.0
2,4,19240.0
3,5,30266.0
4,5,29540.0
5,7,47473.0
6,7,45253.0
7,3,9402.0
8,103,3234270.0
9,4,19335.0
10,3,12710.0
11,3,12108.0
12,5,23926.0
13,6,35674.0
14,3,13077.0
15,3,11832.0
16,2,6471.0
17,2,6397.0
18,3,9909.0
19,5,25216.0
20,4,16016.0
21,8,54435.0
22,6,31344.0
23,3,11194.0
24,2,6520.0
25,5,24971.0
26,2,6519.0
27,2,5892.0
28,11,89194.0
29,9,58895.0
30,2,6503.0
31,33,354012.0
32,5,24788.0
33,4,18163.0
34,2,6274.0
35,6,36476.0
36,2,6264.0
37,4,20122.0
38,3,9990.0
39,2,6255.0
40,5,23799.0
41,3,10660.0
42,2,5790.0
43,2,6275.0
44,4,17227.0
45,8,63169.0
46,3,8901.0
47,3,10410.0
48,2,6533.0
49,3,11333.0
50,5,22926.0
51,2,4424.0
52,2,4424.0
53,4,17576.0
54,3,9305.0
55,4,13601.0
56,2,5112.0
57,2,4877.0
58,1,2212.0
59,19,145694.5
60,4,20426.0
61,5,21499.0
62,2,5487.0
63,3,10601.0
64,45,668662.0
65,2,4500.0
66,4,18471.0
67,3,10740.0
68,5,27053.0
69,4,16894.0
70,1,2212.0
71,2,6325.0
72,7,43550.0
73,2,5652.0
74,6,25883.0
75,2,6153.0
76,2,5268.0
77,1,2212.0
78,8,43376.0
79,3,7492.0
80,2,5446.0
81,2,5169.0
82,1,2212.0
83,2,5162.0
84,3,10006.0
85,1,2212.0
86,2,4898.0
87,2,4968.0
88,3,10704.0
89,3,8137.0
90,6,24669.0
91,2,5503.0
92,2,4894.0
93,2,4424.0
94,5,22041.0
95,2,5028.0
96,4,14320.0
97,2,5212.0
98,9,60288.0
99,1,2212.0
100,2,5109.0
101,2,4694.0
102,2,4781.0
103,1,2212.0
104,1,2212.0
105,1,2212.0
106,1,2212.0
107,1,2212.0
108,5,16333.0
109,1,2212.0
110,2,4478.0
111,1,2212.0
112,2,4810.0
113,1,2212.0
114,1,2212.0
115,3,7092.0
116,1,2212.0
117,1,2212.0
118,1,2212.0
119,1,2212.0
120,1,2212.0
121,4,16069.5
122,3,7492.0
123,1,2212.0
124,1,2212.0
125,1,2212.0
126,3,8153.0
127,1,2212.0
128,2,5084.0
129,2,5503.0
130,2,5112.0
131,1,2212.0
132,1,2212.0
133,1,2212.0
134,1,2212.0
135,1,2212.0
136,2,5776.0
137,2,5536.0
138,3,8723.0
139,2,5668.0
140,2,4543.0
141,1,2212.0
142,1,2212.0
143,1,2212.0
144,1,2212.0
145,1,2212.0
146,1,2212.0
147,1,2212.0
148,1,2212.0
149,1,2212.0
150,3,10586.0
151,1,2212.0
152,3,10434.0
153,1,2212.0
154,1,2212.0
155,1,2212.0
156,1,2212.0
157,1,2212.0
158,4,15928.0
159,1,2212.0
160,1,2212.0
161,1,2212.0
162,4,15097.0
163,1,2212.0
164,2,4894.0
165,1,2212.0
166,1,2212.0
167,1,2212.0
168,2,4694.0
169,1,2212.0
170,2,5042.0
171,1,2212.0
172,1,2212.0
173,1,2212.0
174,1,2212.0
175,2,4424.0
176,1,2212.0
177,1,2212.0
178,1,2212.0
179,1,2212.0
180,1,2212.0
181,1,2212.0
182,5,20311.0
183,1,2212.0
184,2,5176.0
185,1,2212.0
186,1,2212.0
187,1,2212.0
188,1,2212.0
189,1,2212.0
190,2,4923.0
191,1,2212.0
192,1,2212.0
193,3,7856.0
194,1,2212.0
195,1,2212.0
196,2,4734.0
197,1,2212.0
198,2,6417.0
