cluster_id,cluster_size,cluster_area
0,19,0.3679
1,2,0.0084
2,2,0.0084
3,5,0.0385
4,16,0.2116
5,25,0.6627
6,8,0.0858
7,22,0.4228
8,19,0.3068
9,6,0.0479
10,13,0.121
11,2,0.0084
12,3,0.0133
13,15,0.2073
14,3,0.0157
15,5,0.0332
16,6,0.0396
17,5,0.0347
18,3,0.0155
19,5,0.0305
20,3,0.0152
21,8,0.0696
22,7,0.0618
23,15,0.2595
24,2,0.0082
25,15,0.2749
26,3,0.0139
27,11,0.1366
28,15,0.2404
29,14,0.2276
30,6,0.0511
31,2,0.0078
32,4,0.0212
33,8,0.06
34,3,0.0146
35,3,0.0124
36,13,0.2041
37,4,0.0213
38,8,0.0561
39,4,0.024
40,3,0.0125
41,2,0.0081
42,2,0.0078
43,3,0.0141
44,2,0.0074
45,6,0.042
46,5,0.0269
47,4,0.0259
48,15,0.2238
49,10,0.1087
50,3,0.0138
51,1,0.0028
52,17,0.2816
53,4,0.0186
54,10,0.0989
55,4,0.023
56,6,0.0433
57,2,0.0077
58,24,0.5228
59,6,0.0392
60,10,0.0914
61,22,0.3324
62,2,0.0078
63,2,0.0072
64,1,0.0028
65,4,0.0193
66,2,0.0065
67,5,0.0344
68,2,0.008
69,2,0.0075
70,1,0.0028
71,2,0.0071
72,3,0.0135
73,2,0.0073
74,1,0.0028
75,1,0.0028
76,12,0.1205
77,2,0.0071
78,1,0.0028
79,5,0.0336
80,3,0.0122
81,1,0.0028
82,2,0.0068
83,13,0.1684
84,3,0.0135
85,1,0.0028
86,2,0.0071
87,2,0.0066
88,6,0.0321
89,1,0.0028
90,1,0.0028
91,1,0.0028
92,2,0.0069
93,1,0.0028
94,1,0.0028
95,1,0.0028
96,6,0.0393
97,1,0.0028
98,2,0.0067
99,1,0.0028
100,4,0.0201
101,4,0.0176
102,4,0.019
103,1,0.0028
104,1,0.0028
105,1,0.0028
106,1,0.0028
107,1,0.0028
108,3,0.0119
109,1,0.0028
110,5,0.0294
111,4,0.0213
112,3,0.0144
113,1,0.0028
114,1,0.0028
115,3,0.012
116,1,0.0028
117,1,0.0028
118,17,0.2993
119,1,0.0028
120,28,0.7043
121,2,0.0071
122,1,0.0028
123,1,0.0028
124,2,0.0069
125,3,0.0133
