X,Y,cluster_id
11.286,5.704,0
11.318,5.739,0
11.303,5.798,0
10.529,6.389,1
10.47,6.376,1
10.468,6.361,1
10.286,3.121,2
10.229,3.144,2
10.216,3.156,2
2.656,2.155,3
2.656,2.148,3
2.714,2.145,3
2.748,2.163,3
1.228,1.478,4
1.153,1.513,4
1.207,1.487,4
3.495,1.084,5
3.541,1.046,5
10.084,4.81,6
10.144,4.803,6
9.675,4.332,7
9.701,4.382,7
11.099,5.885,8
11.155,5.895,8
8.274,4.1,9
8.33,4.096,9
10.057,2.147,10
10.07,2.206,10
10.135,4.007,11
10.079,3.987,11
10.979,6.433,12
10.93,6.402,12
3.404,1.02,13
3.452,0.97,13
3.431,0.967,13
2.882,1.958,14
2.942,1.961,14
3.37,2.481,15
3.418,2.511,15
10.249,5.741,16
10.253,5.789,16
11.366,6.557,17
11.331,6.597,17
11.303,6.582,17
3.533,1.713,18
3.489,1.748,18
8.666,4.658,19
8.681,4.706,19
9.488,5.654,20
9.481,5.604,20
9.439,5.649,20
9.426,5.623,20
8.047,3.934,21
8.079,3.956,21
8.101,3.907,21
6.926,4.307,22
6.971,4.342,22
0.835,1.251,23
0.79,1.213,23
1.973,0.838,24
1.996,0.889,24
9.862,5.4,25
9.918,5.397,25
10.075,6.166,26
10.057,6.217,26
8.434,4.486,27
8.463,4.537,27
7.759,4.66,28
7.789,4.615,28
8.964,3.684,29
8.99,3.769,29
8.989,3.71,29
10.228,3.78,30
10.202,3.727,30
7.679,4.083,31
7.704,4.034,31
7.911,4.057,32
7.888,4.021,32
1.502,1.391,33
1.522,1.394,33
1.459,1.377,33
7.951,4.552,34
7.915,4.534,34
7.979,4.558,34
11.211,6.2,35
11.209,6.156,35
2.735,1.282,36
2.696,1.273,36
7.484,4.229,37
7.486,4.192,37
9.038,5.156,38
8.985,5.164,38
3.101,1.488,39
3.087,1.534,39
10.292,3.517,40
10.263,3.479,40
3.735,0.449,41
3.685,0.448,41
8.674,4.534,42
8.63,4.555,42
11.526,5.697,43
