cluster_id,cluster_size,cluster_area
0,4,0.0146
1,2,0.0052
2,2,0.0052
3,4,0.017
4,2,0.0052
5,2,0.0052
6,2,0.0052
7,2,0.0052
8,2,0.0052
9,4,0.0168
10,2,0.0052
11,4,0.0132
12,4,0.0143
13,2,0.0052
14,2,0.0052
15,4,0.0172
16,2,0.0052
17,2,0.0052
18,2,0.0052
19,2,0.005
20,3,0.0099
21,3,0.0098
22,2,0.0051
23,2,0.0052
24,5,0.0223
25,3,0.0096
26,2,0.0051
27,2,0.0052
28,2,0.0052
29,3,0.0098
30,2,0.0052
31,2,0.0052
32,2,0.0051
33,2,0.0049
34,3,0.0091
35,2,0.0052
36,2,0.0051
37,3,0.0103
38,2,0.0051
39,1,0.0017
40,2,0.0048
41,2,0.005
42,2,0.0048
43,2,0.0048
44,2,0.0049
45,2,0.0037
46,2,0.005
47,2,0.0047
48,3,0.0096
49,2,0.0051
50,3,0.0083
51,2,0.0047
52,3,0.0099
53,2,0.005
54,2,0.005
55,2,0.0049
56,3,0.0082
57,2,0.0052
58,4,0.0165
59,3,0.0102
60,2,0.0051
61,2,0.0052
62,4,0.0135
63,2,0.0051
64,2,0.004
65,2,0.0051
66,2,0.0046
67,1,0.0017
68,1,0.0017
69,2,0.0037
70,2,0.0043
71,2,0.0052
72,2,0.0052
73,1,0.0017
74,2,0.005
75,2,0.0047
76,1,0.0017
77,2,0.005
78,1,0.0017
79,1,0.0017
80,1,0.0017
81,1,0.0017
82,1,0.0017
83,1,0.0017
84,3,0.0094
85,2,0.0043
86,2,0.0043
87,3,0.0078
88,1,0.0017
89,2,0.0044
90,1,0.0017
91,1,0.0017
92,1,0.0017
93,3,0.0091
94,2,0.0044
95,2,0.0042
96,2,0.0045
97,2,0.005
98,1,0.0017
99,2,0.0047
100,2,0.0046
101,2,0.0047
102,2,0.0041
103,2,0.0045
104,3,0.0083
105,2,0.0043
106,2,0.0049
107,2,0.005
108,2,0.005
109,2,0.0042
110,1,0.0017
111,1,0.0017
112,2,0.0047
113,1,0.0017
114,1,0.0017
115,2,0.0051
116,2,0.0052
117,2,0.0049
118,2,0.0048
119,5,0.0234
120,2,0.0051
121,1,0.0017
122,2,0.0048
123,2,0.0039
124,2,0.005
125,3,0.0099
126,1,0.0017
127,1,0.0017
128,2,0.0039
129,1,0.0017
130,1,0.0017
131,2,0.0049
132,1,0.0017
133,1,0.0017
134,1,0.0017
135,1,0.0017
136,1,0.0017
137,1,0.0017
138,1,0.0017
139,1,0.0017
140,1,0.0017
141,1,0.0017
142,1,0.0017
143,1,0.0017
144,1,0.0017
145,2,0.0047
146,1,0.0017
147,1,0.0017
148,1,0.0017
149,1,0.0017
150,1,0.0017
151,1,0.0017
152,1,0.0017
153,1,0.0017
154,1,0.0017
155,2,0.0042
156,1,0.0017
157,1,0.0017
158,1,0.0017
159,1,0.0017
160,1,0.0017
161,1,0.0017
162,1,0.0017
163,1,0.0017
164,1,0.0017
165,1,0.0017
166,1,0.0017
167,1,0.0017
168,1,0.0017
169,1,0.0017
170,1,0.0017
171,1,0.0017
172,2,0.0037
173,1,0.0017
174,1,0.0017
175,1,0.0017
176,1,0.0017
177,1,0.0017
178,1,0.0017
179,1,0.0017
180,1,0.0017
181,1,0.0017
182,1,0.0017
183,1,0.0017
184,1,0.0017
185,1,0.0017
186,1,0.0017
187,1,0.0017
188,1,0.0017
189,1,0.0017
190,1,0.0017
191,1,0.0017
192,1,0.0017
193,1,0.0017
194,1,0.0017
195,2,0.0035
196,2,0.005
197,1,0.0017
198,1,0.0017
199,1,0.0017
200,1,0.0017
201,1,0.0017
202,2,0.0044
203,1,0.0017
204,1,0.0017
205,1,0.0017
206,1,0.0017
207,1,0.0017
208,2,0.0045
209,1,0.0017
210,1,0.0017
211,1,0.0017
212,2,0.0041
213,1,0.0017
214,2,0.0037
215,2,0.0043
216,2,0.0046
217,2,0.0048
218,2,0.0048
219,1,0.0017
220,1,0.0017
221,1,0.0017
222,1,0.0017
223,1,0.0017
224,1,0.0017
225,1,0.0017
226,1,0.0017
227,1,0.0017
228,1,0.0017
229,1,0.0017
230,1,0.0017
231,1,0.0017
232,3,0.0077
233,1,0.0017
234,2,0.0047
235,1,0.0017
236,1,0.0017
237,2,0.0047
238,1,0.0017
239,2,0.0038
240,2,0.0051
241,1,0.0017
242,1,0.0017
243,1,0.0017
244,1,0.0017
245,1,0.0017
246,3,0.0082
247,1,0.0017
248,1,0.0017
249,1,0.0017
250,2,0.0046
251,2,0.0041
252,1,0.0017
253,1,0.0017
254,1,0.0017
255,1,0.0017
256,1,0.0017
257,1,0.0017
258,1,0.0017
259,1,0.0017
260,1,0.0017
261,1,0.0017
262,1,0.0017
263,1,0.0017
264,1,0.0017
265,1,0.0017
266,1,0.0017
267,1,0.0017
268,1,0.0017
269,1,0.0017
270,1,0.0017
271,1,0.0017
272,1,0.0017
273,1,0.0017
274,1,0.0017
275,1,0.0017
276,1,0.0017
277,1,0.0017
278,1,0.0017
279,1,0.0017
280,1,0.0017
281,1,0.0017
282,1,0.0017
283,1,0.0017
284,1,0.0017
285,1,0.0017
286,1,0.0017
287,1,0.0017
288,1,0.0017
289,1,0.0017
290,1,0.0017
291,1,0.0017
292,1,0.0017
293,1,0.0017
294,1,0.0017
295,1,0.0017
296,1,0.0017
297,1,0.0017
