X,Y,cluster_id
2.56,1.534,0
2.308,1.501,0
2.482,1.513,0
2.454,1.512,0
2.496,1.547,0
2.501,1.537,0
2.588,1.538,0
2.472,1.529,0
2.408,1.5,0
2.508,1.56,0
2.521,1.574,0
2.386,1.582,0
2.459,1.535,0
2.356,1.447,0
2.369,1.565,0
2.47,1.55,0
2.343,1.45,0
2.598,1.55,0
2.541,1.563,0
2.289,1.49,0
2.341,1.534,0
2.303,1.427,0
2.372,1.596,0
2.335,1.434,0
2.34,1.488,0
2.311,1.522,0
2.471,1.51,0
2.461,1.525,0
2.554,1.545,0
2.287,1.469,0
2.525,1.534,0
2.304,1.513,0
2.287,1.503,0
2.523,1.56,0
2.394,1.468,0
2.537,1.548,0
2.405,1.48,0
2.357,1.48,0
2.38,1.491,0
2.548,1.552,0
2.35,1.431,0
2.34,1.466,0
2.531,1.51,0
2.513,1.548,0
8.212,2.769,1
8.259,2.718,1
8.244,2.723,1
8.186,2.77,1
8.225,2.744,1
8.305,2.759,1
8.283,2.677,1
8.205,2.785,1
8.281,2.758,1
8.178,2.82,1
8.21,2.749,1
8.174,2.834,1
8.257,2.763,1
8.176,2.758,1
8.217,2.817,1
8.291,2.745,1
8.159,2.731,1
8.166,2.787,1
8.21,2.837,1
2.993,0.363,2
3.033,0.386,2
7.409,2.2,3
7.433,2.272,3
7.42,2.289,3
7.449,2.133,3
7.416,2.229,3
7.437,2.188,3
7.449,2.146,3
7.418,2.119,3
7.417,2.186,3
7.388,2.17,3
7.404,2.19,3
7.459,2.155,3
7.349,2.172,3
7.467,2.161,3
7.458,2.178,3
7.424,2.177,3
6.196,3.649,4
6.176,3.606,4
2.369,1.1,5
2.509,1.205,5
2.4,1.071,5
2.3,1.077,5
2.271,1.062,5
2.461,1.265,5
2.343,1.12,5
2.24,1.097,5
2.302,1.102,5
2.361,1.13,5
2.46,1.226,5
2.486,1.225,5
2.446,1.149,5
2.441,1.197,5
2.457,1.291,5
2.437,1.117,5
2.421,1.082,5
2.471,1.313,5
2.447,1.262,5
2.386,1.138,5
2.457,1.177,5
2.341,1.107,5
2.454,1.193,5
2.41,1.088,5
2.461,1.165,5
2.841,0.697,6
2.879,0.7,6
2.942,0.741,6
2.888,0.671,6
2.936,0.711,6
2.897,0.738,6
2.836,0.682,6
2.837,0.671,6
2.863,0.704,6
2.942,0.696,6
2.963,0.733,6
2.963,0.716,6
2.911,0.698,6
2.904,0.764,6
2.854,0.688,6
7.58,2.881,7
7.561,2.879,7
7.536,2.887,7
7.528,2.922,7
7.487,2.928,7
0.292,1.337,8
0.319,1.363,8
0.306,1.319,8
0.344,1.375,8
0.351,1.311,8
0.301,1.362,8
7.632,1.622,9
7.693,1.619,9
7.65,1.626,9
7.648,1.596,9
7.639,1.587,9
8.212,2.924,10
8.232,3.007,10
8.209,2.908,10
8.193,2.961,10
8.187,2.907,10
8.22,2.993,10
8.234,2.939,10
8.192,2.938,10
8.178,2.956,10
8.227,2.923,10
8.213,2.941,10
8.218,2.905,10
8.192,2.925,10
7.742,2.243,11
7.782,2.221,11
1.44,0.663,12
1.487,0.676,12
1.479,0.686,12
2.428,1.003,13
2.496,0.968,13
2.533,1.036,13
2.393,1.019,13
2.483,1.028,13
2.517,1.015,13
2.389,1.003,13
2.35,1.004,13
2.343,0.994,13
2.391,0.994,13
2.439,0.987,13
2.457,1.015,13
2.534,0.976,13
2.371,1.009,13
2.533,0.996,13
5.063,2.783,14
5.098,2.765,14
5.07,2.746,14
7.695,4.804,15
7.724,4.845,15
7.73,4.837,15
7.701,4.834,15
