X,Y,cluster_id
345.0,1485.0,0
329.0,1506.0,0
9220.0,3274.0,1
9225.0,3294.0,1
8766.0,1596.0,2
8759.0,1587.0,2
8615.0,1831.0,3
2887.0,1629.0,4
2867.0,1618.0,4
2869.0,1628.0,4
6759.0,3808.0,5
8785.0,3415.0,6
8780.0,3408.0,6
2693.0,1119.0,7
3022.0,1829.0,8
8985.0,1922.0,9
2876.0,1740.0,10
2869.0,1748.0,10
8184.0,2245.0,11
9326.0,3106.0,12
1398.0,843.0,13
3182.0,444.0,14
8313.0,4833.0,15
3242.0,788.0,16
1390.0,1763.0,17
413.0,1331.0,18
8158.0,2990.0,19
3315.0,475.0,20
8908.0,5424.0,21
9253.0,3172.0,22
