cluster_id,cluster_size,cluster_area
0,44,44146.5
1,19,25429.5
2,2,4417.0
3,16,19805.5
4,2,4424.0
5,25,36298.5
6,15,18633.0
7,5,8806.0
8,6,9806.5
9,5,7669.5
10,13,12859.5
11,2,4410.0
12,3,5209.0
13,15,20943.5
14,3,5875.0
15,8,10528.5
16,2,4080.0
17,5,7381.5
18,19,19200.0
19,4,6642.0
20,3,5488.0
21,10,12533.5
22,7,10329.5
23,15,20904.5
24,2,4243.0
25,15,25767.5
26,8,14325.0
27,11,14917.0
28,17,22102.0
29,14,19217.0
30,6,9766.0
31,2,3930.0
32,4,5938.0
33,5,8602.0
34,2,3711.0
35,3,4439.0
36,13,20791.0
37,4,5883.5
38,6,8527.0
39,5,7556.0
40,2,3939.0
41,2,4217.0
42,4,5166.5
43,8,11543.0
44,2,3688.0
45,5,6553.5
46,3,4342.0
47,5,7361.0
48,15,18967.5
49,2,3834.0
50,3,4800.0
51,3,4865.0
52,4,4894.5
53,17,22778.5
54,5,6132.0
55,3,5170.5
56,4,6226.0
57,3,4936.5
58,24,28615.5
59,6,9060.5
60,10,10452.5
61,3,4733.0
62,2,4004.0
63,2,3456.0
64,1,2212.0
65,4,5470.0
66,2,3000.0
67,2,3536.0
68,1,2212.0
69,2,3474.0
70,1,2212.0
71,2,3472.0
72,3,4791.0
73,2,3128.0
74,2,3477.0
75,1,2212.0
76,1,2212.0
77,8,9003.5
78,3,5893.0
79,1,2212.0
80,12,12193.0
81,1,2212.0
82,3,4192.0
83,13,15756.0
84,1,2212.0
85,2,3071.0
86,2,3438.0
87,1,2212.0
88,3,5122.0
89,1,2212.0
90,1,2212.0
91,1,2212.0
92,2,3214.0
93,1,2212.0
94,1,2212.0
95,1,2212.0
96,6,7656.5
97,1,2212.0
98,2,3050.0
99,1,2212.0
100,4,5702.0
101,4,5103.0
102,1,2212.0
103,1,2212.0
104,1,2212.0
105,1,2212.0
106,1,2212.0
107,3,5413.0
108,6,6168.5
109,3,4302.0
110,6,8122.5
111,1,2212.0
112,10,13839.5
113,4,6161.5
114,6,8822.5
115,3,4130.5
116,1,2212.0
117,1,2212.0
118,4,7262.0
119,1,2212.0
120,28,30058.0
121,1,2212.0
122,2,3343.0
123,1,2212.0
124,1,2212.0
