X,Y,cluster_id
1751.0,3342.0,0
1699.0,3328.0,0
4073.0,2205.0,1
3984.0,2170.0,1
4014.0,2226.0,1
4069.0,2209.0,1
4038.0,2200.0,1
4006.0,2218.0,1
3949.0,2198.0,1
3942.0,2237.0,1
4050.0,2264.0,1
3924.0,2173.0,1
4053.0,2256.0,1
3674.0,1237.0,2
3724.0,1228.0,2
2916.0,2279.0,3
2989.0,2284.0,3
2960.0,2245.0,3
2965.0,2339.0,3
2972.0,2338.0,3
2954.0,2315.0,3
3150.0,3388.0,4
3215.0,3418.0,4
3202.0,3380.0,4
3940.0,2916.0,5
3893.0,2899.0,5
1724.0,3420.0,6
1743.0,3435.0,6
1687.0,3386.0,6
4954.0,2490.0,7
4975.0,2535.0,7
3653.0,3116.0,8
3635.0,3086.0,8
3704.0,3119.0,8
3666.0,3079.0,8
3123.0,1007.0,9
3083.0,973.0,9
3564.0,1170.0,10
3563.0,1222.0,10
2946.0,3267.0,11
2948.0,3315.0,11
2912.0,3232.0,11
3039.0,3599.0,12
3008.0,3615.0,12
3048.0,3601.0,12
3031.0,3657.0,12
3193.0,3110.0,13
3125.0,3079.0,13
3204.0,3100.0,13
3169.0,3068.0,13
2475.0,1118.0,14
2464.0,1047.0,14
2495.0,1079.0,14
2434.0,1116.0,14
3185.0,2889.0,15
3145.0,2866.0,15
2971.0,1516.0,16
2937.0,1521.0,16
2997.0,1545.0,16
1031.0,3141.0,17
993.0,3169.0,17
5071.0,1323.0,18
5101.0,1355.0,18
1850.0,3802.0,19
1875.0,3759.0,19
2524.0,3341.0,20
2522.0,3287.0,20
2563.0,3319.0,20
2481.0,3367.0,20
2353.0,2915.0,21
2331.0,2962.0,21
2336.0,2975.0,21
3318.0,3217.0,22
3310.0,3257.0,22
3283.0,3211.0,22
3359.0,3251.0,22
4883.0,1389.0,23
4856.0,1351.0,23
2092.0,2688.0,24
2049.0,2708.0,24
3326.0,3631.0,25
3352.0,3593.0,25
3662.0,1391.0,26
3629.0,1361.0,26
2859.0,2776.0,27
2896.0,2771.0,27
4118.0,2311.0,28
4081.0,2338.0,28
2295.0,2745.0,29
2266.0,2754.0,29
2312.0,2744.0,29
