cluster_id,cluster_size,cluster_area
0,3,18102.0
1,5,36895.0
2,6,44063.0
3,3,18187.5
4,5,37037.0
5,2,10495.0
6,4,26580.5
7,5,32815.5
8,5,37438.0
9,4,26400.0
10,5,30644.0
11,6,45329.0
12,2,10274.0
13,3,17499.5
14,5,38244.0
15,4,28563.5
16,5,33792.0
17,3,17186.0
18,3,19234.0
19,5,33275.0
20,2,10234.0
21,2,10398.0
22,4,28007.0
23,5,33060.5
24,3,16796.0
25,3,18287.0
26,3,17687.0
27,4,26282.0
28,4,23761.5
29,4,22667.0
30,3,17071.0
31,5,33316.0
32,3,15982.0
33,2,10141.0
34,3,15164.0
35,4,22831.0
36,2,10139.0
37,2,9908.0
38,3,16062.0
39,4,24820.0
40,4,26214.5
41,2,10074.0
42,2,10037.0
43,3,18150.5
44,3,16989.5
45,3,19101.0
46,4,22993.0
47,4,25499.0
48,2,9209.0
49,3,16345.5
50,4,23201.0
51,3,18441.5
52,4,24530.0
53,3,16954.5
54,3,17027.0
55,5,33491.5
56,2,9730.0
57,2,9446.0
58,3,16715.0
59,5,29947.0
60,3,15408.0
61,3,16397.0
62,4,25956.5
63,2,10217.0
64,4,23882.0
65,2,9077.0
66,2,9078.0
67,3,16472.5
68,3,15971.0
69,2,8824.0
70,1,3528.0
71,2,9771.0
72,2,9437.0
73,1,3528.0
74,2,9438.0
75,3,16173.5
76,3,15901.0
77,3,14976.0
78,3,15926.5
79,3,15372.0
80,2,9534.0
81,3,16809.5
82,3,17083.0
83,3,15706.0
84,3,16666.0
85,2,9734.0
86,3,18515.0
87,3,16299.5
88,1,3528.0
89,3,15453.0
90,3,13732.0
91,2,8387.0
92,2,9372.0
93,5,30936.5
94,2,8379.0
95,2,9137.0
96,2,9514.0
97,2,9016.0
98,1,3528.0
99,2,9478.0
100,2,9455.0
101,4,23112.0
102,2,9209.0
103,2,10071.0
104,3,15106.0
105,3,15504.0
106,2,9334.0
107,2,8106.0
108,2,8591.0
109,4,21386.0
110,2,9157.0
111,2,7800.0
112,5,31891.0
113,2,8940.0
114,4,20831.0
115,1,3528.0
116,2,8868.0
117,2,8070.0
118,2,8861.0
119,3,15265.5
120,2,8186.0
121,2,9032.0
122,2,8646.0
123,2,8982.0
124,1,3528.0
125,1,3528.0
126,2,8372.0
127,3,17149.0
128,2,9850.0
129,1,3528.0
130,2,9233.0
131,2,8180.0
132,2,7736.0
133,2,8807.0
134,2,8511.0
135,3,15511.0
136,2,8852.0
137,1,3528.0
138,1,3528.0
139,1,3528.0
140,1,3528.0
141,1,3528.0
142,1,3528.0
143,4,23760.5
144,1,3528.0
145,1,3528.0
146,2,8824.0
147,1,3528.0
148,1,3528.0
149,3,15650.0
150,2,8763.0
151,1,3528.0
152,1,3528.0
153,1,3528.0
154,2,8816.0
155,1,3528.0
156,1,3528.0
157,1,3528.0
158,3,14448.5
159,1,3528.0
160,4,22159.0
161,2,9482.0
162,1,3528.0
163,2,8368.0
164,3,14688.5
165,3,14115.0
166,3,15453.5
167,1,3528.0
168,1,3528.0
169,1,3528.0
170,1,3528.0
171,1,3528.0
172,1,3528.0
173,1,3528.0
174,2,9918.0
175,1,3528.0
176,2,8274.0
177,1,3528.0
178,1,3528.0
179,2,8882.0
180,1,3528.0
181,2,8591.0
182,2,8657.0
183,1,3528.0
184,1,3528.0
185,2,8308.0
186,2,8167.0
187,2,7984.0
188,2,9134.0
189,1,3528.0
190,1,3528.0
191,1,3528.0
192,1,3528.0
193,1,3528.0
194,1,3528.0
195,2,8432.0
196,3,13839.0
197,1,3528.0
198,1,3528.0
199,1,3528.0
200,1,3528.0
201,3,14762.0
202,2,8657.0
203,1,3528.0
204,1,3528.0
205,2,8677.0
206,2,8692.0
207,2,8483.0
208,2,9632.0
209,2,7892.0
210,1,3528.0
211,2,9065.0
212,2,8128.0
213,1,3528.0
214,1,3528.0
215,1,3528.0
216,1,3528.0
217,1,3528.0
218,1,3528.0
219,1,3528.0
220,2,8438.0
221,1,3528.0
222,1,3528.0
223,1,3528.0
224,1,3528.0
225,2,8726.0
226,1,3528.0
227,2,8379.0
228,1,3528.0
229,4,22935.0
230,1,3528.0
231,1,3528.0
232,1,3528.0
233,1,3528.0
234,2,8726.0
235,1,3528.0
236,1,3528.0
