X,Y,cluster_id
4025,3531.0,0
3963,3558.0,0
3287,3321.0,1
3251,3353.0,1
3247,3283.0,1
3501,3075.0,2
3527,3134.0,2
3186,3418.0,3
3135,3377.0,3
2460,3825.0,4
2507,3870.0,4
5242,3621.0,5
5304,3635.0,5
1895,4764.0,6
1916,4706.0,6
5124,1512.0,7
5078,1466.0,7
2288,3706.0,8
2315,3647.0,8
8796,1662.0,9
8856,1677.0,9
7982,1208.0,10
7964,1147.0,10
5676,2117.0,11
5683,2085.0,11
5724,2070.0,11
2817,3421.0,12
2877,3431.0,12
8160,893.0,13
8208,925.0,13
1710,4289.0,14
1653,4269.0,14
1926,5084.0,15
1974,5095.0,15
1967,5139.0,15
1947,5099.0,15
4381,2942.0,16
4352,2945.0,16
4396,2991.0,16
6495,1981.0,17
6475,1953.0,17
6496,1994.0,17
6463,1966.0,17
2300,3450.0,18
2314,3454.0,18
2346,3415.0,18
4012,3133.0,19
3957,3127.0,19
7732,1093.0,20
7789,1069.0,20
4669,3614.0,21
4634,3662.0,21
3302,3632.0,22
3347,3675.0,22
5640,2813.0,23
5652,2825.0,23
5604,2786.0,23
9667,887.0,24
9681,876.0,24
9620,883.0,24
2632,3990.0,25
2637,3985.0,25
2674,4021.0,25
4253,3687.0,26
4286,3680.0,26
4296,3649.0,26
8827,719.0,27
8882,730.0,27
3714,2754.0,28
3751,2716.0,28
4101,2850.0,29
4050,2850.0,29
9844,1018.0,30
9796,995.0,30
4541,2493.0,31
4498,2477.0,31
5679,2173.0,32
5735,2159.0,32
8643,1086.0,33
8672,1114.0,33
4783,3844.0,34
4770,3900.0,34
8200,1053.0,35
8220,1070.0,35
8246,1080.0,35
5414,3097.0,36
5463,3107.0,36
4825,2610.0,37
4854,2558.0,37
4982,2948.0,38
4998,3005.0,38
9769,894.0,39
9819,888.0,39
5500,2786.0,40
5537,2754.0,40
5486,2745.0,40
5395,2775.0,41
5384,2805.0,41
2208,5035.0,42
2199,5004.0,42
2235,5053.0,42
3964,3630.0,43
3925,3664.0,43
4613,2516.0,44
4607,2568.0,44
2906,3560.0,45
2883,3561.0,45
4914,3694.0,46
4932,3739.0,46
4930,3684.0,46
9698,1300.0,47
9757,1303.0,47
2280,3925.0,48
2261,3981.0,48
8766,1257.0,49
8789,1286.0,49
3652,2950.0,50
3592,2959.0,50
3613,2932.0,50
4027,2982.0,51
9183,895.0,52
9135,864.0,52
5165,1336.0,53
5689,4028.0,54
5711,3988.0,54
8930,819.0,55
8927,871.0,55
8904,852.0,55
4721,3817.0,56
4670,3812.0,56
2712,3268.0,57
2755,3240.0,57
2732,3235.0,57
2049,4933.0,58
2020,4906.0,58
7324,2006.0,59
7367,2000.0,59
1778,5149.0,60
1787,5196.0,60
1832,4374.0,61
1813,4382.0,61
4650,2653.0,62
4687,2631.0,62
2812,3349.0,63
2777,3371.0,63
9070,902.0,64
9071,862.0,64
4607,3783.0,65
4567,3780.0,65
2182,3952.0,66
2202,3911.0,66
3851,3516.0,67
3838,3524.0,67
9339,1161.0,68
5425,2945.0,69
5463,2922.0,69
8824,1181.0,70
8806,1130.0,70
5671,2531.0,71
5670,2518.0,71
1870,4981.0,72
1901,5009.0,72
3399,3343.0,73
3424,3369.0,73
8919,1024.0,74
8899,981.0,74
8316,1287.0,75
8309,1267.0,75
8284,1236.0,75
4487,3570.0,76
4481,3507.0,76
4513,3532.0,76
6851,1893.0,77
6834,1842.0,77
1405,4282.0,78
1419,4259.0,78
6622,1800.0,79
6648,1833.0,79
6605,1847.0,79
3008,3737.0,80
2970,3730.0,80
8090,1175.0,81
8066,1162.0,81
4222,3545.0,82
4244,3520.0,82
4282,3577.0,83
1901,4487.0,84
8691,1076.0,85
8686,1037.0,85
2498,5032.0,86
2479,5081.0,86
3128,4045.0,87
3175,4043.0,87
1257,4221.0,88
1843,4946.0,89
1878,4910.0,89
4804,2503.0,90
4766,2536.0,90
7871,370.0,91
4791,2421.0,92
4789,2439.0,92
5241,2740.0,93
5253,2705.0,93
4422,3870.0,94
4464,3839.0,94
3994,3866.0,95
3799,3659.0,96
3807,3695.0,96
3768,3688.0,96
8188,1214.0,97
8206,1263.0,97
5029,3852.0,98
5024,3802.0,98
5051,3813.0,98
4715,2943.0,99
4681,2946.0,99
2376,4884.0,100
2678,3897.0,101
2721,3903.0,101
2723,3891.0,101
3320,3410.0,102
3338,3366.0,102
1521,4134.0,103
4007,4033.0,104
5876,4045.0,105
5929,4037.0,105
2067,4822.0,106
2085,4869.0,106
2244,4470.0,107
4257,2926.0,108
5017,2243.0,109
5002,2204.0,109
5212,3037.0,110
5217,3076.0,110
9322,1427.0,111
4283,3880.0,112
4325,3905.0,112
5820,2236.0,113
5830,2188.0,113
9157,1832.0,114
4739,2799.0,115
4770,2797.0,115
4749,2769.0,115
2139,4688.0,116
2146,4689.0,116
5454,3874.0,117
5431,3845.0,117
5061,2888.0,118
1072,4039.0,119
1073,4051.0,119
9401,1979.0,120
9374,1984.0,120
8994,1225.0,121
9022,1220.0,121
3507,3717.0,122
3737,3470.0,123
8700,1210.0,124
8710,1225.0,124
2674,3793.0,125
2660,3825.0,125
5811,4067.0,126
