cluster_id,cluster_size,cluster_area
0,3,20.362
1,5,41.502
2,6,49.472
3,3,20.458
4,5,41.661
5,2,11.805
6,4,29.899
7,5,36.913
8,5,42.113
9,4,29.696
10,5,34.47
11,6,50.989
12,2,11.557
13,3,19.684
14,5,43.019
15,4,32.13
16,5,38.011
17,3,19.332
18,3,21.636
19,5,37.43
20,2,11.512
21,2,11.696
22,4,31.504
23,5,37.188
24,3,18.893
25,3,20.57
26,3,19.895
27,4,29.564
28,4,26.728
29,4,25.497
30,3,19.202
31,5,37.476
32,3,17.978
33,2,11.407
34,3,17.057
35,4,25.682
36,2,11.405
37,2,11.145
38,3,18.068
39,4,27.919
40,4,29.488
41,2,11.332
42,2,11.29
43,3,20.417
44,3,19.111
45,3,21.486
46,4,25.864
47,4,28.683
48,2,10.359
49,3,18.386
50,4,26.098
51,3,20.744
52,4,27.593
53,3,19.071
54,3,19.153
55,5,37.673
56,2,10.945
57,2,10.625
58,3,18.802
59,5,33.686
60,3,17.332
61,3,18.444
62,4,29.197
63,2,11.493
64,4,26.864
65,2,10.21
66,2,10.211
67,3,18.529
68,3,17.965
69,2,9.926
70,1,3.969
71,2,10.991
72,2,10.615
73,1,3.969
74,2,10.616
75,3,18.193
76,3,17.886
77,3,16.846
78,3,17.915
79,3,17.291
80,2,10.724
81,3,18.908
82,3,19.216
83,3,17.667
84,3,18.747
85,2,10.949
86,3,20.827
87,3,18.335
88,1,3.969
89,3,17.382
90,3,15.447
91,2,9.434
92,2,10.542
93,5,34.799
94,2,9.425
95,2,10.278
96,2,10.702
97,2,10.142
98,1,3.969
99,2,10.661
100,2,10.636
101,4,25.998
102,2,10.359
103,2,11.328
104,3,16.992
105,3,17.44
106,2,10.499
107,2,9.118
108,2,9.664
109,4,24.056
110,2,10.3
111,2,8.774
112,5,35.873
113,2,10.056
114,4,23.432
115,1,3.969
116,2,9.975
117,2,9.078
118,2,9.967
119,3,17.172
120,2,9.208
121,2,10.16
122,2,9.726
123,2,10.103
124,1,3.969
125,1,3.969
126,2,9.417
127,3,19.29
128,2,11.08
129,1,3.969
130,2,10.386
131,2,9.201
132,2,8.702
133,2,9.907
134,2,9.574
135,3,17.448
136,2,9.957
137,1,3.969
138,1,3.969
139,1,3.969
140,1,3.969
141,1,3.969
142,1,3.969
143,4,26.727
144,1,3.969
145,1,3.969
146,2,9.926
147,1,3.969
148,1,3.969
149,3,17.604
150,2,9.857
151,1,3.969
152,1,3.969
153,1,3.969
154,2,9.917
155,1,3.969
156,1,3.969
157,1,3.969
158,3,16.253
159,1,3.969
160,4,24.926
161,2,10.666
162,1,3.969
163,2,9.413
164,3,16.523
165,3,15.877
166,3,17.383
167,1,3.969
168,1,3.969
169,1,3.969
170,1,3.969
171,1,3.969
172,1,3.969
173,1,3.969
174,2,11.156
175,1,3.969
176,2,9.307
177,1,3.969
178,1,3.969
179,2,9.991
180,1,3.969
181,2,9.664
182,2,9.738
183,1,3.969
184,1,3.969
185,2,9.345
186,2,9.187
187,2,8.981
188,2,10.274
189,1,3.969
190,1,3.969
191,1,3.969
192,1,3.969
193,1,3.969
194,1,3.969
195,2,9.485
196,3,15.567
197,1,3.969
198,1,3.969
199,1,3.969
200,1,3.969
201,3,16.605
202,2,9.738
203,1,3.969
204,1,3.969
205,2,9.76
206,2,9.777
207,2,9.542
208,2,10.835
209,2,8.877
210,1,3.969
211,2,10.197
212,2,9.143
213,1,3.969
214,1,3.969
215,1,3.969
216,1,3.969
217,1,3.969
218,1,3.969
219,1,3.969
220,2,9.492
221,1,3.969
222,1,3.969
223,1,3.969
224,1,3.969
225,2,9.816
226,1,3.969
227,2,9.425
228,1,3.969
229,4,25.799
230,1,3.969
231,1,3.969
232,1,3.969
233,1,3.969
234,2,9.816
235,1,3.969
236,1,3.969
