X,Y,cluster_id
4.459,6.224,0
4.461,6.28,0
4.439,6.296,0
2.309,6.583,1
2.306,6.617,1
2.331,6.611,1
2.286,6.646,1
2.268,6.619,1
1.032,10.824,2
1.014,10.809,2
1.0,10.829,2
1.02,10.854,2
0.998,10.838,2
1.041,10.881,2
4.327,4.681,3
4.282,4.74,3
4.285,4.687,3
3.455,5.766,4
3.491,5.788,4
3.529,5.788,4
3.505,5.752,4
3.468,5.797,4
3.865,5.568,5
3.8,5.595,5
1.466,8.583,6
1.502,8.59,6
1.475,8.596,6
1.466,8.646,6
1.387,10.809,7
1.372,10.824,7
1.385,10.849,7
1.41,10.854,7
1.376,10.874,7
5.13,2.583,8
5.158,2.533,8
5.122,2.542,8
5.172,2.577,8
5.178,2.543,8
5.088,1.902,9
5.047,1.923,9
5.016,1.903,9
5.035,1.873,9
4.384,4.627,10
4.404,4.608,10
4.407,4.637,10
4.376,4.59,10
4.381,4.574,10
2.453,6.393,11
2.471,6.39,11
2.525,6.392,11
2.495,6.381,11
2.495,6.405,11
2.495,6.417,11
5.072,2.119,12
5.042,2.173,12
3.285,4.637,13
3.27,4.698,13
3.296,4.649,13
3.231,4.805,14
3.251,4.766,14
3.298,4.805,14
3.287,4.785,14
3.279,4.762,14
1.392,11.11,15
1.376,11.072,15
1.414,11.047,15
1.437,11.088,15
4.53,2.426,16
4.534,2.465,16
4.566,2.474,16
4.582,2.425,16
4.552,2.441,16
3.302,6.086,17
3.242,6.111,17
3.259,6.114,17
2.252,10.568,18
2.2,10.563,18
2.252,10.514,18
3.325,4.303,19
3.343,4.279,19
3.374,4.265,19
3.375,4.293,19
3.323,4.266,19
2.144,7.293,20
2.144,7.232,20
5.555,2.01,21
5.586,2.068,21
1.163,11.195,22
1.117,11.18,22
1.167,11.153,22
1.194,11.167,22
4.26,4.559,23
4.314,4.573,23
4.269,4.595,23
4.304,4.592,23
4.282,4.554,23
3.786,2.682,24
3.769,2.718,24
3.74,2.722,24
5.507,2.681,25
5.519,2.632,25
5.474,2.627,25
4.266,2.756,26
4.218,2.764,26
4.233,2.795,26
1.32,9.207,27
1.324,9.171,27
1.351,9.151,27
1.284,9.173,27
1.146,10.838,28
1.117,10.853,28
1.097,10.856,28
1.123,10.81,28
4.5,6.35,29
4.505,6.374,29
4.472,6.412,29
4.485,6.395,29
1.439,9.899,30
1.41,9.872,30
1.376,9.867,30
4.166,5.834,31
4.18,5.883,31
4.171,5.873,31
4.137,5.877,31
4.139,5.845,31
1.167,10.324,32
1.137,10.324,32
1.113,10.302,32
2.167,7.155,33
2.122,7.117,33
4.298,4.305,34
4.271,4.301,34
4.259,4.295,34
1.437,9.766,35
1.441,9.75,35
1.426,9.777,35
1.421,9.811,35
1.169,10.471,36
1.155,10.414,36
2.381,6.396,37
2.426,6.423,37
5.14,2.077,38
5.105,2.029,38
5.114,2.059,38
5.394,2.025,39
5.39,2.061,39
5.356,2.024,39
5.343,2.045,39
2.634,5.68,40
2.669,5.699,40
2.669,5.735,40
2.691,5.696,40
4.512,3.265,41
4.457,3.277,41
0.935,10.847,42
0.968,10.892,42
1.065,10.804,43
1.097,10.768,43
1.045,10.761,43
1.268,9.117,44
1.277,9.092,44
1.32,9.101,44
5.203,2.063,45
5.235,2.015,45
5.169,2.025,45
3.198,6.086,46
3.212,6.079,46
3.227,6.074,46
3.23,6.038,46
4.208,2.999,47
4.179,3.034,47
4.177,2.997,47
4.207,3.044,47
5.668,2.85,48
5.702,2.864,48
3.261,6.287,49
3.225,6.318,49
3.257,6.327,49
1.306,9.833,50
1.286,9.869,50
1.282,9.838,50
1.322,9.827,50
4.083,2.708,51
4.145,2.7,51
4.116,2.677,51
4.26,3.102,52
4.27,3.131,52
4.236,3.105,52
4.286,3.082,52
3.409,5.493,53
3.447,5.511,53
3.395,5.527,53
4.485,4.51,54
4.516,4.547,54
4.507,4.5,54
3.984,5.944,55
4.002,5.966,55
3.995,5.995,55
3.95,5.966,55
3.962,5.989,55
4.387,3.565,56
4.405,3.61,56
2.027,7.025,57
2.05,7.061,57
3.628,4.126,58
3.619,4.098,58
3.668,4.125,58
3.124,5.584,59
3.119,5.56,59
3.105,5.556,59
3.105,5.569,59
3.071,5.578,59
3.322,5.995,60
3.311,6.014,60
3.291,6.036,60
4.32,2.684,61
4.266,2.676,61
4.278,2.669,61
4.466,3.523,62
4.489,3.532,62
4.428,3.538,62
4.47,3.501,62
2.081,7.932,63
2.124,7.975,63
1.166,11.249,64
1.218,11.227,64
1.191,11.255,64
1.205,11.273,64
1.995,7.437,65
2.011,7.468,65
5.691,2.408,66
5.697,2.373,66
3.416,4.306,67
3.387,4.319,67
3.391,4.36,67
1.482,9.482,68
1.489,9.511,68
1.498,9.453,68
1.766,9.581,69
1.757,9.61,69
1.221,9.313,70
4.733,1.965,71
4.753,2.01,71
1.056,10.293,72
1.025,10.264,72
2.508,5.686,73
2.046,6.851,74
2.083,6.831,74
0.928,10.766,75
0.914,10.73,75
0.948,10.736,75
1.041,9.878,76
1.027,9.89,76
1.038,9.926,76
4.2,4.446,77
4.202,4.498,77
4.193,4.466,77
4.111,4.574,78
4.133,4.545,78
4.092,4.574,78
4.216,3.318,79
4.191,3.311,79
4.162,3.304,79
3.1,4.276,80
3.14,4.294,80
3.939,3.689,81
3.889,3.686,81
3.911,3.716,81
1.306,9.052,82
1.288,9.014,82
1.327,9.014,82
3.678,3.101,83
3.677,3.07,83
3.648,3.106,83
4.198,2.662,84
4.2,2.698,84
4.236,2.682,84
4.291,4.965,85
4.295,4.916,85
2.277,8.097,86
2.249,8.046,86
2.236,8.09,86
3.079,5.843,87
3.075,5.876,87
3.101,5.838,87
3.256,4.285,88
4.391,4.68,89
4.345,4.659,89
4.37,4.66,89
4.041,5.964,90
4.041,5.985,90
4.025,5.99,90
3.7,4.057,91
3.69,4.077,91
4.152,4.133,92
4.187,4.155,92
4.346,4.777,93
4.349,4.795,93
4.342,4.828,93
4.37,4.785,93
4.354,4.809,93
1.077,9.315,94
1.095,9.302,94
3.366,4.099,95
3.36,4.135,95
4.815,2.387,96
4.771,2.385,96
3.476,5.83,97
3.444,5.84,97
2.089,5.488,98
3.356,6.173,99
3.345,6.131,99
3.396,5.581,100
3.437,5.568,100
1.827,8.468,101
1.824,8.432,101
1.854,8.464,101
1.804,8.457,101
4.305,3.153,102
4.32,3.119,102
1.653,5.806,103
1.694,5.767,103
3.847,3.221,104
3.815,3.216,104
3.849,3.196,104
3.012,5.892,105
3.041,5.91,105
3.057,5.914,105
1.137,9.948,106
1.173,9.966,106
2.225,7.182,107
2.209,7.187,107
2.25,6.588,108
2.273,6.574,108
5.207,2.55,109
5.227,2.568,109
5.235,2.538,109
5.241,2.55,109
1.198,10.554,110
1.191,10.59,110
4.139,4.472,111
4.151,4.47,111
4.368,4.977,112
4.322,4.998,112
4.342,4.988,112
4.357,5.028,112
4.352,4.974,112
1.106,10.48,113
1.115,10.448,113
4.196,3.27,114
4.208,3.278,114
4.227,3.277,114
4.178,3.257,114
1.172,10.636,115
5.85,2.997,116
5.821,3.008,116
2.32,10.453,117
2.313,10.468,117
1.072,10.541,118
1.101,10.554,118
4.55,1.519,119
4.571,1.527,119
4.55,1.483,119
4.316,4.062,120
4.318,4.081,120
2.169,10.495,121
2.198,10.514,121
5.417,2.265,122
5.438,2.282,122
4.965,2.762,123
4.983,2.734,123
3.534,5.946,124
5.449,2.483,125
1.097,9.376,126
1.097,9.399,126
3.32,6.178,127
3.324,6.209,127
3.282,6.218,127
3.376,5.804,128
3.404,5.761,128
4.819,1.725,129
1.727,5.574,130
1.743,5.609,130
5.293,2.776,131
5.293,2.756,131
5.804,2.859,132
5.815,2.857,132
2.18,6.635,133
2.194,6.608,133
4.417,4.921,134
4.413,4.896,134
5.239,2.509,135
5.216,2.524,135
5.213,2.483,135
2.255,10.349,136
2.262,10.319,136
3.895,3.489,137
2.463,5.411,138
3.724,5.345,139
3.642,2.785,140
4.078,4.381,141
2.571,5.545,142
4.071,4.614,143
4.069,4.667,143
4.064,4.645,143
4.053,4.642,143
1.919,6.962,144
4.411,3.963,145
1.41,10.556,146
1.419,10.527,146
4.824,2.255,147
3.125,2.23,148
5.164,2.491,149
5.128,2.477,149
5.159,2.462,149
1.124,10.703,150
1.108,10.678,150
4.983,1.61,151
0.955,9.806,152
4.298,4.435,153
4.431,4.468,154
4.434,4.438,154
2.006,11.507,155
5.707,2.774,156
0.946,10.628,157
3.938,5.653,158
3.903,5.642,158
3.937,5.635,158
1.273,10.516,159
1.097,10.381,160
1.09,10.365,160
1.065,10.372,160
1.056,10.392,160
4.014,3.309,161
4.007,3.266,161
3.196,6.18,162
2.315,10.311,163
2.3,10.295,163
5.61,2.132,164
5.587,2.128,164
5.614,2.106,164
4.215,3.166,165
4.236,3.154,165
4.218,3.143,165
5.434,2.079,166
5.438,2.054,166
5.421,2.042,166
1.485,9.593,167
1.23,9.736,168
3.551,3.741,169
3.342,5.887,170
2.351,9.729,171
4.374,3.295,172
2.605,5.276,173
3.343,5.523,174
3.361,5.473,174
2.036,7.273,175
3.937,3.199,176
3.944,3.218,176
4.479,4.234,177
2.336,6.685,178
5.807,2.938,179
5.825,2.964,179
5.392,2.736,180
1.55,9.322,181
1.536,9.3,181
1.221,11.189,182
1.227,11.162,182
2.696,6.315,183
3.839,5.363,184
5.357,2.284,185
5.339,2.295,185
4.634,1.481,186
4.639,1.463,186
3.333,4.217,187
3.348,4.211,187
0.928,11.115,188
0.898,11.137,188
3.775,5.91,189
3.984,5.079,190
4.002,3.457,191
1.347,11.146,192
4.385,3.682,193
2.745,5.735,194
2.423,5.565,195
2.401,5.559,195
1.918,5.597,196
1.916,5.577,196
1.922,5.563,196
0.998,10.532,197
4.012,4.97,198
4.197,3.518,199
1.019,10.712,200
2.189,7.241,201
2.189,7.218,201
2.207,7.257,201
2.018,6.905,202
2.045,6.899,202
1.356,9.761,203
3.846,5.664,204
4.729,1.479,205
4.706,1.464,205
4.189,2.82,206
4.187,2.791,206
0.883,11.081,207
0.869,11.061,207
1.65,5.738,208
1.68,5.704,208
3.714,3.065,209
3.721,3.052,209
1.135,11.106,210
5.396,2.104,211
