cluster_id,cluster_size,cluster_area
0,3,17.91
1,3,0.0
2,3,18.634
3,2,0.0
4,2,9.398
5,3,0.0
6,2,9.393
7,2,0.0
8,4,26.696
9,3,16.146
10,2,9.36
11,2,0.0
12,3,0.0
13,3,0.0
14,2,0.0
15,2,9.343
16,2,0.0
17,3,15.423
18,3,18.031
19,3,17.258
20,2,9.059
21,2,0.0
22,2,9.3
23,2,0.0
24,3,16.837
25,2,9.196
26,3,0.0
27,4,21.419
28,3,14.061
29,2,9.155
30,2,8.495
31,4,24.25
32,2,8.773
33,3,0.0
34,3,13.54
35,2,9.178
36,2,0.0
37,2,8.963
38,2,9.257
39,2,8.797
40,2,8.927
41,2,8.836
42,3,13.6
43,2,0.0
44,2,8.214
45,2,8.813
46,2,0.0
47,3,15.693
48,3,16.523
49,3,0.0
50,2,0.0
51,2,9.166
52,2,9.076
53,3,15.736
54,3,0.0
55,1,0.0
56,2,0.0
57,2,8.722
58,2,8.488
59,3,13.803
60,3,14.607
61,2,8.392
62,2,8.305
63,2,0.0
64,2,8.976
65,3,12.738
66,2,0.0
67,2,7.295
68,2,0.0
69,1,0.0
70,2,7.976
71,2,0.0
72,2,8.963
73,2,8.952
74,2,9.155
75,2,6.918
76,2,7.471
77,3,14.941
78,2,7.829
79,2,7.452
80,3,14.283
81,2,7.863
82,2,8.802
83,2,7.555
84,2,8.593
85,2,8.174
86,2,0.0
87,2,6.926
88,2,7.575
89,2,0.0
90,2,0.0
91,2,8.047
92,2,7.661
93,2,8.272
94,2,6.777
95,2,8.956
96,1,3.133
97,2,0.0
98,2,8.363
99,2,8.114
100,2,9.198
101,2,0.0
102,2,8.594
103,2,8.05
104,3,14.005
105,1,3.133
106,4,21.61
107,2,9.335
108,2,9.059
109,1,3.133
110,2,8.674
111,1,3.133
112,1,3.133
113,3,13.034
114,1,3.133
115,2,7.552
116,1,3.133
117,3,14.265
118,2,8.443
119,1,3.133
120,1,0.0
121,1,3.133
122,2,7.243
123,1,0.0
124,2,8.321
125,1,0.0
126,1,3.133
127,3,0.0
128,2,8.633
129,1,3.133
130,1,3.133
131,2,8.141
132,1,3.133
133,2,6.532
134,2,0.0
135,1,0.0
136,1,3.133
137,1,3.133
138,1,3.133
139,1,3.133
140,1,0.0
141,1,3.133
142,2,7.846
143,1,0.0
144,1,3.133
145,2,7.148
146,1,3.133
147,2,8.019
148,2,8.835
149,2,0.0
150,1,0.0
151,1,3.133
152,1,3.133
153,1,3.133
154,1,3.133
155,3,16.59
156,2,7.94
157,2,7.091
158,1,0.0
159,1,0.0
160,1,3.133
161,1,0.0
162,1,0.0
163,1,0.0
164,1,3.133
165,2,7.996
166,1,3.133
167,1,0.0
168,2,6.797
169,2,6.512
170,1,3.133
171,3,0.0
172,1,3.133
173,1,3.133
174,1,3.133
175,1,0.0
176,1,3.133
177,1,0.0
178,1,0.0
179,2,0.0
180,1,3.133
181,1,3.133
182,1,0.0
183,1,3.133
184,2,6.771
185,1,3.133
186,1,0.0
187,1,3.133
188,2,7.575
189,1,3.133
190,1,0.0
191,2,8.9
192,1,3.133
193,1,0.0
194,1,0.0
195,1,3.133
196,1,3.133
197,1,3.133
