X,Y,cluster_id
1.709,4.528,0
1.736,4.581,0
2.038,3.901,1
1.979,3.889,1
3.564,3.331,2
3.515,3.312,2
3.534,3.285,2
3.128,3.339,3
3.158,3.388,3
8.168,0.816,4
8.107,0.836,4
8.137,0.834,4
4.026,3.135,5
4.054,3.187,5
3.422,2.882,6
3.409,2.838,6
3.419,2.83,6
4.291,1.695,7
4.346,1.698,7
7.647,1.157,8
7.6,1.129,8
2.991,3.242,9
3.031,3.278,9
3.382,3.448,10
3.33,3.451,10
3.926,3.282,11
3.927,3.34,11
3.018,3.415,12
2.976,3.456,12
2.476,3.302,13
2.525,3.311,13
8.36,1.091,14
8.301,1.114,14
8.328,1.095,14
8.045,0.685,15
8.066,0.719,15
8.008,0.704,15
6.331,1.655,16
6.373,1.663,16
6.328,1.697,16
4.711,2.345,17
4.668,2.314,17
8.829,0.855,18
8.817,0.813,18
4.676,2.211,19
4.669,2.248,19
4.668,2.266,19
2.174,2.991,20
2.176,2.994,20
2.195,2.951,20
3.285,2.869,21
3.255,2.858,21
3.256,2.827,21
2.356,2.982,22
2.404,2.967,22
3.152,2.941,23
3.129,2.903,23
1.869,4.218,24
1.88,4.274,24
2.451,3.456,25
2.398,3.429,25
5.444,1.695,26
5.426,1.688,26
5.48,1.712,26
5.392,1.589,27
5.369,1.638,27
5.399,1.621,27
3.296,2.426,28
3.259,2.407,28
3.283,2.446,28
5.022,2.009,29
5.065,1.99,29
6.601,1.868,30
6.608,1.86,30
6.625,1.872,30
6.648,1.859,30
6.624,1.854,30
3.726,2.78,31
3.698,2.827,31
7.753,0.859,32
7.742,0.864,32
7.72,0.897,32
1.766,4.508,33
1.739,4.474,33
3.042,2.874,34
3.084,2.843,34
4.718,2.575,35
4.761,2.572,35
4.621,1.228,36
4.571,1.223,36
1.949,4.212,37
1.921,4.185,37
1.941,4.171,37
1.67,4.327,38
1.704,4.344,38
8.132,0.787,39
8.139,0.766,39
4.149,3.125,40
4.162,3.136,40
4.128,3.094,40
8.715,0.837,41
8.697,0.805,41
1.131,3.657,42
1.149,3.661,42
5.389,1.762,43
5.364,1.776,43
5.405,1.754,43
4.617,3.084,44
4.606,3.126,44
4.448,3.217,45
4.415,3.236,45
6.823,0.714,46
6.821,0.744,46
3.804,3.398,47
3.802,3.392,47
3.796,3.43,47
5.017,2.299,48
5.039,2.262,48
8.614,0.804,49
8.619,0.836,49
6.132,1.733,50
6.176,1.699,50
7.253,0.86,51
7.239,0.916,51
5.019,2.073,52
5.072,2.059,52
4.486,2.472,53
4.524,2.504,53
7.687,1.435,54
7.683,1.442,54
7.648,1.407,54
4.22,2.776,55
4.25,2.807,55
4.218,2.341,56
4.222,2.386,56
8.059,0.845,57
8.014,0.857,57
8.041,0.855,57
8.046,0.833,57
2.747,3.218,58
2.786,3.193,58
4.779,2.176,59
3.309,3.399,60
3.269,3.376,60
3.301,3.359,60
2.116,2.973,61
2.108,2.942,61
4.448,3.275,62
4.46,3.312,62
1.802,4.572,63
1.837,4.533,63
2.198,3.502,64
2.231,3.531,64
5.245,1.792,65
5.211,1.762,65
8.507,1.061,66
8.535,1.082,66
1.913,3.807,67
1.897,3.768,67
1.819,4.471,68
8.178,1.655,69
8.183,1.606,69
4.419,2.67,70
4.379,2.673,70
0.851,3.578,71
0.876,3.601,71
4.236,3.183,72
4.211,3.193,72
1.539,3.963,73
1.507,3.958,73
1.689,4.392,74
1.655,4.416,74
4.357,2.042,75
2.002,3.033,76
2.028,2.998,76
8.193,0.95,77
8.228,0.958,77
4.899,3.428,78
4.91,3.453,78
4.595,2.565,79
8.87,0.97,80
8.873,0.979,80
4.255,2.924,81
4.286,2.893,81
3.631,2.969,82
3.604,2.945,82
5.667,1.721,83
5.664,1.715,83
5.982,1.681,84
5.969,1.647,84
4.484,3.089,85
1.393,3.843,86
7.667,1.245,87
7.655,1.206,87
8.182,0.761,88
8.2,0.735,88
8.201,0.733,88
7.927,0.487,89
7.938,0.467,89
7.913,0.484,89
7.942,0.488,89
7.767,0.933,90
7.755,0.94,90
3.757,3.328,91
4.779,3.407,92
4.761,3.421,92
0.988,3.635,93
0.973,3.613,93
1.7,4.619,94
1.674,4.624,94
3.476,2.622,95
3.465,2.59,95
5.186,1.859,96
5.213,1.89,96
1.552,4.076,97
1.55,4.103,97
4.548,3.015,98
4.523,3.025,98
3.292,2.649,99
4.416,2.462,100
4.423,2.437,100
4.406,2.454,100
6.243,1.624,101
4.334,3.4,102
4.299,3.436,102
2.035,4.287,103
2.019,4.25,103
3.436,2.523,104
3.447,2.482,104
7.633,1.043,105
7.643,0.99,105
2.916,3.417,106
2.909,3.444,106
2.918,3.445,106
2.249,3.276,107
1.207,3.767,108
1.244,3.799,108
1.676,4.198,109
1.662,4.192,109
6.061,1.772,110
3.363,2.557,111
3.334,2.53,111
1.879,4.358,112
1.875,4.384,112
7.908,0.709,113
7.909,0.744,113
7.49,1.187,114
7.463,1.202,114
7.497,1.191,114
4.509,2.799,115
2.635,3.468,116
4.425,2.354,117
2.098,4.285,118
8.316,1.004,119
3.077,2.66,120
2.116,3.839,121
4.105,3.217,122
4.07,3.237,122
3.136,3.293,123
3.16,3.273,123
7.626,1.335,124
4.325,1.799,125
4.331,1.762,125
2.051,4.44,126
2.057,4.46,126
4.275,2.378,127
4.316,2.392,127
8.286,0.893,128
8.247,0.92,128
3.322,2.479,129
4.138,2.16,130
4.152,2.161,130
1.788,4.277,131
2.533,3.137,132
1.992,4.489,133
1.991,4.486,133
1.978,3.095,134
1.776,4.377,135
1.804,4.361,135
4.289,2.194,136
7.87,1.148,137
3.306,2.783,138
4.029,2.454,139
4.419,2.009,140
4.419,1.992,140
4.334,1.627,141
4.223,3.152,142
4.214,3.128,142
2.359,4.673,143
4.571,2.437,144
4.559,2.45,144
3.96,2.478,145
3.974,2.485,145
4.227,3.04,146
4.246,3.03,146
3.009,3.157,147
2.185,3.56,148
2.168,3.573,148
8.48,1.12,149
8.479,1.114,149
4.423,1.391,150
4.403,1.421,150
4.764,3.117,151
2.178,4.358,152
8.05,0.923,153
8.177,0.919,154
8.164,0.902,154
4.632,1.163,155
5.345,3.627,156
5.322,3.63,156
5.054,2.215,157
4.284,2.003,158
8.548,0.903,159
3.665,2.528,160
7.439,1.347,161
5.039,2.406,162
4.649,3.24,163
4.624,3.269,163
8.414,0.954,164
8.44,0.975,164
3.379,2.827,165
3.363,2.845,165
3.514,3.247,166
3.136,3.58,167
4.324,3.263,168
6.927,0.508,169
2.052,4.147,170
2.065,4.179,170
5.007,1.954,171
1.954,2.915,172
7.096,1.101,173
3.175,3.026,174
6.566,1.753,175
6.544,1.777,175
4.328,2.143,176
2.25,3.036,177
2.201,3.026,178
2.187,3.048,178
3.827,2.565,179
2.094,3.952,180
1.324,3.735,181
3.834,3.53,182
1.196,3.835,183
2.509,2.945,184
1.984,3.215,185
8.746,1.011,186
3.538,2.844,187
6.632,1.723,188
3.49,2.78,189
1.994,3.676,190
4.057,2.209,191
4.344,2.711,192
4.349,2.706,192
2.64,3.347,193
3.944,2.586,194
3.976,2.61,194
8.495,1.209,195
1.161,3.884,196
8.15,1.748,197
2.136,4.487,198
2.178,2.866,199
3.315,3.078,200
4.856,2.696,201
2.096,3.499,202
2.137,3.306,203
3.641,3.356,204
4.156,2.704,205
5.465,1.537,206
5.025,3.547,207
3.0,2.738,208
2.983,2.723,208
3.218,3.302,209
3.234,3.326,209
4.729,2.492,210
4.74,2.454,210
4.398,1.293,211
5.003,3.439,212
5.032,3.42,212
8.389,0.86,213
3.877,2.241,214
4.46,2.166,215
2.597,3.243,216
8.526,0.995,217
8.534,0.962,217
8.503,0.956,217
7.216,0.982,218
7.195,0.954,218
7.8,0.783,219
4.002,3.389,220
1.881,3.992,221
3.711,2.686,222
2.949,2.829,223
4.495,2.041,224
7.269,1.174,225
6.609,1.598,226
6.613,1.616,226
1.444,3.716,227
5.641,1.619,228
7.945,0.865,229
8.284,0.785,230
7.761,1.384,231
4.837,2.439,232
1.957,4.085,233
2.228,4.071,234
3.38,3.334,235
8.058,1.116,236
7.274,1.058,237
6.061,1.611,238
2.144,4.122,239
2.612,3.095,240
7.762,1.216,241
4.671,3.432,242
3.408,2.287,243
2.75,3.461,244
3.122,2.565,245
3.122,2.585,245
2.429,3.065,246
3.822,3.139,247
3.958,2.322,248
7.9,0.629,249
1.352,3.68,250
2.411,3.269,251
4.348,2.849,252
5.897,1.543,253
5.816,1.576,254
