X,Y,cluster_id
1955.799,9390.502,0
2062.479,9292.712,0
2056.256,9306.047,0
1880.234,9338.94,0
1928.24,9330.05,0
1954.021,9346.941,0
2002.027,9346.941,0
2002.027,9394.947,0
3866.259,4262.753,1
3863.592,4246.751,1
3879.594,4213.858,1
3806.696,4213.858,1
3809.363,4166.741,1
3846.701,4161.407,1
3795.139,4084.953,1
3826.254,4082.286,1
3870.704,4275.199,1
3806.696,4048.504,1
3787.138,4052.949,1
3835.144,4065.395,1
3894.707,4066.284,1
3890.262,4080.508,1
3915.154,4096.51,1
3735.576,3998.72,1
3727.575,3970.272,1
3674.235,4040.503,1
3733.798,3952.492,1
3884.928,4253.863,1
3862.703,4141.849,1
3884.928,4142.738,1
3690.237,3973.828,1
3679.569,3975.606,1
3654.677,4066.284,1
3637.786,4066.284,1
3860.036,4292.09,1
3619.117,4101.844,1
3617.339,4148.961,1
3612.894,4129.403,1
3603.115,4126.736,1
3903.597,4160.518,1
3917.821,4122.291,1
3897.374,4113.401,1
3749.8,4064.506,1
3930.267,3081.272,2
3973.828,3112.387,2
3990.719,3139.946,2
3936.49,3145.28,2
3900.041,3169.283,2
3916.043,3209.288,2
3898.263,3273.296,2
3970.272,3131.945,2
946.784,9604.751,3
917.448,9622.531,3
901.446,9609.196,3
889.0,9626.976,3
831.215,9642.978,3
905.891,9522.963,3
985.011,9492.737,3
975.232,9572.747,3
824.992,9570.969,3
842.772,9544.299,3
812.546,9538.965,3
929.004,9566.524,3
998.346,9610.085,3
999.235,9514.962,3
860.552,9682.983,3
887.222,9634.977,3
925.449,9673.204,3
975.232,9650.979,3
993.012,9648.312,3
1018.793,9634.977,3
1057.02,9617.197,3
906.78,9649.201,3
2899.027,5589.14,4
2983.482,5487.794,4
2895.471,5624.7,4
2973.703,5450.456,4
2935.476,5410.451,4
2925.697,5366.001,4
2943.477,5346.443,4
2868.801,5399.783,4
2871.468,5367.779,4
2953.256,5329.552,4
2897.249,5435.343,4
2855.466,5404.228,4
2843.02,5410.451,4
2917.696,5527.799,4
2955.034,5519.798,4
2951.478,5492.239,4
2867.023,5616.699,4
2882.136,5432.676,4
4653.912,1791.334,5
4625.465,1834.006,5
4482.336,1931.796,5
4509.006,1883.79,5
4546.344,1830.45,5
4569.458,1846.452,5
4595.239,1800.224,5
4538.343,1803.78,5
1026.794,9258.041,6
911.225,9124.691,6
938.783,9150.472,6
989.456,9158.473,6
1010.792,9178.031,6
1037.462,9178.031,6
903.224,9224.259,6
975.232,9228.704,6
946.784,9220.703,6
938.783,9238.483,6
1039.24,9308.714,6
887.222,9362.943,6
953.007,9370.944,6
978.788,9382.501,6
969.009,9214.48,6
991.234,9288.267,6
