Y,X,cluster_id
4009.0,3108.0,0
3990.0,3158.0,0
4335.0,2320.0,1
4300.0,2280.0,1
3162.0,4992.0,2
3057.0,5006.0,2
3106.0,4985.0,2
3056.0,4987.0,2
3155.0,4964.0,2
3624.0,4087.0,3
3781.0,4009.0,3
3732.0,4029.0,3
3692.0,4030.0,3
3659.0,4063.0,3
1104.0,8173.0,4
1065.0,8137.0,4
3603.0,3667.0,5
3569.0,3708.0,5
3732.0,2521.0,6
3701.0,2561.0,6
3702.0,3711.0,7
3752.0,3694.0,7
4647.0,1817.0,8
4693.0,1792.0,8
4639.0,1820.0,8
1939.0,6972.0,9
1893.0,6998.0,9
3188.0,3794.0,10
3190.0,3713.0,10
3174.0,3743.0,10
3852.0,3741.0,11
3881.0,3788.0,11
3900.0,3759.0,11
2024.0,9358.0,12
2039.0,9357.0,12
2072.0,9373.0,12
1981.0,9328.0,12
1956.0,9356.0,12
3946.0,3965.0,13
3985.0,3934.0,13
3733.0,3584.0,14
3704.0,3612.0,14
3741.0,4722.0,15
3754.0,4772.0,15
2958.0,4701.0,16
3022.0,4754.0,16
2968.0,4679.0,16
2955.0,4664.0,16
3031.0,4686.0,16
2996.0,4712.0,16
4479.0,2006.0,17
4473.0,1985.0,17
4423.0,2000.0,17
2702.0,5208.0,18
2690.0,5158.0,18
3570.0,4004.0,19
3623.0,3998.0,19
3612.0,3975.0,19
1250.0,9997.0,20
1199.0,10005.0,20
4759.0,2074.0,21
4801.0,2067.0,21
4824.0,2122.0,21
4836.0,2148.0,21
4785.0,2117.0,21
4627.0,1751.0,22
4660.0,1710.0,22
3891.0,4231.0,23
3900.0,4184.0,23
3871.0,4267.0,23
3107.0,3858.0,24
3129.0,3796.0,24
3141.0,3827.0,24
2556.0,4458.0,25
2549.0,4467.0,25
2571.0,4478.0,25
3569.0,4598.0,26
3627.0,4580.0,26
3608.0,4604.0,26
3611.0,4536.0,26
3621.0,4497.0,26
1845.0,7349.0,27
1879.0,7315.0,27
1905.0,7327.0,27
2917.0,5497.0,28
2919.0,5541.0,28
3590.0,2310.0,29
3564.0,2283.0,29
4217.0,1325.0,30
4201.0,1290.0,30
4204.0,1254.0,30
4171.0,1258.0,30
3517.0,2862.0,31
3518.0,2811.0,31
3536.0,2782.0,31
3535.0,2798.0,31
1215.0,8909.0,32
1195.0,8865.0,32
1463.0,5037.0,33
1487.0,5051.0,33
1496.0,5052.0,33
4050.0,1418.0,34
4084.0,1387.0,34
4078.0,1351.0,34
2001.0,7428.0,35
2004.0,7432.0,35
2036.0,7472.0,35
2998.0,5111.0,36
2958.0,5081.0,36
4020.0,3481.0,37
3986.0,3475.0,37
4066.0,3487.0,37
1304.0,7819.0,38
1258.0,7806.0,38
1769.0,6229.0,39
1779.0,6268.0,39
1765.0,6270.0,39
4336.0,1540.0,40
4380.0,1526.0,40
3436.0,3831.0,41
3478.0,3818.0,41
5055.0,2312.0,42
5052.0,2361.0,42
2696.0,5367.0,43
2695.0,5318.0,43
2689.0,5391.0,43
1407.0,8627.0,44
1318.0,8699.0,44
1371.0,8598.0,44
1378.0,8626.0,44
1345.0,8692.0,44
1360.0,8648.0,44
4302.0,2109.0,45
4264.0,2104.0,45
4241.0,2120.0,45
4357.0,1397.0,46
3372.0,4723.0,47
3348.0,4709.0,47
3296.0,4745.0,47
3340.0,4730.0,47
3631.0,4901.0,48
4186.0,1116.0,49
1845.0,6348.0,50
1874.0,6314.0,50
1814.0,6359.0,50
1357.0,8545.0,51
3676.0,3920.0,52
3664.0,3941.0,52
3987.0,1137.0,53
4022.0,1151.0,53
997.0,9780.0,54
990.0,9752.0,54
1283.0,9644.0,55
1275.0,9640.0,55
1296.0,9687.0,55
3467.0,2753.0,56
3429.0,2734.0,56
4451.0,1801.0,57
4464.0,1839.0,57
2816.0,5163.0,58
2834.0,5152.0,58
3678.0,2241.0,59
3650.0,2255.0,59
2620.0,5651.0,60
2630.0,5636.0,60
2797.0,3736.0,61
2801.0,3735.0,61
1268.0,8245.0,62
1268.0,8274.0,62
4015.0,3007.0,63
4021.0,3037.0,63
3981.0,2976.0,63
3954.0,3016.0,63
2199.0,5027.0,64
2849.0,4503.0,65
2847.0,4532.0,65
3954.0,2547.0,66
3943.0,2509.0,66
1308.0,8895.0,67
1808.0,7450.0,68
1806.0,7458.0,68
3513.0,5169.0,69
3523.0,5147.0,69
3495.0,5130.0,69
1935.0,7122.0,70
1980.0,7114.0,70
1916.0,7112.0,70
2881.0,3888.0,71
2801.0,3902.0,71
2858.0,3911.0,71
2814.0,3890.0,71
2748.0,4856.0,72
2734.0,4817.0,72
832.0,9119.0,73
802.0,9108.0,73
1919.0,6381.0,74
4988.0,2127.0,75
4956.0,2154.0,75
2246.0,5712.0,76
2292.0,5712.0,76
5118.0,2485.0,77
5118.0,2529.0,77
2679.0,4734.0,78
2639.0,4728.0,78
3335.0,2263.0,79
3304.0,2229.0,79
3309.0,2258.0,79
4187.0,1398.0,80
4167.0,1364.0,80
4195.0,1389.0,80
3600.0,5026.0,81
3583.0,4988.0,81
3019.0,4854.0,82
2978.0,4798.0,82
2981.0,4835.0,82
3370.0,3600.0,83
3844.0,5316.0,84
3818.0,5350.0,84
2838.0,3601.0,85
2797.0,3626.0,85
2769.0,3610.0,85
3211.0,4070.0,86
3244.0,4097.0,86
3993.0,3856.0,87
4019.0,3828.0,87
3254.0,2305.0,88
3250.0,2295.0,88
2781.0,4694.0,89
2771.0,4712.0,89
4413.0,2170.0,90
4424.0,2134.0,90
1979.0,7037.0,91
1997.0,7013.0,91
2768.0,5217.0,92
4344.0,1711.0,93
3796.0,5237.0,94
2539.0,5416.0,95
2583.0,4694.0,96
2579.0,4671.0,96
3944.0,5660.0,97
3753.0,2230.0,98
4757.0,2460.0,99
2997.0,3397.0,100
3770.0,4250.0,101
3722.0,4234.0,101
3749.0,4232.0,101
2382.0,5442.0,102
2367.0,5438.0,102
1212.0,8171.0,103
4312.0,1624.0,104
3939.0,3618.0,105
1851.0,7085.0,106
1486.0,8537.0,107
3256.0,3286.0,108
3256.0,3302.0,108
2927.0,3818.0,109
2569.0,5717.0,110
3329.0,5382.0,111
4550.0,2166.0,112
4556.0,2151.0,112
1103.0,9920.0,113
2817.0,3528.0,114
3014.0,5296.0,115
3011.0,5265.0,115
1195.0,9851.0,116
1981.0,9431.0,117
3619.0,4288.0,118
819.0,9564.0,119
1849.0,6429.0,120
3163.0,5173.0,121
3896.0,4040.0,122
1493.0,8328.0,123
756.0,8956.0,124
3634.0,4755.0,125
4164.0,1634.0,126
2105.0,7482.0,127
2098.0,7506.0,127
2335.0,5018.0,128
3670.0,4821.0,129
2983.0,4977.0,130
3310.0,2165.0,131
3947.0,5510.0,132
846.0,7771.0,133
835.0,7771.0,133
3836.0,3541.0,134
2789.0,5349.0,135
3800.0,2549.0,136
3806.0,3607.0,137
1246.0,7634.0,138
3880.0,4781.0,139
5130.0,1996.0,140
5143.0,1981.0,140
5168.0,1979.0,140
2077.0,5896.0,141
422.0,7887.0,142
3098.0,5445.0,143
3366.0,3673.0,144
3364.0,3715.0,144
4046.0,5959.0,145
4039.0,6000.0,145
4045.0,5996.0,145
4062.0,5942.0,145
3629.0,3361.0,146
4139.0,2283.0,147
4145.0,2269.0,147
4465.0,2189.0,148
3554.0,4868.0,149
3189.0,3294.0,150
1606.0,4914.0,151
1351.0,8843.0,152
2927.0,3308.0,153
2951.0,3307.0,153
3764.0,4631.0,154
3722.0,4636.0,154
3303.0,2457.0,155
3306.0,2456.0,155
3888.0,3877.0,156
3856.0,3893.0,156
3842.0,3899.0,156
1178.0,9551.0,157
3868.0,5157.0,158
5159.0,1768.0,159
3549.0,5332.0,160
3698.0,2301.0,161
2425.0,5685.0,162
2397.0,5674.0,162
2220.0,4827.0,163
1566.0,8508.0,164
3122.0,5297.0,165
3094.0,5282.0,165
1182.0,8743.0,166
2946.0,3623.0,167
1998.0,6959.0,168
3912.0,5421.0,169
3915.0,5395.0,169
3865.0,5605.0,170
2762.0,4600.0,171
3245.0,2529.0,172
3243.0,2496.0,172
3203.0,2499.0,172
2315.0,4821.0,173
3248.0,2438.0,174
3224.0,2406.0,174
1948.0,5955.0,175
3880.0,2657.0,176
3891.0,2633.0,176
1363.0,8460.0,177
5165.0,1704.0,178
3775.0,5140.0,179
1415.0,5189.0,180
3834.0,4121.0,181
