X,Y,cluster_id
3973.828,3112.387,0
3916.043,3209.288,0
3900.041,3169.283,0
3936.49,3145.28,0
3990.719,3139.946,0
3930.267,3081.272,0
3970.272,3131.945,0
1938.019,5898.512,1
1950.465,5874.509,1
2032.253,5908.291,1
2016.251,5884.288,1
2050.033,5882.51,1
2072.258,5877.176,1
2020.696,5844.283,1
2052.7,5852.284,1
2000.249,5856.729,1
4569.458,1846.452,2
4546.344,1830.45,2
4538.343,1803.78,2
4595.239,1800.224,2
4625.465,1834.006,2
4653.912,1791.334,2
991.234,9288.267,3
1026.794,9258.041,3
1039.24,9308.714,3
983.233,9316.715,3
1906.015,6429.245,4
2012.695,6437.246,4
1962.022,6451.47,4
1946.02,6416.799,4
1946.02,6437.246,4
1978.024,6384.795,4
1926.462,6360.792,4
1886.457,6327.01,4
1963.8,6389.24,4
1197.482,9908.789,5
1237.487,9876.785,5
1223.263,9843.003,5
1257.045,9820.778,5
1277.492,9857.227,5
3965.827,5582.917,6
3964.049,5533.133,6
3946.269,5597.141,6
824.992,9881.23,7
772.541,9833.224,7
784.987,9851.004,7
798.322,9900.788,7
1173.479,8090.785,8
1145.031,8013.442,8
1161.033,8047.224,8
1179.702,8013.442,8
1201.038,8135.235,8
1127.251,8105.009,8
1141.475,8154.793,8
1135.252,8082.784,8
1173.479,8185.019,8
1177.035,8153.015,8
1009.014,9873.229,9
1061.465,9927.458,9
1037.462,9915.012,9
993.012,9939.015,9
1085.468,9947.016,9
1082.801,9980.798,9
1058.798,10005.69,9
1071.244,10021.692,9
1090.802,9923.013,9
1033.906,9952.35,9
1036.573,10000.356,9
1469.516,5161.531,10
1466.849,5101.079,10
1493.519,5070.853,10
1505.965,5126.86,10
1058.798,9414.505,11
1065.021,9382.501,11
1041.907,9455.399,11
4011.166,2902.583,12
3962.271,2913.251,12
3684.903,2400.299,13
3792.472,2378.963,13
3765.802,2384.297,13
3732.02,2366.517,13
3803.14,2372.74,13
3840.478,2386.075,13
3629.785,2407.411,13
3659.122,2379.852,13
3733.798,2398.521,13
2677.667,5237.985,14
2756.788,5189.979,14
2737.23,5194.424,14
2733.674,5223.761,14
2717.672,5257.543,14
2703.448,5253.987,14
831.215,9642.978,15
860.552,9682.983,15
1987.803,7192.006,16
2024.252,7198.229,16
1999.36,7152.89,16
938.783,9150.472,17
911.225,9124.691,17
989.456,9158.473,17
1010.792,9178.031,17
1037.462,9178.031,17
2907.028,4176.52,18
2930.142,4132.959,18
2920.363,4122.291,18
906.78,9649.201,19
1057.02,9617.197,19
925.449,9673.204,19
901.446,9609.196,19
917.448,9622.531,19
946.784,9604.751,19
975.232,9650.979,19
993.012,9648.312,19
1018.793,9634.977,19
887.222,9634.977,19
889.0,9626.976,19
998.346,9610.085,19
929.004,9566.524,19
905.891,9522.963,19
975.232,9572.747,19
1950.465,9198.478,20
2010.917,9173.586,20
2004.694,9200.256,20
2058.034,9166.474,20
1973.579,9209.146,20
2044.699,9152.25,20
2218.054,5672.706,21
2196.718,5680.707,21
2244.724,5682.485,21
2218.054,5704.71,21
2116.708,5686.041,21
2156.713,5710.044,21
2180.716,5683.374,21
2218.054,5694.042,21
3501.769,3279.519,22
3476.877,3303.522,22
3438.65,3327.525,22
3457.319,3276.852,22
1818.004,6133.208,23
1794.001,6138.542,23
1851.786,6072.756,23
1818.893,6090.536,23
4207.635,1746.884,24
4225.415,1786.889,24
1303.273,7630.283,25
1335.277,7636.506,25
1311.274,7641.84,25
1303.273,7686.29,25
4657.468,2230.5,26
4634.354,2207.386,26
4637.021,2243.835,26
4653.912,2256.281,26
4558.79,2202.052,26
4553.456,2259.837,26
4585.46,2251.836,26
4560.568,2296.286,26
4590.794,2214.498,26
4586.349,2188.717,26
4659.246,2266.949,26
4646.8,2282.951,26
4603.24,2260.726,26
4597.906,2290.952,26
4629.021,2266.949,26
3435.983,4949.949,27
3479.544,4955.283,27
3500.88,5025.514,27
3503.547,4925.946,27
3469.765,5015.735,27
3499.991,5009.512,27
3511.548,4949.949,27
3506.214,4965.951,27
3674.235,4040.503,28
3603.115,4126.736,28
3612.894,4129.403,28
3617.339,4148.961,28
3619.117,4101.844,28
3637.786,4066.284,28
3654.677,4066.284,28
1561.972,8543.285,29
1569.973,8517.504,29
3722.241,3693.793,30
3691.126,3674.235,30
1880.234,9338.94,31
2002.027,9346.941,31
1955.799,9390.502,31
2002.027,9394.947,31
1928.24,9330.05,31
1954.021,9346.941,31
3064.381,4899.276,32
3030.599,4883.274,32
2971.925,4909.944,32
3019.042,4961.506,32
3055.491,4949.949,32
2987.927,4865.494,32
3018.153,4913.5,32
3679.569,3975.606,33
3727.575,3970.272,33
3735.576,3998.72,33
3733.798,3952.492,33
3690.237,3973.828,33
3568.444,2941.699,34
3562.221,2903.472,34
3036.822,3828.032,35
2976.37,3743.577,35
2963.035,3748.911,35
2954.145,3792.472,35
2955.923,3825.365,35
2999.484,3791.583,35
2971.925,3804.029,35
3014.597,3876.038,35
3000.373,3816.475,35
3011.041,3839.589,35
3763.135,2484.754,36
3722.241,2481.198,36
3724.019,2506.979,36
3792.472,2450.083,36
3749.8,2457.195,36
3289.298,3606.671,37
3280.408,3624.451,37
3260.85,3667.123,37
3225.29,3668.012,37
3217.289,3643.12,37
3917.821,4122.291,38
3884.928,4142.738,38
3862.703,4141.849,38
3846.701,4161.407,38
3903.597,4160.518,38
3806.696,4213.858,38
3894.707,4066.284,38
3890.262,4080.508,38
3897.374,4113.401,38
3809.363,4166.741,38
3915.154,4096.51,38
4906.388,2339.847,39
4895.72,2383.408,39
4866.383,2335.402,39
2925.697,5366.001,40
2935.476,5410.451,40
2868.801,5399.783,40
2871.468,5367.779,40
2943.477,5346.443,40
2843.02,5410.451,40
2882.136,5432.676,40
2897.249,5435.343,40
2855.466,5404.228,40
2953.256,5329.552,40
1085.468,8279.253,41
985.011,9492.737,42
999.235,9514.962,42
2895.471,5624.7,43
