X,Y,cluster_id
3073.0,3583.0,0
3098.0,3598.0,0
3151.0,3590.0,0
1120.0,9394.0,1
1068.0,9405.0,1
1060.0,9414.0,1
3057.0,4029.0,2
3118.0,3919.0,2
3083.0,3984.0,2
3113.0,3943.0,2
2426.0,5522.0,3
2467.0,5554.0,3
1103.0,9546.0,4
1143.0,9512.0,4
3764.0,2708.0,5
3807.0,2734.0,5
3201.0,3272.0,6
3233.0,3263.0,6
3255.0,3264.0,6
3275.0,3310.0,6
4919.0,1913.0,7
4925.0,1881.0,7
4969.0,1856.0,7
2803.0,5225.0,8
2766.0,5189.0,8
2823.0,5264.0,8
2753.0,5170.0,8
4815.0,1865.0,9
4804.0,1814.0,9
2711.0,5592.0,10
2740.0,5630.0,10
1922.0,6954.0,11
1972.0,6951.0,11
1926.0,7165.0,12
1951.0,7205.0,12
1009.0,9369.0,13
970.0,9350.0,13
1919.0,6420.0,14
1898.0,6446.0,14
1856.0,6526.0,14
1880.0,6491.0,14
3666.0,5093.0,15
3622.0,5072.0,15
3647.0,5042.0,15
4457.0,1754.0,16
4494.0,1787.0,16
2580.0,5463.0,17
2546.0,5464.0,17
2594.0,5428.0,17
2605.0,5379.0,17
2644.0,5404.0,17
1482.0,8309.0,18
1434.0,8312.0,18
1476.0,8360.0,18
3020.0,3519.0,19
2988.0,3429.0,19
3004.0,3471.0,19
2972.0,3493.0,19
1292.0,7643.0,20
1254.0,7604.0,20
1270.0,7638.0,20
3915.0,5497.0,21
3872.0,5512.0,21
3848.0,5491.0,21
3831.0,5523.0,21
1520.0,5096.0,22
1482.0,5075.0,22
774.0,9809.0,23
792.0,9851.0,23
2097.0,4955.0,24
2122.0,4912.0,24
2114.0,4980.0,24
1152.0,8683.0,25
1144.0,8640.0,25
3393.0,4919.0,26
3405.0,4894.0,26
4003.0,3074.0,27
3965.0,3081.0,27
3375.0,3723.0,28
3392.0,3715.0,28
3890.0,5569.0,29
3848.0,5589.0,29
3856.0,5603.0,29
2824.0,4741.0,30
2857.0,4756.0,30
1073.0,8229.0,31
1045.0,8262.0,31
2925.0,5311.0,32
2903.0,5351.0,32
2889.0,5298.0,32
1512.0,8679.0,33
1465.0,8680.0,33
4896.0,2370.0,34
4829.0,2347.0,34
4852.0,2383.0,34
4036.0,2269.0,35
4009.0,2271.0,35
4005.0,2245.0,35
2923.0,3846.0,36
2952.0,3815.0,36
952.0,8717.0,37
973.0,8760.0,37
973.0,8765.0,37
4518.0,1851.0,38
4478.0,1875.0,38
874.0,9249.0,39
854.0,9293.0,39
1129.0,8829.0,40
1106.0,8882.0,40
1153.0,8868.0,40
1075.0,8900.0,40
3333.0,3480.0,41
3365.0,3467.0,41
5199.0,1891.0,42
5168.0,1890.0,42
3643.0,4582.0,43
3647.0,4589.0,43
3612.0,4613.0,43
3590.0,4633.0,43
3649.0,4553.0,43
2566.0,4510.0,44
2539.0,4477.0,44
4677.0,2050.0,45
4644.0,2043.0,45
1297.0,9612.0,46
1267.0,9618.0,46
3564.0,3339.0,47
3614.0,3346.0,47
3642.0,3342.0,47
3609.0,3338.0,47
3530.0,3311.0,47
3368.0,2337.0,48
3406.0,2343.0,48
3366.0,2316.0,48
3835.0,2597.0,49
3830.0,2567.0,49
3644.0,3633.0,50
3687.0,3755.0,50
3651.0,3714.0,50
3650.0,3667.0,50
3658.0,3733.0,50
2971.0,4972.0,51
2977.0,4988.0,51
5161.0,2567.0,52
5131.0,2588.0,52
1152.0,10115.0,53
1162.0,8258.0,54
1106.0,9237.0,55
3935.0,2223.0,56
2581.0,5284.0,57
2595.0,5293.0,57
4514.0,2317.0,58
1889.0,6817.0,59
1856.0,6825.0,59
2949.0,4503.0,60
4678.0,2385.0,61
4708.0,2392.0,61
3079.0,3695.0,62
3818.0,3838.0,63
3833.0,3845.0,63
2574.0,4984.0,64
3603.0,4132.0,65
3633.0,4139.0,65
3594.0,2920.0,66
3596.0,2935.0,66
3637.0,2905.0,66
3742.0,4038.0,67
3752.0,4035.0,67
3403.0,5125.0,68
3443.0,5134.0,68
3296.0,3755.0,69
4957.0,1985.0,70
4980.0,2009.0,70
4951.0,2040.0,70
3284.0,3519.0,71
4998.0,1912.0,72
3308.0,4802.0,73
3269.0,4815.0,73
3336.0,4831.0,73
4418.0,2428.0,74
4390.0,2427.0,74
4382.0,2402.0,74
4393.0,2393.0,74
2808.0,5561.0,75
2817.0,5588.0,75
3819.0,3387.0,76
3810.0,3330.0,76
3790.0,3364.0,76
3808.0,3382.0,76
3772.0,3373.0,76
3789.0,3420.0,76
1252.0,9787.0,77
1261.0,9832.0,77
1528.0,8614.0,78
1515.0,8529.0,78
1554.0,8602.0,78
1546.0,8552.0,78
1541.0,8586.0,78
3967.0,3453.0,79
4012.0,3447.0,79
3003.0,3910.0,80
3038.0,3917.0,80
3789.0,4279.0,81
3794.0,4237.0,81
3895.0,4336.0,81
3776.0,4239.0,81
3814.0,4290.0,81
3853.0,4315.0,81
2404.0,5590.0,82
2427.0,5631.0,82
2714.0,4985.0,83
2691.0,4963.0,83
2725.0,4675.0,84
2726.0,4704.0,84
3551.0,5140.0,85
3531.0,2344.0,86
3514.0,2343.0,86
4352.0,1429.0,87
4339.0,1453.0,87
4561.0,1685.0,88
2827.0,4945.0,89
2775.0,4568.0,90
2788.0,4547.0,90
1125.0,7812.0,91
2926.0,5012.0,92
3352.0,5182.0,93
3939.0,2862.0,94
3944.0,2873.0,94
3794.0,5149.0,95
3831.0,5211.0,95
3818.0,5168.0,95
5061.0,2469.0,96
5037.0,2453.0,96
5011.0,2460.0,96
1991.0,6485.0,97
4142.0,2264.0,98
859.0,7705.0,99
3693.0,2996.0,100
3103.0,4733.0,101
2875.0,3898.0,102
796.0,8837.0,103
3644.0,4001.0,104
5216.0,2408.0,105
5203.0,2428.0,105
3846.0,2177.0,106
3818.0,2189.0,106
3044.0,4227.0,107
3442.0,2642.0,108
1124.0,9879.0,109
1800.0,6592.0,110
4047.0,3524.0,111
3249.0,2483.0,112
4314.0,1994.0,113
3940.0,3639.0,114
4286.0,1767.0,115
3688.0,5244.0,116
3383.0,4130.0,117
2774.0,3798.0,118
4234.0,1487.0,119
1201.0,9371.0,120
3373.0,3820.0,121
4385.0,1379.0,122
4519.0,1956.0,123
4136.0,1507.0,124
4049.0,5909.0,125
3858.0,5258.0,126
1173.0,9806.0,127
2546.0,4364.0,128
