X,Y,cluster_id,avg,avg_no_1s
1339.189,1506.041,0,3.0,5.0
1360.457,1527.586,0,0.0,0.0
1362.433,1425.344,0,0.0,0.0
1354.459,1478.459,0,0.0,0.0
1377.333,1481.988,0,0.0,0.0
1347.89,1422.233,0,0.0,0.0
3515.547,3143.434,1,0.0,0.0
3485.956,3162.538,1,0.0,0.0
3483.132,3098.329,1,0.0,0.0
3515.0,3121.0,1,0.0,0.0
3495.944,3088.042,1,0.0,0.0
3451.184,3055.737,1,0.0,0.0
3464.857,3131.77,1,0.0,0.0
3492.132,3101.077,1,0.0,0.0
2517.567,1554.104,2,0.0,0.0
2546.368,1533.368,2,0.0,0.0
2481.302,1592.25,2,0.0,0.0
2503.19,1506.488,2,0.0,0.0
3904.283,3186.681,3,0.0,0.0
3992.0,3142.277,3,0.0,0.0
3971.789,3205.211,3,0.0,0.0
3964.068,3154.699,3,0.0,0.0
3953.237,3148.602,3,0.0,0.0
3955.106,3164.602,3,0.0,0.0
3939.625,3127.786,3,0.0,0.0
3932.418,3117.238,3,0.0,0.0
3931.172,3145.793,3,0.0,0.0
1863.5,1408.5,4,0.0,0.0
1818.603,1383.849,4,0.0,0.0
1047.882,1185.355,5,0.0,0.0
1107.77,1121.931,5,0.0,0.0
1121.0,1192.792,5,0.0,0.0
1054.776,1098.303,5,0.0,0.0
1010.403,1177.083,5,0.0,0.0
1098.607,1142.933,5,0.0,0.0
1055.389,1118.167,5,0.0,0.0
1054.89,1081.561,5,0.0,0.0
1073.928,1170.804,5,0.0,0.0
1044.371,1161.243,5,0.0,0.0
615.5,628.756,6,0.0,0.0
712.278,637.443,6,0.0,0.0
755.078,618.369,6,0.0,0.0
757.108,592.622,6,0.0,0.0
784.217,495.435,6,0.0,0.0
678.564,624.16,6,0.0,0.0
822.216,567.703,6,0.0,0.0
799.435,536.109,6,0.0,0.0
739.129,588.398,6,0.0,0.0
778.429,581.75,6,0.0,0.0
717.68,616.893,6,0.0,0.0
655.25,645.6,6,0.0,0.0
827.062,577.844,6,0.0,0.0
3895.458,3277.048,7,0.0,0.0
3868.474,3278.569,7,0.0,0.0
3857.713,3317.113,7,0.0,0.0
3885.131,3255.701,7,0.0,0.0
3823.941,3301.613,7,0.0,0.0
3943.72,3269.288,7,0.0,0.0
3839.634,3261.268,7,0.0,0.0
3830.28,3314.989,7,0.0,0.0
917.233,1594.989,8,0.0,0.0
905.24,1629.76,8,0.0,0.0
926.0,1622.888,8,0.0,0.0
969.89,1651.233,8,0.0,0.0
982.814,1667.257,8,0.0,0.0
1017.406,1650.266,8,0.0,0.0
998.638,1620.191,8,0.0,0.0
972.353,1609.539,8,0.0,0.0
1041.97,1691.061,8,0.0,0.0
3602.898,3029.667,9,0.0,0.0
3590.088,2983.735,9,0.0,0.0
3619.94,3003.47,9,0.0,0.0
3587.722,3007.889,9,0.0,0.0
3619.033,2947.883,9,0.0,0.0
3650.535,2988.944,9,0.0,0.0
3651.518,3020.94,9,0.0,0.0
3628.489,3026.078,9,0.0,0.0
3314.529,1904.713,10,0.0,0.0
3362.479,1894.604,10,0.0,0.0
1432.673,1569.436,11,0.0,0.0
1437.571,1522.365,11,0.0,0.0
1481.0,1551.0,11,0.0,0.0
2893.625,1748.0,12,0.0,0.0
2927.556,1782.272,12,0.0,0.0
2861.0,1754.0,12,0.0,0.0
2872.364,1782.091,12,0.0,0.0
3506.57,2808.779,13,0.0,0.0
3510.451,2856.531,13,0.0,0.0
3479.0,2836.0,13,0.0,0.0
3490.683,2860.402,13,0.0,0.0
1690.275,1750.875,14,0.0,0.0
1659.391,1742.0,14,0.0,0.0
1706.615,1769.75,14,0.0,0.0
1727.26,1777.62,14,0.0,0.0
1334.337,745.272,15,0.0,0.0
1301.427,748.464,15,0.0,0.0
981.397,743.564,16,0.0,0.0
959.0,751.165,16,0.0,0.0
970.404,807.292,16,0.0,0.0
1033.028,792.917,16,0.0,0.0
851.115,838.292,16,0.0,0.0
980.545,723.545,16,0.0,0.0
1009.247,835.636,16,0.0,0.0
1079.45,744.212,16,0.0,0.0
1045.5,749.432,16,0.0,0.0
1013.302,741.219,16,0.0,0.0
951.293,838.345,16,0.0,0.0
1026.632,811.461,16,0.0,0.0
886.881,819.0,16,0.0,0.0
847.441,809.458,16,0.0,0.0
1014.407,778.741,16,0.0,0.0
987.935,809.258,16,0.0,0.0
913.0,828.5,16,0.0,0.0
872.738,829.679,16,0.0,0.0
1056.156,817.938,16,0.0,0.0
1075.321,729.595,16,0.0,0.0
988.889,756.037,16,0.0,0.0
1084.861,780.535,16,0.0,0.0
3146.878,1972.224,17,0.0,0.0
3127.466,1903.182,17,0.0,0.0
3164.568,1969.568,17,0.0,0.0
3183.564,1963.752,17,0.0,0.0
3205.781,1942.029,17,0.0,0.0
3139.769,1948.692,17,0.0,0.0
3195.328,1949.621,17,0.0,0.0
1030.823,1308.125,18,0.0,0.0
916.163,1289.848,18,0.0,0.0
965.118,1288.926,18,0.0,0.0
963.738,1267.083,18,0.0,0.0
999.433,1306.837,18,0.0,0.0
943.286,1309.9,18,0.0,0.0
1004.623,1285.82,18,0.0,0.0
1007.864,1324.864,18,0.0,0.0
1009.116,1354.42,18,0.0,0.0
1650.614,1242.265,19,0.0,0.0
1692.358,1248.679,19,0.0,0.0
3369.378,3238.537,20,0.0,0.0
3353.822,3342.156,20,0.0,0.0
3353.804,3287.523,20,0.0,0.0
3381.286,3352.133,20,0.0,0.0
3378.34,3286.856,20,0.0,0.0
3364.634,3314.95,20,0.0,0.0
3397.44,3262.6,20,0.0,0.0
3375.091,3329.071,20,0.0,0.0
2409.213,3149.468,21,0.0,0.0
