X,Y,cluster_id
1043,3004.0,0.0
1086,3044.0,0.0
971,2980.0,0.0
3627,2892.0,1.0
3617,2850.0,1.0
3587,2924.0,1.0
3600,2792.0,1.0
1951,2485.0,2.0
1912,2434.0,2.0
1907,2540.0,2.0
1894,2533.0,2.0
3234,618.0,3.0
3303,522.0,3.0
561,1909.0,4.0
509,1971.0,4.0
580,1891.0,4.0
2322,3055.0,5.0
2379,3155.0,5.0
2315,3152.0,5.0
1782,1779.0,6.0
1757,1767.0,6.0
1870,1779.0,6.0
1707,2168.0,7.0
1812,2133.0,7.0
90,340.0,8.0
168,304.0,8.0
185,271.0,8.0
36,2428.0,9.0
73,2525.0,9.0
2843,3305.0,10.0
2925,3374.0,10.0
1891,346.0,11.0
1962,255.0,11.0
2900,3131.0,12.0
2978,3230.0,12.0
2942,3172.0,12.0
1408,254.0,13.0
1409,361.0,13.0
2450,1094.0,14.0
2394,1186.0,14.0
2407,1164.0,14.0
2539,982.0,15.0
2450,922.0,15.0
3170,2755.0,16.0
3177,2646.0,16.0
2425,615.0,17.0
2330,565.0,17.0
410,93.0,18.0
393,184.0,18.0
349,210.0,18.0
401,142.0,18.0
1900,3626.0,19.0
1894,3707.0,19.0
1256,1342.0,20.0
1231,1254.0,20.0
300,1222.0,21.0
352,1145.0,21.0
3798,2433.0,22.0
3734,2516.0,22.0
1868,2988.0,23.0
1906,2905.0,23.0
1879,2993.0,23.0
1614,1968.0,24.0
1698,1987.0,24.0
1699,2034.0,24.0
2231,2513.0,25.0
2123,2540.0,25.0
3522,1319.0,26.0
3611,1366.0,26.0
1623,580.0,27.0
1549,653.0,27.0
1120,556.0,28.0
1055,506.0,28.0
1774,937.0,29.0
1860,935.0,29.0
1815,990.0,29.0
1632,2656.0,30.0
1618,2742.0,30.0
2436,2499.0,31.0
2361,2431.0,31.0
2284,2874.0,32.0
2251,2777.0,32.0
3381,142.0,33.0
3367,93.0,33.0
3420,74.0,33.0
3410,45.0,33.0
373,2621.0,34.0
320,2713.0,34.0
1057,1361.0,35.0
1100,1447.0,35.0
1078,1246.0,36.0
1153,1208.0,36.0
2827,2441.0,37.0
2733,2395.0,37.0
1585,880.0,38.0
1657,962.0,38.0
36,1889.0,39.0
76,1894.0,39.0
187,827.0,40.0
111,833.0,40.0
1866,2310.0,41.0
1882,2246.0,41.0
1809,2248.0,41.0
934,1946.0,42.0
984,1886.0,42.0
3483,2550.0,43.0
3484,2587.0,43.0
3337,2790.0,44.0
3296,2707.0,44.0
2089,1567.0,45.0
2120,1643.0,45.0
3341,1011.0,46.0
3328,956.0,46.0
3629,2426.0,47.0
3714,2369.0,47.0
1476,3692.0,48.0
1425,3669.0,48.0
1460,3754.0,48.0
1654,3484.0,49.0
1693,3527.0,49.0
1347,2130.0,50.0
1256,2118.0,50.0
3182,1509.0,51.0
3156,1430.0,51.0
