X,Y,cluster_id,avg,avg_no_1s
0.523,0.416,0,0.001,0.002
0.537,0.412,0,0.0,0.0
0.542,0.45,0,0.0,0.0
0.514,0.445,0,0.0,0.0
0.603,0.767,1,0.0,0.0
0.577,0.778,1,0.0,0.0
0.556,0.788,1,0.0,0.0
0.621,0.706,2,0.0,0.0
0.602,0.725,2,0.0,0.0
0.632,0.694,2,0.0,0.0
0.602,0.731,2,0.0,0.0
0.661,0.728,2,0.0,0.0
0.61,0.717,2,0.0,0.0
0.631,0.734,2,0.0,0.0
0.459,0.499,3,0.0,0.0
0.457,0.477,3,0.0,0.0
0.442,0.469,3,0.0,0.0
0.441,0.474,3,0.0,0.0
0.45,0.797,4,0.0,0.0
0.491,0.763,4,0.0,0.0
0.506,0.766,4,0.0,0.0
0.478,0.799,4,0.0,0.0
0.487,0.787,4,0.0,0.0
0.508,0.607,5,0.0,0.0
0.517,0.628,5,0.0,0.0
0.391,0.607,6,0.0,0.0
0.446,0.652,6,0.0,0.0
0.459,0.594,6,0.0,0.0
0.443,0.622,6,0.0,0.0
0.47,0.599,6,0.0,0.0
0.461,0.613,6,0.0,0.0
0.42,0.609,6,0.0,0.0
0.353,0.628,7,0.0,0.0
0.372,0.631,7,0.0,0.0
0.661,0.77,8,0.0,0.0
0.643,0.781,8,0.0,0.0
0.594,0.452,9,0.0,0.0
0.581,0.476,9,0.0,0.0
0.576,0.572,10,0.0,0.0
0.588,0.674,11,0.0,0.0
0.578,0.673,11,0.0,0.0
0.55,0.59,12,0.0,0.0
0.555,0.607,12,0.0,0.0
0.546,0.615,12,0.0,0.0
0.42,0.757,13,0.0,0.0
0.417,0.771,13,0.0,0.0
0.673,0.643,14,0.0,0.0
0.396,0.679,15,0.0,0.0
0.52,0.562,16,0.0,0.0
0.509,0.57,16,0.0,0.0
0.661,0.678,17,0.0,0.0
0.444,0.839,18,0.0,0.0
0.423,0.82,18,0.0,0.0
0.435,0.831,18,0.0,0.0
0.526,0.717,19,0.0,0.0
0.543,0.738,19,0.0,0.0
0.419,0.719,20,0.0,0.0
0.393,0.713,20,0.0,0.0
0.589,0.537,21,0.0,0.0
0.626,0.533,22,0.0,0.0
0.46,0.726,23,0.0,0.0
0.582,0.625,24,0.0,0.0
0.543,0.491,25,0.0,0.0
0.602,0.499,26,0.0,0.0
0.603,0.506,26,0.0,0.0
0.621,0.641,27,0.0,0.0
