X,Y,cluster_id,avg,avg_no_1s
0.608,0.638,0,0.001,0.002
0.642,0.607,0,0.0,0.0
0.647,0.625,0,0.0,0.0
0.638,0.64,0,0.0,0.0
0.616,0.523,1,0.0,0.0
0.643,0.511,1,0.0,0.0
0.603,0.462,2,0.0,0.0
0.601,0.437,2,0.0,0.0
0.573,0.427,2,0.0,0.0
0.583,0.475,2,0.0,0.0
0.639,0.746,3,0.0,0.0
0.626,0.788,3,0.0,0.0
0.616,0.761,3,0.0,0.0
0.535,0.661,4,0.0,0.0
0.52,0.638,4,0.0,0.0
0.353,0.648,5,0.0,0.0
0.365,0.634,5,0.0,0.0
0.371,0.627,5,0.0,0.0
0.425,0.818,6,0.0,0.0
0.459,0.831,6,0.0,0.0
0.456,0.791,6,0.0,0.0
0.445,0.808,6,0.0,0.0
0.397,0.766,7,0.0,0.0
0.385,0.701,7,0.0,0.0
0.375,0.779,7,0.0,0.0
0.389,0.753,7,0.0,0.0
0.388,0.722,7,0.0,0.0
0.372,0.745,7,0.0,0.0
0.47,0.663,8,0.0,0.0
0.447,0.617,8,0.0,0.0
0.467,0.611,8,0.0,0.0
0.44,0.6,8,0.0,0.0
0.458,0.64,8,0.0,0.0
0.527,0.419,9,0.0,0.0
0.544,0.401,9,0.0,0.0
0.429,0.715,10,0.0,0.0
0.5,0.362,11,0.0,0.0
0.47,0.479,12,0.0,0.0
0.497,0.806,13,0.0,0.0
0.561,0.741,14,0.0,0.0
0.546,0.733,14,0.0,0.0
0.546,0.517,15,0.0,0.0
0.551,0.533,15,0.0,0.0
0.528,0.797,16,0.0,0.0
0.561,0.582,17,0.0,0.0
0.546,0.577,17,0.0,0.0
0.488,0.567,18,0.0,0.0
0.391,0.58,19,0.0,0.0
0.333,0.613,20,0.0,0.0
0.461,0.427,21,0.0,0.0
0.423,0.428,22,0.0,0.0
0.545,0.453,23,0.0,0.0
0.511,0.771,24,0.0,0.0
0.459,0.541,25,0.0,0.0
0.44,0.466,26,0.0,0.0
0.685,0.717,27,0.0,0.0
0.51,0.712,28,0.0,0.0
0.412,0.675,29,0.0,0.0
0.592,0.558,30,0.0,0.0
0.478,0.71,31,0.0,0.0
0.406,0.644,32,0.0,0.0
0.585,0.527,33,0.0,0.0
0.67,0.664,34,0.0,0.0
0.535,0.482,35,0.0,0.0
0.369,0.674,36,0.0,0.0
0.42,0.744,37,0.0,0.0
